X1	X2	X3	X4	X5
0.301043	-3.059032	-4.199536	-4.026843	-2.436618
0.077828	-1.533540	-4.475339	-7.395691	-2.931511
-0.573514	-0.861443	-1.090442	-2.140758	-1.635590
-1.160084	-1.170142	2.550955	-2.868746	1.733345
-1.358782	-2.331736	1.300952	-1.022454	2.648794
1.003792	-1.892726	3.980651	-0.230982	2.204759
0.045837	-1.781213	3.879651	0.970569	3.995638
0.551554	0.147705	0.577853	3.706200	0.647932
-2.580358	1.675325	0.661257	2.864709	2.255441
-0.150700	2.652850	1.334764	3.034198	3.174665
-0.025772	4.129377	3.388873	3.521366	2.394504
1.766727	3.789307	1.492386	4.351913	3.081859
2.267095	1.244140	1.864302	3.926640	1.514029
3.784433	0.578376	-0.394278	-0.474356	0.734715
1.795541	-1.214286	0.027947	0.415528	-0.172884
-0.567482	-1.504445	0.183576	0.223691	-0.504868
0.070464	0.700999	0.452910	-1.028768	-1.021136
-1.889121	4.532644	2.928850	0.394551	-1.334388
-0.370338	1.622292	1.915895	2.493949	1.064376
-2.188886	1.488242	3.067647	2.777625	3.022656
-0.505665	-1.967106	2.919205	4.251980	1.147751
-0.683077	-1.172051	4.774471	5.053713	1.986162
0.260580	-1.072395	3.685343	2.961823	1.202989
0.891405	-1.006436	0.895323	1.231112	-0.045169
0.836598	-0.568675	-5.070588	-1.765521	-0.412410
0.778859	-2.068912	-5.191492	-1.846076	-2.909436
0.273887	-3.512346	-6.310086	-4.803154	-3.232946
-1.132417	-0.361778	-4.536072	-5.886553	-3.758540
-0.325253	-0.337608	-4.472547	-4.282176	-4.377318
-1.305522	-3.891435	-1.051513	-2.889520	-2.988781
-1.851123	-3.024760	-1.026769	-1.858088	-0.684127
0.871144	-1.203682	0.296986	0.625822	-1.803459
0.929678	-1.255101	-0.589048	2.203410	-1.527674
-0.363021	3.539483	1.351829	3.821274	0.283325
-0.373052	5.199270	1.154018	3.087316	0.536841
-1.556715	3.736461	0.477919	2.490034	0.371772
-1.106611	3.216455	-0.919268	2.096129	-1.437682
0.848661	1.263852	2.751158	0.353001	-1.350421
-0.446699	-0.367146	1.497597	1.743350	-0.378045
-1.197492	-1.003540	0.720650	0.285076	-0.013053
-1.036316	-0.331930	-1.511384	-2.235622	1.867753
1.688527	-1.313515	2.034297	-2.500144	2.689674
4.367838	0.559205	0.102292	-0.459190	2.466110
4.081318	0.795830	-0.177399	-1.022459	2.019661
3.115266	-0.135339	-2.166474	-0.281052	0.333626
1.691482	0.277697	-0.458734	-1.779269	0.477205
-0.250533	-0.605761	-0.443278	-1.386111	1.631099
-3.097679	0.127088	1.156394	-1.645976	-1.590393
-2.737156	-0.780756	0.172583	-3.208766	-0.215271
