X1	X2	X3	X4	X5
-1.737326	-2.337538	1.264363	-3.489017	-1.334173
-2.077270	-3.065230	1.609150	-3.161710	-0.908558
-2.966149	-1.574818	1.862952	-2.245573	1.591755
-0.438867	-1.262102	1.875770	-2.709406	0.073366
0.903177	-0.959982	0.883803	-2.727509	-0.194724
1.642980	-0.918658	2.068552	-1.637483	1.070085
2.129740	-0.345629	0.162718	0.309872	-0.374108
1.222557	2.097005	0.173000	-1.625643	0.354897
0.856328	3.627344	-1.798400	1.087170	0.508902
1.897351	5.013988	-2.688183	2.049612	-1.572895
-0.221574	5.324337	-3.389048	2.815582	-1.484393
-2.294850	4.506993	-6.337494	2.897279	-2.251792
-1.647777	5.206454	-7.611122	4.274805	-1.541792
-1.716958	4.484921	-6.723530	3.352957	-0.941193
-2.816894	0.715895	-3.397018	4.166036	-1.981395
-2.494587	-1.684626	0.688014	1.323741	-2.289198
-2.768138	-3.882239	3.855566	-1.174328	-1.262802
-1.932948	-4.322946	3.275240	-0.818372	-0.933107
-1.525619	-2.825846	1.267036	-3.184291	-0.568312
-2.066053	-1.434938	1.521453	-4.045386	-0.299419
-1.065051	-0.080024	-0.303606	-2.529558	0.836974
-1.102914	-0.656202	0.412057	-3.347306	1.231666
-1.121044	-2.556172	1.169145	-4.307332	1.078157
-0.665343	-0.270535	0.071756	-3.989037	-0.577353
-1.497010	-0.041490	0.454393	-2.621420	1.454037
-0.038349	0.012164	1.174955	-3.325483	0.070626
1.821140	0.711525	2.201243	-1.529226	1.421913
5.508955	-3.628106	2.269557	-2.410551	0.035100
4.467895	-2.015428	2.208498	-2.603957	0.877486
4.528959	-0.852841	3.960267	-1.153546	-1.157729
2.984545	-0.211446	3.632265	-1.849018	-0.129844
0.919753	2.492557	1.647891	-1.665875	-0.844961
0.242481	-0.491430	1.004147	-3.227017	-1.318479
-0.449473	3.210491	-1.673968	-0.589845	-1.657499
-0.949808	3.149422	-0.345451	-1.610861	-3.882219
-2.686028	2.172661	-2.585703	-0.346164	-0.583540
-3.009432	-0.721090	-0.152124	-3.393256	-0.529563
0.592078	-0.659033	-0.124511	-1.534738	-1.256887
-0.574899	-1.983966	-1.179366	1.551690	-0.407213
-0.901864	-2.308689	-2.769287	1.844925	-2.751640
-1.049318	-1.614904	-7.715173	2.221467	-2.824269
-0.668662	-1.944008	-4.717524	2.127915	1.049000
-3.271797	-2.279403	0.265961	-1.940232	3.360968
3.407776	-1.795189	5.160982	-1.795275	6.371734
4.401356	0.853535	6.998840	1.822084	5.171397
5.017642	-1.853432	6.808036	3.572945	3.251159
3.190133	-0.486489	3.262970	2.153606	4.182618
2.648229	1.672864	-2.110757	4.131266	4.394074
1.536328	1.069427	-4.149243	4.037424	0.576429
2.714229	1.831199	-6.150790	4.418279	-4.008820
2.921533	0.242581	-5.436295	4.670029	-5.578071
3.408837	1.137873	0.660941	4.000773	-3.235126
4.483542	-2.601526	4.883820	5.011710	0.373117
1.529746	-2.651715	3.404542	1.238038	1.292556
0.445949	-2.150694	2.491208	1.045656	1.398392
0.396351	-0.777963	-3.030982	0.429763	1.262724
-2.329150	1.102977	-3.345827	2.721258	-1.258348
-0.554654	-0.454073	-4.961026	0.422838	-1.249924
-0.524861	-2.427614	-4.370578	-0.907497	-0.181104
-0.770273	-1.992545	-0.461083	-2.024948	-1.304188
-0.994889	-2.337566	2.400959	-2.520318	-1.397277
-0.413211	-1.413278	1.272850	-4.376908	1.323829
-0.446337	-1.034581	1.208090	-2.757919	-0.195570
1.225430	1.791326	-1.087420	-0.199552	-1.551874
