X1	X2	X3	X4	X5	X6	X7	X8
-0.727562	0.062233	-2.325701	-2.829116	-1.469443	0.313560	-2.854503	-3.266103
-1.190780	1.751084	-2.986259	-1.996832	-3.366388	-3.384537	-0.748211	-4.584867
-1.734130	0.364454	-3.185237	-0.747968	-1.719753	-1.765130	-2.955465	-3.296518
0.201687	-1.749556	-3.087533	-1.568624	-6.460138	-1.862820	-1.011264	-4.877555
1.280971	-1.818443	-2.715147	-1.189900	-5.434644	-1.680105	1.244092	-3.290581
-0.376579	-1.547608	-3.855778	-4.765696	-1.613273	0.811314	0.516605	-1.795995
-0.426362	-0.888649	-3.164025	-3.659410	0.600176	0.852039	2.725876	1.145501
-0.176779	1.621036	3.873214	1.543455	2.975702	0.047669	1.495505	2.260208
-1.196230	2.533848	3.971638	1.895502	0.372404	0.425005	4.146394	3.305324
-1.032015	2.105787	3.034950	3.889930	2.466881	1.683848	2.403942	0.585449
0.341165	1.533056	1.867649	1.735940	0.735434	-1.672403	0.474052	-1.886517
-0.521490	-1.967345	0.002738	1.264431	0.166462	-1.412946	-2.038977	-1.618975
-0.324180	-1.801516	-3.185084	-5.837896	-1.668637	-2.924582	-2.240743	-2.123725
0.901195	-1.997453	-5.731914	-7.609640	-3.899462	-4.882409	-3.972746	-3.218567
-0.100266	-2.230057	-3.062853	-3.508003	-5.340514	-2.244129	-2.887784	-4.089203
1.450637	-1.794727	4.982001	2.343118	-2.123994	-0.824139	-0.439057	-0.265132
-1.810097	-1.035661	3.095049	5.011321	-1.308601	-0.122341	1.536736	1.268946
-0.223167	0.768842	5.463892	4.334407	1.280364	1.977968	1.209395	1.179930
-0.210574	-1.057517	5.109930	3.625777	4.304800	3.941386	1.558323	4.313121
-1.809719	0.142462	5.371665	4.329730	5.690907	4.094515	2.963518	3.235517
-1.113102	-1.982719	4.500298	5.271167	5.510285	6.063954	3.097083	3.759119
-0.152822	-1.047359	2.486429	5.750588	3.500233	4.098705	1.900818	3.801327
-1.540481	-0.936257	0.702960	2.011493	4.388851	1.961768	1.412324	3.725240
0.775621	-1.450113	-2.337609	-3.011517	0.874738	-3.972358	-2.288099	2.310259
0.122984	-1.642325	-8.000777	-8.225142	-1.449404	-6.314871	-5.706449	2.453484
2.549807	-0.931193	-2.462143	-8.458382	-3.450778	-8.651572	-3.135026	2.921515
2.075091	-0.373015	-0.889205	0.375764	-4.806483	-2.545559	-4.605429	2.813251
0.734434	0.800508	1.108537	0.621995	-2.045619	-1.497133	-3.847157	1.001593
-0.060064	-0.237221	1.379783	1.510312	-1.602386	0.896906	-0.277310	1.043842
1.154497	3.046398	3.345136	2.265715	-1.935185	-0.188439	-2.452187	1.370596
1.877916	2.864765	3.721995	2.191304	0.075384	0.724529	-1.826186	0.085358
0.431794	3.885982	3.056062	5.050381	1.149021	1.964613	-1.018908	1.826025
0.644629	2.104549	4.867838	4.617444	3.434326	1.522312	0.494048	0.667100
-1.560179	1.191466	2.837222	6.510394	1.207499	3.079827	1.985684	0.371782
-1.940731	-3.237264	-0.816283	2.708232	2.218640	2.382958	1.396099	1.412872
-2.398026	-3.335642	-6.024377	-0.336142	2.644348	2.651205	2.383295	2.507869
-1.277065	-2.821867	-5.449359	-6.446528	2.084424	4.118269	2.657073	3.149875
-0.440649	-3.810039	-5.809428	-10.397426	3.307367	3.350050	-0.447568	3.938990
-0.005578	-1.634256	-3.052284	-7.422135	2.362478	-0.638251	-0.154226	1.958814
2.756647	-2.064218	-2.248426	-3.485255	1.430456	0.789365	0.544099	0.263247
0.450626	-1.645424	-2.129652	0.701614	2.068002	-2.827901	0.202708	2.351691
2.121958	-1.593375	-3.431463	0.408872	2.813315	1.541252	0.371701	1.205846
0.578444	-2.855569	-3.140957	-3.499780	3.166596	2.688323	-1.194220	2.172711
-2.200319	-0.989805	-4.263433	-0.489442	2.962944	1.134714	0.714644	-0.732311
-1.940329	-1.973684	-5.451892	-3.220614	0.208160	0.061223	0.138995	0.746379
-2.468788	-0.292804	-4.424731	-5.406895	-1.200656	-3.031247	-0.647467	-1.771918
-0.339896	-1.934166	-4.505151	-3.600186	-4.197404	-2.604198	1.898758	-2.722302
-1.010353	-1.070969	-2.639350	-3.598985	-3.033284	-3.791429	-1.338528	-1.433470
-0.516461	2.399888	-0.623528	-0.226694	-2.373897	-2.462639	0.101174	-4.009624
-0.004519	4.724106	1.323115	1.941089	-2.730041	-0.690629	0.214966	-2.735262
-0.845929	3.699983	-0.140719	0.128964	-3.960316	-2.823497	0.842948	-4.288684
-0.860790	2.783821	-1.080430	1.624331	-0.037024	-2.514445	2.984720	-0.992288
0.216997	0.170121	-0.804717	2.221591	-0.667962	-2.654271	3.104982	-1.995874
-0.924470	-1.935019	-0.196080	0.812043	-0.755132	-1.848375	2.772637	-3.068741
0.933011	-4.200096	-1.735518	-0.204613	-0.523432	-3.260157	3.497383	-3.349788
3.141338	-3.259511	3.429769	0.329625	-1.707264	-1.431717	0.926221	-2.062115
1.440910	-3.786365	3.615583	1.655756	-1.392725	1.256845	1.863352	-2.693920
0.480628	-3.161055	3.297723	4.611480	-0.655018	-1.346670	1.450277	-3.812303
1.202690	-0.709683	2.334791	6.058998	1.895860	0.894638	-1.798005	-1.377362
-0.005104	-1.229648	1.972887	3.137110	3.150008	5.208668	-2.209392	-0.676898
-2.335254	-0.687149	-3.075289	0.884516	1.194827	4.018122	-2.511785	-1.424708
-0.088462	-2.191488	-5.836937	-4.598783	-2.338984	0.975299	-4.267783	-2.905992
-1.463827	-1.928663	-4.675455	-8.226888	-2.285223	-1.025100	-3.114585	-2.518449
-0.635350	-0.064574	-6.195343	-10.482197	-3.656892	-2.460176	-4.917292	-1.400778
1.870867	0.421078	-0.153101	-1.861712	-3.326789	-4.309428	-3.750302	0.259721
3.316726	2.752594	1.242472	5.222768	-1.828114	-1.823256	0.064684	0.005251
