X1	X2	X3	X4	X5	X6
-1.001073	-2.823776	-4.560857	-1.878481	-2.493064	-1.361157
-3.022584	-2.862586	-4.633485	-3.512548	-0.638184	-2.739580
0.395249	-3.465368	-2.591909	-3.530902	-2.801613	-1.943130
-1.845373	-0.276922	-3.373128	1.410657	-1.751152	-2.087907
-1.350650	1.163854	-0.140342	1.466330	-1.104398	-1.016210
-1.126782	1.727362	-0.737951	0.155718	-1.727252	-0.453939
-1.208967	-0.137597	0.844045	0.990420	1.006787	-0.231194
-3.249005	0.773278	1.845947	1.506238	3.541719	-0.368474
-2.402695	1.432090	3.290055	1.007772	2.408547	1.675921
-2.583538	4.094540	0.731770	1.012422	3.473169	2.367991
-0.028432	3.206829	2.954190	1.611290	2.962186	2.130437
-0.516477	4.044758	0.482717	-0.365725	2.301900	3.138658
-0.104772	2.395930	0.648152	0.285578	2.123711	3.540656
4.709084	1.755846	2.162794	0.542401	-0.833581	2.991429
4.920689	3.722407	0.299143	0.577743	-0.033176	3.953779
5.610047	2.418915	1.362801	1.068905	0.934028	3.307306
3.427156	5.471471	3.052667	1.760587	1.698730	3.440209
5.810517	5.274076	3.680242	0.057591	0.993131	1.437289
4.158230	2.121433	2.343125	1.031817	1.601932	-1.239554
3.298997	2.484143	4.473418	2.653165	1.057833	-1.577220
1.142418	0.141206	1.776921	0.093637	-1.597766	-4.058509
1.010893	-2.466575	0.625834	0.310132	-1.145864	-2.119821
-2.775178	-3.641499	-0.284742	-0.768049	-2.038060	-1.234456
-3.783494	-5.063765	-3.681908	-2.701704	-0.427756	0.849387
-1.698555	-2.813971	-2.719862	-0.174734	-2.142250	1.969207
-0.401860	0.033484	-0.180205	-3.450938	-3.724441	-0.739196
0.002491	0.872202	-0.277536	-2.786714	-0.784331	-2.240521
-0.610502	1.923283	-0.272255	-0.098464	-1.793918	-3.817369
-1.322337	1.606230	-1.585161	-0.382185	-1.200802	-4.220740
-0.501016	0.592143	-2.254953	0.249523	-1.641683	-1.336234
0.610462	0.374124	-2.634033	1.239661	-3.480760	-2.569451
-1.185601	-1.386426	-3.596298	-0.238971	-2.628735	-3.372290
-2.730507	-2.973906	-1.492350	-1.583673	-4.074305	-3.022953
0.887345	-1.735014	-4.234286	-1.930843	-0.371072	1.394261
-0.596544	-1.242149	-0.451908	-1.895681	-2.469635	-3.632849
-1.221874	-3.608010	0.351885	-0.062686	-2.428594	-1.329982
-3.043446	-5.266995	2.574294	-0.692958	-0.680949	-2.029338
-1.302658	-2.867004	4.523019	0.350705	-0.556500	-0.994319
