X1	X2	X3	X4	X5	X6	X7	X8
-1.222421	-4.228645	-3.536806	-1.875985	-3.138227	-2.880877	-3.009075	-2.315759
-0.659279	-2.337987	-0.606659	-2.692818	-2.924697	-2.221665	-4.397084	-1.566921
-0.087486	0.823984	-2.498996	-1.135262	-2.653879	-2.899438	-2.803231	-1.470907
1.504258	-1.803430	-0.434917	-1.551914	-1.558172	-3.314194	-2.878714	-0.116317
-0.921346	-1.085228	-0.917821	-1.981275	0.421826	-4.065231	-2.077136	0.189048
-1.253897	-0.094408	-1.101807	-0.541942	3.215917	-0.988147	-2.398796	1.577789
-3.264797	1.835530	0.356925	0.167687	3.496401	1.251558	-2.046794	2.379805
-1.191943	2.631687	1.633377	3.618412	3.428880	2.428888	-1.643932	3.303197
2.421765	2.160465	0.523048	4.583835	2.874557	0.599344	-0.575110	3.407964
3.179725	2.136864	-0.632560	1.295058	3.797331	1.134328	1.083471	0.878207
2.575340	1.847685	3.289154	4.520382	0.916305	1.659142	1.905813	1.517826
0.296110	0.904431	1.272889	3.398407	1.225280	-0.523612	0.505912	-0.470479
-0.823266	-0.360199	-0.319753	2.155236	-0.339842	-0.275633	0.440070	-0.893109
-0.280387	-2.110703	1.147328	0.385870	-2.036461	-2.189219	-0.575614	-1.735064
2.955548	-0.612680	2.483333	1.723510	-0.223874	-0.483667	1.424158	0.020557
5.043639	1.997271	3.855563	3.424557	1.712520	1.772124	-1.820912	2.477654
4.671086	3.444551	5.713519	3.245913	1.951422	2.617555	0.228573	0.586427
3.260890	3.102262	4.873800	3.014179	1.339034	2.453730	0.090114	2.383676
3.157351	2.383403	2.004409	1.122755	2.222556	3.559049	1.883910	2.902100
0.491870	1.027777	-0.304855	0.540644	1.489191	2.400814	2.680460	-0.179300
-1.293253	0.258085	-1.044092	-1.899354	1.916039	2.666728	1.775764	1.111975
-1.358418	-0.519974	-0.043699	-1.949337	1.380002	2.119292	0.368021	0.054127
-1.064425	-1.592996	-1.385977	-2.892804	-0.683718	2.723607	1.875931	-1.437445
-0.826272	0.290718	-2.509225	-2.232755	-3.623621	2.462777	1.475493	-2.482142
-2.073260	-2.825830	-2.792242	-3.144488	-1.922204	3.005301	0.342507	-1.250663
-0.787688	-3.060439	-1.537528	-1.795902	-0.545868	3.346984	-1.347729	-3.889808
-0.602855	-0.449708	-3.183782	-1.876797	-2.859810	2.385325	-0.076815	-2.496576
-2.327162	-1.210836	-0.828104	-1.218570	-1.940530	1.177427	-1.351051	-0.436669
1.043392	-2.960422	-2.086992	-2.868622	-2.391025	0.579591	0.100362	-3.267985
-0.885592	-2.226866	-2.375446	-0.097951	0.087405	2.114520	1.196224	-0.159726
-2.795414	0.871535	-1.084466	0.853444	0.833561	3.476515	-0.134167	-2.373890
0.510826	-1.652518	-2.777651	2.234064	0.388544	2.322077	0.248388	-1.154777
-0.257472	-0.578226	-1.158501	1.990209	0.342657	0.527409	0.010790	-2.547989
-1.856706	-1.294586	1.061386	0.223380	-2.144101	-3.079588	0.004238	1.550376
-2.767576	-0.837098	2.059209	-1.732321	-2.755228	-1.904912	-2.323770	0.772718
-1.271782	-2.714461	-1.204930	-0.335995	-1.421822	-2.645962	-2.164633	1.372136
