X1	X2	X3	X4	X5	X6	X7	X8
-0.639068	-1.127406	-3.011369	-0.217743	0.325905	-0.864857	0.635055	-1.680032
-0.560460	-1.848112	-0.512184	-0.742811	-1.408593	-0.131310	1.556697	0.084442
-0.153307	-0.281144	-2.342850	-2.236053	0.868281	-1.524847	-0.356598	0.360001
-1.069811	-0.695502	-0.661868	0.300130	-0.119473	-1.600268	-1.645831	1.630845
0.278528	-0.494186	-0.472440	1.071038	-1.272955	0.915328	2.244498	2.620677
-0.662691	0.977804	-1.342667	0.129070	-2.186266	3.210840	-0.399513	3.130998
-1.594668	-1.592232	-1.252650	-1.730775	-2.897607	4.083468	-1.347464	5.007508
-0.579004	-0.733194	-1.244791	-0.022696	-4.243878	4.995713	-2.902155	2.267111
-0.106598	-0.217282	-2.966191	0.034405	-2.109881	2.399174	-4.291587	1.415307
-0.748652	-0.780996	-1.158352	-2.000872	1.857384	3.280551	-3.157662	0.289899
-0.860466	3.481365	2.152826	0.212472	2.546418	-0.813155	-3.479179	0.117387
-0.507040	3.260200	3.103341	-0.542564	2.060218	1.454055	-0.503039	-0.564827
0.100625	0.721510	-1.198008	1.421622	0.939784	-1.310518	1.287458	2.044760
-1.208771	3.002095	2.382078	-2.252574	1.265516	-1.690475	-0.879090	2.261648
-0.952029	-2.558346	-2.925703	0.687550	-1.077586	-2.220916	1.479517	4.373840
-0.218049	-3.793312	-1.082752	-1.349207	-5.555224	-2.232339	1.581278	5.269537
2.115869	-0.564802	-2.318669	-1.706246	-2.067098	-1.352746	-1.425507	2.492541
1.310124	-2.109018	0.009244	-0.852066	0.847492	-1.549736	-1.309338	-0.989845
1.666615	-0.392558	-1.031213	-3.157770	-0.005055	-0.714409	-0.523117	-2.107022
0.509743	0.142577	-1.860043	0.754243	0.069961	0.177935	0.045757	-2.572085
-0.926294	-1.302913	-2.271545	-0.831326	-2.227762	-2.131504	-0.568918	-2.384334
-1.170595	0.144273	-2.739522	-1.259980	-2.443622	-0.384625	0.487058	-4.248767
0.756339	-2.313165	-0.264973	-1.923018	-3.064822	3.257371	0.717785	-1.976982
-2.649992	-2.041228	-1.774900	0.161460	-1.337861	0.381185	-1.133538	-1.270477
-0.728289	-1.575715	1.221896	0.607652	-0.510839	0.538417	-0.183612	0.447951
-1.593153	-0.370425	3.056815	0.699960	0.579442	-0.258633	-0.089437	0.495702
-0.074583	0.026840	4.366055	3.252382	1.301683	0.057835	-1.514513	1.784879
-0.526080	-0.346118	2.031017	0.403518	-1.003617	1.810521	1.091659	0.456085
-1.551744	0.245300	2.958698	-0.491732	-1.497459	-2.043274	-1.588121	0.690020
-0.054276	-2.612805	0.163198	-1.168969	-0.288242	-0.413549	-0.511954	-1.555113
-0.416076	-1.998734	-0.261684	-3.098192	-2.610867	-1.317106	-0.075641	1.221689
1.150556	-0.936986	-3.076548	-1.681202	0.264565	-1.608243	2.998719	-1.890774
2.659119	-0.826461	-0.274594	-0.157399	3.945755	-1.858061	2.101424	-3.466598
3.218312	1.233241	0.063275	-0.103784	-1.009999	-1.352958	3.664175	-0.585882
2.835536	0.490021	0.833260	0.883244	1.401304	-1.875735	3.013671	-2.056324
3.833390	0.976277	2.270560	-1.644316	1.985864	-1.909092	0.123711	-1.470521
4.790274	-0.069189	2.764575	4.207436	4.728980	0.270472	0.818995	1.852829
2.080487	4.907123	4.457003	3.960700	5.387951	1.908358	-2.563378	0.982728
