X1	X2	X3	X4	X5	X6	X7	X8	X9
1.456065	-1.699071	-0.929760	-1.494937	-0.303037	-0.317277	-2.030210	-1.381687	-1.666392
-0.924102	-2.262638	-1.630590	-2.207859	-0.999552	-0.999170	-2.247205	-0.961078	-1.565451
-2.245256	-1.990566	-1.642018	-2.111733	-0.999610	-2.987178	-3.184106	-1.743761	-1.515742
-0.516597	-0.481155	2.499556	-1.476258	-2.352213	-1.692399	-1.056713	-0.869035	-2.437864
-0.331327	-2.105505	-0.180567	-0.060334	0.369840	-0.113034	-3.073126	-0.661903	-1.421718
-2.267045	-1.257514	-0.168084	1.094640	-1.327751	-0.728081	-0.553046	-0.928664	-0.801703
-2.490553	-3.309484	-1.739596	-0.900234	-1.394584	-1.792741	-1.242671	-0.084819	1.910581
-0.999450	-1.187414	-2.097702	0.586944	-2.393760	-0.265012	-1.175903	-0.290070	0.558634
-1.788637	2.246798	-2.074899	2.839374	0.385821	1.298305	2.146758	-3.738516	0.235057
-1.995614	1.168650	-1.709988	-0.341342	0.917760	0.165912	2.859213	-2.658858	1.799650
-1.147083	-0.226256	1.408633	-1.293204	-1.674442	-3.078693	3.524961	-5.089598	-0.265887
0.079458	0.342080	0.267665	-1.094211	0.006914	0.803293	1.882902	-4.858936	1.206447
-2.025895	-1.258342	0.745508	-0.776262	-0.388370	3.204469	1.241337	1.358827	0.499251
0.015661	-1.988621	-1.476036	1.359944	-0.154596	5.783635	0.276765	2.015490	1.607925
-1.665477	-0.119657	-1.162666	1.384207	-0.948461	6.360792	1.361186	4.159153	-0.471329
0.826992	-0.866949	0.590218	1.966627	1.633734	4.871341	0.041201	6.866614	1.020987
2.155066	1.193002	4.171617	4.497406	2.612189	4.963981	0.789009	6.874573	3.559175
-1.766454	2.071898	1.689533	3.783044	4.051305	0.275013	-0.788590	5.198529	1.253134
-0.484569	5.430539	2.735065	1.252742	5.325483	0.095137	0.192605	5.204180	2.070664
-2.254181	3.384025	1.411316	1.884500	3.388022	-4.153646	-0.489906	4.763927	3.541066
