X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91
-4.268753	-5.332384	-3.112329	-0.129238	-3.641308	-2.071248	-1.687589	-1.846688	-6.543843	-6.256251	-3.643560	-6.527231	-0.682875	-2.408183	-1.880778	-2.501164	-8.100047	-7.038661	-1.834671	-1.520510	-2.199464	0.644267	-8.687195	-3.479498	-0.637149	0.530711	-0.952690	0.538856	-3.121447	-1.688232	-6.302203	-2.110361	-2.296956	-0.568279	0.360526	-0.034908	-1.581209	-8.512169	-2.092701	-5.991455	-0.380452	-0.639643	-4.790373	-3.550861	-7.482197	-4.799343	-1.131878	-4.225470	-6.598061	-0.763792	-4.523033	-0.796197	-0.391093	-4.746466	-1.103683	-1.446830	-1.657213	-1.234554	-0.528153	-7.134034	-7.445375	-9.138916	-4.993684	-7.824573	-1.703991	-7.185050	-2.863764	0.159062	-1.660284	-0.857127	-1.660926	-0.412785	-1.171874	-4.756360	-1.481426	0.572346	-1.894446	-2.825780	-3.234474	0.466224	0.457230	-5.971163	-1.104282	-0.937132	-1.074753	-2.933469	-0.401168	-1.206177	0.097766	-3.650859	-1.685933
-6.173776	-4.400628	-2.696891	-0.292239	-5.537148	-1.804305	-2.751770	-1.622487	-5.223888	-4.578830	-3.440465	-6.926185	-1.546398	-2.330353	-1.927752	-1.628337	-6.867149	-4.969929	-0.151269	0.130947	-1.734205	0.343117	-5.158029	-0.856322	-0.721461	0.070164	-1.915200	-2.244090	-1.644266	-0.647032	-7.395515	-1.118593	2.321489	-0.996216	-2.915929	-0.523513	-0.023370	-7.103102	-2.535229	-5.948920	-0.281266	-2.608663	-5.273756	-1.353307	-6.087583	-5.557426	-3.232785	-4.752280	-6.671141	-0.892132	-4.450591	-0.623057	-2.231039	-4.466492	-0.963829	-2.066992	0.937007	-2.845305	-0.949611	-5.492438	-4.966596	-5.785403	-4.217427	-2.602745	-2.516374	-6.372453	0.600821	2.420404	-2.237957	0.148587	-2.981176	-1.926649	-0.537650	-6.452707	-0.074061	-1.564659	-2.110937	-4.954363	0.063210	-1.560859	-2.090878	-3.955927	-0.555150	-0.844665	-0.001153	-2.837838	-2.294978	-0.776568	-0.100477	-0.794606	-2.571570
-2.754307	-2.041449	-2.999026	-1.053501	-4.835983	-1.476384	-2.427041	-1.355306	-4.836551	-2.382036	0.361589	-2.818189	-0.770180	-0.823078	-1.185124	-1.070527	-2.860099	-4.366647	-1.788752	-2.312376	-0.898348	-2.250538	-4.739352	-0.184347	-0.823574	-2.511118	-1.998195	-1.170810	-2.184335	-1.112961	-3.896637	-2.900637	0.797897	-2.120500	0.101984	-3.102360	-0.510640	-4.919217	-0.527746	-2.528564	-3.764613	-2.142812	-5.089725	1.537118	-4.468938	-3.570352	-0.836816	-3.616571	-1.288802	-0.840604	-3.949150	-1.418149	-2.566619	-3.951811	2.460202	-0.850838	0.153401	-2.759453	-2.400028	-1.808511	-5.155186	-2.519154	-3.566511	-0.219725	-2.973505	-3.063993	-1.622905	-0.422166	-5.410257	-0.060851	-3.660003	-2.332415	-0.710103	-3.867087	-1.219865	-0.338205	-1.083069	-3.261221	-2.222099	-0.616273	-1.607500	-5.179349	1.700102	-1.169905	-0.274183	-1.734513	-2.165622	0.001810	0.211930	0.760106	-0.588466
-0.459448	-2.680645	-3.159536	-0.003425	-3.306812	-3.347888	-0.139502	-2.383846	-1.610232	-1.913069	1.221304	0.496657	-0.287021	-1.983259	1.792806	0.579263	-0.986600	-0.325417	-0.856022	-2.294179	-0.654991	1.030902	-2.915866	-0.482173	-0.957989	-1.956136	-0.683773	-1.034605	-2.413857	0.349382	-1.716472	-3.539593	2.960369	-1.126529	0.293664	-0.955450	-1.803516	-0.854714	-0.244551	-1.545587	-2.098494	-1.697192	-0.763981	-0.648484	-0.243265	0.545377	0.750228	-1.851343	-1.328043	-1.334806	-0.850509	-3.136173	-1.519333	-1.747925	2.778909	0.982731	-1.763730	-3.756198	-0.230304	-1.669352	-1.638546	-0.918968	-2.064539	0.309786	0.889214	0.801928	-0.340144	-0.294249	-1.960287	-2.241743	-1.667806	-2.101286	-1.217335	-2.881002	-0.369637	-3.383394	3.751758	-1.995555	0.108001	2.063885	1.244563	-1.585631	-0.802024	0.095847	-0.058840	-1.718594	-1.082500	-0.169345	1.049588	1.724378	-1.938120
-0.485800	-3.331818	-1.818022	-1.920907	-2.051236	1.785880	0.840349	0.018093	-1.081332	-0.629631	1.878377	1.186050	-0.826922	-1.606997	3.863741	-0.667867	0.410848	-1.366140	-0.189279	-1.336965	-0.540234	1.439838	-0.374274	0.501803	-1.462807	-1.314790	-0.197932	-1.272777	-3.206733	-0.228504	-1.990921	-1.719663	3.543004	-0.860203	0.165614	-2.983986	-0.693997	1.817907	-2.682544	0.625110	-1.612308	-1.513004	-1.247327	-1.513014	-1.514063	0.873961	2.353247	-2.256998	-0.648667	-2.323439	-0.843570	-0.468331	-2.072183	-1.026832	1.117292	-0.341485	-1.247184	1.136259	3.015359	-1.454464	0.309123	-2.348848	-1.353811	1.079888	2.580483	0.728010	-1.069396	-0.637645	0.241654	-1.068288	-1.120087	-2.907563	0.840654	-0.146853	0.122520	0.734174	2.977743	-3.011165	0.412107	4.382017	0.329713	-1.240974	-0.299128	1.142891	-0.469826	-0.701482	-0.371710	0.866367	0.472498	3.057008	-2.421731
-0.960462	-1.463169	-0.930585	0.956254	2.444545	2.522319	-3.315789	-0.049390	-0.312153	-1.320622	-0.405590	1.440991	-0.921683	-1.592496	2.717882	-2.585318	2.018943	-1.158416	-1.677726	-0.147334	0.378224	-0.851731	-2.729177	-1.953521	-2.015927	-2.352483	1.862828	-1.353025	-2.511265	-0.433020	2.267716	-1.740346	2.215402	-1.590421	-3.361869	-2.115370	-1.730282	-0.990256	-1.427823	-2.147273	-2.363455	-1.042747	-2.139861	0.397429	-2.694235	0.858698	2.387238	-0.397236	0.080827	-0.958903	0.538766	-2.666524	-2.589372	-2.848835	0.070349	0.597213	-0.682061	1.409118	1.335264	-0.609946	-0.138779	-2.800596	-1.753227	-0.190320	-0.097797	0.015050	0.718637	0.895846	-2.578736	1.371412	-2.092445	-1.768446	-1.238136	-0.629443	-0.685794	-1.052301	3.477888	-0.490453	2.598419	5.373225	2.456748	0.117522	-0.926708	-1.064274	-2.438341	2.906624	0.145947	-1.670454	0.768062	-0.319105	-0.851500
1.624666	-0.414596	-2.927227	-1.395141	4.679332	3.805827	-2.367714	-0.656997	-0.566594	-1.491343	-2.939299	0.410879	-1.196303	-3.214357	1.087331	-1.425592	1.948485	0.175052	-1.547865	-3.547789	-0.191215	-0.714204	-2.988376	0.305956	-1.565852	-1.307116	2.257209	0.236848	-3.572955	-0.128265	-0.678362	-1.873844	1.313763	-1.002382	-0.512983	-1.977104	0.224629	-0.207904	-0.937489	-0.220638	-1.397934	1.900676	-0.494186	-1.755754	-1.001381	1.030588	-0.916900	-1.816360	-1.044863	-0.800798	1.457601	-0.049753	-1.650902	-0.860932	0.282881	-0.546473	-2.843560	2.993578	0.140009	0.079501	-0.348355	-1.149414	-0.799389	-0.509639	-0.248927	0.077449	-1.706443	0.153723	-2.408159	2.565357	-2.836681	-1.529438	-2.111207	-1.648072	-1.394181	-1.272420	1.361892	0.489981	-0.205364	4.551010	3.697468	0.199256	-1.082164	-0.305751	-0.710585	-1.400679	1.010173	-0.365208	3.368181	-0.642961	0.067774
0.140682	-0.607902	-2.673048	-1.080889	3.129624	1.895200	-2.216626	-1.290828	-0.716657	-3.658196	-3.104050	-0.416088	-0.289884	0.497219	-0.666310	-2.576591	0.262472	-0.890135	-1.262995	-2.523131	-0.771951	1.277619	-0.101574	-1.945165	1.438220	-1.638589	1.219911	-0.984258	-2.172604	-1.322541	-1.797359	0.162044	-0.145614	-0.304687	3.287672	-1.297190	-0.503762	-0.214737	-1.214341	1.081815	-2.682145	3.616966	0.530698	0.970238	-1.334701	-2.138871	-0.848866	0.851232	-1.409436	-1.582224	-1.168168	-2.477818	-2.930772	-1.111026	-2.869614	-2.598346	-0.138278	3.653939	-2.930706	-0.633124	0.807595	1.664196	-1.561898	-2.038669	0.153493	-0.509696	-0.825039	-0.837314	-3.815116	-0.488253	-2.376293	-2.033440	-1.662559	-0.286342	-2.319343	-1.066184	0.610554	-1.023864	-1.039942	4.953274	1.232074	0.538526	-0.924794	0.811161	-0.177358	1.488709	3.574968	-1.148196	1.886657	-0.455862	-0.736009
0.749886	-1.629586	-1.705450	1.845510	1.391121	0.266338	-0.683123	-1.276184	-1.568742	-2.174482	-1.924144	1.003490	3.331474	-1.169570	-0.759039	-1.086914	1.579102	1.620620	-1.746820	-1.329862	-0.874883	-1.885362	0.826729	-0.164985	-0.399714	1.001897	0.392337	-2.108744	-1.358115	0.405853	0.818127	0.759217	0.759971	1.682767	3.371396	-2.180631	-1.536253	-1.137557	-2.157078	-0.167915	-0.985888	5.359922	-0.174109	3.480805	0.045702	-0.884879	0.678737	-0.330364	-0.803494	-1.136781	-0.811541	-1.213021	-2.169387	-0.616816	-0.191037	-3.647004	1.092784	5.183902	0.110620	0.472178	0.544370	0.664432	1.262046	-0.215912	1.274964	-0.554786	-1.011451	-1.204566	-2.615608	-0.786120	-0.345684	-0.995653	-2.471694	-2.043955	0.495020	-3.175394	0.049076	1.136910	-1.910715	2.824221	0.702566	-0.542368	-1.609097	-0.683740	-1.438561	0.058589	4.550933	0.203783	1.223190	-0.692108	-1.589148
0.665579	-0.354849	-1.154933	3.317759	3.242823	-2.628163	2.959895	0.502434	2.811249	-0.421502	-1.368380	-1.536489	4.173672	-1.966726	-0.837755	-1.383965	1.658775	-1.579484	-0.670941	-0.394583	-2.283511	0.442053	-0.422371	-1.120901	2.034648	-0.157261	-0.997414	-1.024211	-4.005088	-1.169183	1.511293	2.323174	2.082119	-0.153721	0.461888	-2.254529	0.459556	0.972735	-1.468099	-1.182329	-0.610462	5.988643	0.715190	3.529447	2.206529	-1.874837	0.513609	0.215053	-0.429538	-1.159369	0.401683	-0.192063	-2.848046	-1.211103	-1.333689	-2.898349	-1.088571	3.130265	-1.230613	-1.542392	0.698269	0.081093	-0.173458	-0.288766	0.591385	-0.106222	0.843420	0.777367	-1.397535	-0.039144	-1.729052	-2.905479	-1.153811	0.740488	-1.158994	-1.778749	-2.229843	1.904603	-2.492386	3.383550	0.156343	0.621372	0.279028	-0.267955	-1.190393	0.062758	3.214469	0.210527	1.221382	-1.081100	-1.169445
