X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67
-1.091402	-0.011725	-1.812041	-2.601383	-0.448708	-1.974803	-0.572531	-1.126879	-3.346922	-1.462955	-3.080541	0.149285	0.153207	-1.754844	-1.818146	-1.387655	-1.844856	-2.977904	-1.694309	0.847334	-2.220883	0.637015	-0.582167	-3.212799	-1.229677	-2.395910	0.309534	-2.426994	-1.098242	1.153685	-2.384497	-0.444634	-3.117790	-1.570044	-0.193574	-3.097516	-2.914687	-2.018747	-2.803056	-1.922835	-3.992627	-0.841437	-1.913175	-0.509359	-0.513794	-1.502576	-1.398838	-2.898137	-3.033519	-2.677244	-1.728524	0.280609	-4.164496	-2.586562	-2.056069	-0.944391	-1.635794	-2.696953	-2.527299	-2.323198	-1.939784	-0.237234	-1.748228	-5.222973	-3.347499	-1.941885	-1.576819
-1.228720	0.673426	-2.508837	-3.037961	-1.224579	-2.201529	-0.293725	-0.348446	-3.862672	-2.534682	-2.502852	-0.796259	-1.847911	-2.235283	-0.355342	0.667542	-1.425343	-1.756201	-0.373101	0.426481	-1.236473	-2.115921	-0.986432	-0.420189	-3.111413	-1.762248	-2.723284	-1.976515	-1.020458	1.189661	-1.699559	-3.192182	-1.811966	-2.067260	0.811309	-0.812646	-2.510668	-2.576071	-1.441536	1.915127	-3.369122	-0.638207	-1.653409	-0.137116	-2.036929	-1.389662	-2.151576	-3.535191	-0.597932	-0.373998	-1.010423	-2.256113	-1.819955	-1.555656	-1.000294	-0.572088	-1.280913	-3.610062	-4.147094	-0.020193	-0.040787	-1.752445	-1.467616	-2.446699	-1.983317	-1.426675	-1.397474
-1.330516	0.734457	1.756359	-2.170269	-3.692925	-0.231163	-0.060814	-0.099363	-3.624883	-3.195129	0.889928	0.057708	-0.471618	-4.177164	-0.725049	-0.790244	0.059150	-2.152949	1.200251	-2.772018	-1.627651	-1.215790	-0.045876	-1.879765	-1.515466	-2.735145	-2.026780	0.155415	-0.390713	-0.688335	-3.582245	-2.744851	-1.753343	-0.611835	1.351521	1.837553	-2.328592	-2.835427	-1.669382	4.752798	-3.933936	-0.638100	-1.150394	-0.775225	1.410673	-3.714474	-1.661087	0.790501	-2.390092	0.533791	-1.627927	0.126475	-3.638833	-1.946567	-2.697646	-1.013630	-2.551131	-3.643571	-0.301963	-1.439605	0.415743	-1.809735	-0.208844	-2.270569	-1.841016	-1.643859	-0.796790
0.012612	0.136466	2.533849	-0.914505	-2.270546	0.135098	-0.111896	1.626470	-2.164455	-2.832397	-2.096803	-1.282214	-0.269415	-2.728589	1.641335	-1.941612	-0.994774	-1.741250	-1.902454	-0.298162	-0.305317	-1.140395	-1.541601	0.007671	-0.804336	-1.205403	-1.336355	-1.089205	-0.818506	-1.418602	-3.755057	-1.274243	-2.870821	-1.275767	1.409462	2.095884	-3.252759	-1.472613	-2.775996	2.908180	-1.578272	-0.822618	-1.532433	-2.615785	2.684511	-2.581114	-1.442971	0.039237	-0.819099	1.112419	-0.462937	-0.347425	-2.741832	-2.570995	-2.210326	-0.419214	-2.679147	-2.575381	0.245992	-0.636134	-1.057794	0.866996	-2.325113	-1.400984	-2.193296	-1.355339	1.366933
1.607164	-1.927445	4.605132	-0.387070	-2.596841	-2.067347	0.145226	-1.351148	-0.625791	-2.949187	-1.974848	-0.961125	-1.578501	1.565840	-1.581690	-0.955365	1.101083	-1.490604	-2.132514	-0.503250	0.351126	-0.214335	1.782894	-0.349282	-2.102821	-2.039422	-2.021011	-1.371577	-1.545637	-0.965442	-1.679796	0.980245	0.813600	-1.796454	1.278234	4.645245	-0.719069	-1.308530	-1.981280	5.799275	-1.542432	-0.958364	-0.317526	0.840303	2.237186	-1.950382	-0.618032	0.565117	1.159346	-1.303312	-0.017254	4.438386	-1.787354	-2.468941	-1.685136	-1.411041	1.315641	-2.850595	1.599166	1.438617	0.047904	-0.575852	-2.273223	-1.799747	-2.975061	-1.682613	4.810492
1.807939	-0.003177	4.271109	-2.739763	-0.878511	-0.313097	0.165351	-2.274315	-1.070792	-1.807299	-1.037206	-0.394427	-0.531075	2.080823	-1.156823	0.674499	2.985923	-1.034413	0.159872	-1.156881	-1.167122	-0.262112	-1.737992	-0.912726	-0.254521	-3.425705	-2.306848	-2.611501	-0.950706	0.156847	-1.353962	2.578410	-1.250779	-0.049495	-0.613263	5.625739	-0.810522	0.225823	0.826665	5.349483	-1.338820	-2.771338	-0.168874	-0.835860	1.155896	-0.596379	0.995130	-0.881361	1.701543	-1.105904	-0.109778	3.868312	-0.527402	-2.117704	-0.183175	-1.235508	3.033733	-1.811413	1.582557	0.822048	0.918538	2.003121	-2.095073	-0.062460	-1.233711	-1.032583	0.876187
2.440239	0.879570	3.750580	-3.278985	-1.578855	2.311749	-1.593420	-1.716132	-1.549460	1.355266	-1.228681	-0.988219	0.076862	3.011057	-0.870864	-1.373622	3.135146	-0.909675	0.145703	0.836946	-1.758362	0.271372	-0.770359	-0.744564	4.310965	-1.964753	1.868731	-1.299981	-1.038912	-0.907835	1.441344	4.693353	1.191541	2.067614	1.144871	2.252865	1.179484	-1.576755	-0.456863	1.809106	-0.963939	-1.054744	0.785020	-1.143674	2.254041	-1.546609	-2.252987	-1.649798	-0.586106	-1.182157	0.761191	3.191154	-1.645678	-1.605184	-1.686744	0.112886	3.872730	-1.120139	-0.492438	1.081457	2.764107	2.368314	-1.546163	0.405477	-2.344148	-1.492847	-0.322384
1.459563	0.615997	0.939445	-0.082033	2.750627	3.626092	-1.399589	2.054601	-1.959698	2.331008	-0.504175	-2.296201	-2.822789	4.410641	1.307990	0.017772	2.864652	-0.328694	1.686782	0.834032	-2.295297	0.555017	0.405493	-0.176295	3.929638	1.751633	2.482027	-0.413717	-0.051856	1.696312	0.965121	2.393775	3.085162	2.942474	-1.713863	1.645725	0.855647	-0.356263	0.752734	0.218245	-1.831591	-1.729683	-2.512945	-0.567737	0.169021	-1.944770	0.841915	-1.168495	0.226896	0.516527	-0.740347	1.926614	-1.984284	-1.368083	0.578355	-0.801859	7.975934	2.029528	2.700977	1.363443	4.671714	-0.154772	-1.816193	0.177861	-0.740575	-1.306607	-1.586223
-0.154887	0.389704	-4.190895	-0.714110	3.670136	4.742232	0.213843	4.091083	1.986493	3.140425	0.170012	-0.812274	-1.540528	3.577275	0.789537	-0.746220	1.078440	2.918132	-0.325091	0.016277	0.043272	-1.299380	2.162564	1.084777	5.016898	2.660450	3.058336	1.737489	2.156464	-0.816612	3.431868	1.559674	1.191784	3.161487	-1.407964	-2.772982	0.640468	2.164299	-1.176745	-1.767598	-0.055980	-0.229057	-1.156170	0.135051	-0.350764	-0.073966	-1.243966	-1.275353	-1.823349	-0.825553	-0.645492	2.674492	0.868377	1.527101	0.866322	-0.112240	6.275744	2.287884	1.558600	-0.375695	2.498259	1.246563	-1.869764	-0.838710	-1.809993	-1.785661	-1.284431
0.827388	2.388990	-6.781241	1.038487	4.259071	4.510671	-1.789025	3.683515	1.855912	1.858417	-0.979222	-0.093237	-1.214455	3.886757	2.789079	-1.339499	1.915012	3.793501	-0.318316	0.348182	-0.763455	0.372781	0.294354	3.412852	4.385446	4.092399	5.249959	2.015135	0.255047	-0.151106	4.270484	1.795952	1.373106	3.818256	-0.431931	-0.362254	0.900447	2.406531	-0.308602	-3.047223	1.414492	-1.585770	0.284443	1.889690	-0.556315	0.624604	-0.822631	-0.007072	-1.771042	0.439204	-2.180345	2.138991	1.673103	4.863668	3.451256	0.775844	2.545264	4.403729	-0.548373	-0.555059	1.785542	3.752718	-1.022273	2.857662	-0.424104	1.726390	-2.990110
