X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67
0.296101	0.099453	0.117002	0.019862	-1.194533	-1.714430	1.432872	-0.735902	-3.316439	-0.196458	-2.749786	-1.956105	-0.755536	-1.391541	0.172686	-0.397107	-0.297823	-3.092433	-3.300256	-1.884487	-2.051546	-0.082180	0.187762	-0.835738	-0.573323	-1.247956	-1.025053	-0.920887	0.269754	0.031055	-2.405916	0.056938	-1.785219	-1.013202	-2.413744	-0.722353	-1.755818	-0.452373	-1.975153	0.242606	-1.691718	0.048779	-2.295770	-1.126186	-3.713956	-1.666603	-0.930530	0.559857	-1.926090	-3.391469	-2.292069	0.982940	-4.063003	-1.447952	-3.213203	0.550978	-2.910607	-1.697825	1.391981	0.003797	-2.359026	-2.492247	-1.206412	-5.641118	1.179401	-1.908160	-1.063606
-2.296719	-2.882390	-0.733276	-1.377362	-1.920282	-2.850826	0.425117	-1.597253	-2.085358	-0.284768	-2.641512	-1.258728	0.988339	-1.925404	-1.565335	-1.372740	-1.097188	-2.313666	-1.253751	0.192110	-1.683378	0.485750	0.103140	1.523629	-1.257102	-0.185852	-1.352445	-2.159573	-2.089966	-1.351422	-1.305872	-1.740101	-0.402370	-1.632868	-1.676878	-1.165267	-2.876604	-0.427816	-2.772917	-0.380007	-1.162856	-1.733481	-2.534295	-2.853352	-3.286349	1.586542	-1.148900	0.315128	0.193934	-0.264445	-1.726479	0.318172	-4.170706	1.644060	-0.956166	-2.033122	-2.131646	-0.565434	-0.960603	-1.288703	-1.636429	-1.447440	-1.246932	-3.942294	-2.668600	-1.955596	-1.934334
-3.238237	-1.927710	0.192526	1.506189	0.799663	-1.179578	0.359865	-0.339911	-2.758365	-2.418912	-0.179006	-0.458469	0.088314	-3.528428	0.104921	-2.004937	-0.495042	-1.367676	-1.421055	-0.979092	-0.229574	-1.887022	-0.864653	-0.189796	-1.890794	-2.718716	-1.382049	-2.706626	-1.040246	-1.897804	-1.392979	-2.115529	-1.321477	2.768850	0.963533	-1.142678	-3.307591	-0.808836	-2.291410	-0.351774	-2.603480	0.012173	-2.108704	-1.196530	-1.676888	-0.633670	1.378607	-1.039534	-1.366022	-0.698956	-2.738464	1.522075	-3.828893	-0.467500	-1.583697	-2.875420	1.968525	-2.188625	2.710598	-2.221716	-0.325143	-0.352736	-0.578534	-3.319674	-0.402009	-0.862770	-2.471862
-1.431453	-0.034406	0.102609	-1.280385	-0.312998	-2.315084	0.784017	-2.545777	-1.559963	-2.179892	-1.258672	-3.112727	-0.407812	-0.189516	-1.960748	-2.243297	-0.700185	0.017238	-1.997667	0.350109	2.639167	-0.421096	0.952683	-2.347713	-0.068601	-0.579146	-3.533665	-2.416548	-1.433087	0.157408	-3.288539	0.633555	-1.752737	3.644451	-0.514611	-2.339485	-1.772780	-0.453135	-3.370034	-1.892496	2.129011	3.650443	-2.191898	-1.693726	-0.850375	-0.114838	0.900791	1.428472	-0.554957	-0.869804	-3.489325	2.979950	-4.189866	-0.236130	-3.266897	-2.208416	1.835406	-0.952398	-2.429013	-1.485342	0.113232	-2.627134	-0.734917	-1.790359	-1.283225	-2.259082	0.941311
-0.575170	-1.192379	-1.303629	0.889716	0.193535	-0.181244	-0.730426	-3.647552	0.817149	-2.424808	-2.352309	-0.464502	-0.515739	-0.376466	-1.468643	-0.978621	-1.327417	-1.069724	3.497511	-1.129688	3.136945	0.158628	0.397049	-0.234920	0.116877	-1.076142	-2.862993	-3.367441	-1.412192	-1.016886	-0.147253	2.074752	-0.605550	2.626633	-0.392710	-2.113790	-1.419271	0.719787	-1.926392	1.169729	2.862915	5.389234	-0.569076	-2.962440	-2.585714	-1.161759	2.936153	0.761946	-0.326871	0.333611	-1.405062	2.456098	-3.916226	0.724772	-1.519766	-1.620610	1.935599	-3.299955	-1.094337	-1.714680	-0.860104	-1.410934	-0.157781	0.496752	-2.303449	-2.707832	2.319487
-0.691989	-2.390629	-1.360486	0.946191	0.684164	-0.507759	1.040436	-1.233135	0.024969	-0.662558	-1.492719	-1.756094	-0.033666	-0.494980	-1.123866	-1.678508	1.453164	-2.137861	3.588278	-2.594680	4.711761	-0.474449	0.131144	0.930281	-1.847361	-1.285204	-0.873932	-3.992506	-1.388862	0.876911	-0.191619	-0.032536	-0.140515	0.173293	-0.372765	-1.194193	4.203937	-1.338570	-2.048985	4.739302	1.540932	3.146749	-2.253941	-0.271176	0.422592	0.756969	2.371894	0.584290	0.315538	-0.623112	-1.433778	1.000819	-0.982875	0.067008	-1.187204	-2.208904	3.718806	-0.203697	0.335430	-0.726731	0.255948	0.103967	-0.092728	-0.032142	-1.336581	-2.537020	3.256367
-2.905010	-1.657355	-0.644763	0.851442	1.971089	-2.152928	-0.226297	1.209972	-0.609803	-0.131042	-2.120605	-0.171902	0.809807	-1.734059	0.835582	-0.732060	0.218658	-1.034071	2.544932	-2.023667	3.950415	0.994173	-0.145430	2.891591	-1.147016	-1.002632	-1.322483	-2.077745	-2.800499	-1.540500	2.139362	-0.349710	-0.594632	-1.350671	-0.776176	-2.324095	3.179742	1.476594	-1.814918	5.183425	0.871564	4.960193	0.389408	-1.702836	-1.105258	-0.158051	1.349012	0.777004	0.684569	-0.803373	-1.429173	-0.335586	-1.201513	0.603680	-0.996113	2.918301	3.524928	-0.969026	-0.190212	4.619806	1.614888	-2.755033	-0.391457	0.106758	-0.105321	-2.891348	2.557051
-0.738835	-0.691058	-1.577260	0.604767	0.949711	-0.512451	-0.619024	2.549168	2.592932	2.891838	-0.616966	-2.332726	0.684179	-1.901902	-1.329399	-1.985175	-2.769034	-0.927953	4.111174	0.281352	3.313308	-0.170107	-1.586573	2.000311	0.194612	-2.040526	-0.499246	-0.426159	-0.136904	-0.929721	3.817088	1.066433	-0.804098	-6.240260	-0.449442	0.800004	1.903846	0.782778	-1.303591	2.434297	0.315008	2.566069	1.279671	-2.602924	0.431733	2.260484	0.858910	0.868589	3.323124	1.374127	0.835152	0.184883	-1.344942	0.076289	0.449207	1.887206	5.384865	0.684658	0.255740	5.656331	0.935617	-0.731431	-1.559568	-0.626048	0.773731	-3.086515	-0.153159
-1.183764	0.652862	-0.318677	0.994367	1.622331	-0.429326	-0.462845	3.639455	0.161972	3.693884	-0.826005	-1.936166	-0.784149	-1.218212	-0.154312	-2.191355	-0.231610	0.712395	1.527503	4.803178	-0.562559	-0.905486	0.163515	0.610340	2.258220	-3.310485	-0.297121	1.006350	0.534420	-1.743353	1.528861	5.730993	0.206886	-5.393077	0.380535	2.867104	1.700448	-0.040218	0.641692	0.116121	-2.596533	4.277181	3.024947	-1.714541	3.055961	3.564975	-0.239012	2.559946	4.312704	1.837787	1.587396	-2.123674	1.335536	2.092638	0.552656	3.523709	4.818820	-1.483346	0.289886	3.595744	-1.005966	-1.188327	-1.457062	-0.058362	0.625874	-0.831422	-3.203463
-2.455999	1.244206	-0.659613	1.473741	1.521349	0.199945	-0.193659	2.310930	-0.304781	3.130095	-0.359822	2.020378	0.326524	-0.839887	0.299043	-0.308099	-0.139370	-1.352928	2.075716	4.543812	-2.880786	-1.726365	-0.137865	0.353579	2.121709	-0.626110	2.139191	0.603182	-0.687628	2.381203	-0.731720	6.271572	1.180423	-3.402323	-0.661544	3.993903	1.859149	-1.108594	-1.870570	-1.239403	-2.100661	3.581633	4.887536	-1.418291	2.209425	3.151925	0.519146	0.284076	6.118209	2.272906	3.367257	-0.809856	2.505920	-0.913771	-1.730567	3.359611	2.793594	-0.919941	0.206729	5.912444	-0.785861	-1.298019	-0.035140	3.259418	-1.030391	-1.601469	1.318641
