X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28
-3.861405	-4.192049	-3.112518	-6.268519	-1.520626	0.640951	-1.603677	-8.330480	-1.951965	-6.276848	-8.202749	-8.583767	-6.286410	-8.307714	-10.341258	-1.124756	-7.057924	-4.735355	-9.418416	-8.845081	-1.616590	-3.381112	-2.892721	-3.896286	-2.295179	-9.153008	-8.787691	-5.793663
-5.051850	-4.529732	-2.711734	-6.423090	-1.812253	-1.858283	-1.613393	-6.929944	-1.429163	-4.399175	-6.949243	-9.674554	-7.699428	-6.816073	-9.112375	-2.341063	-7.334991	0.518458	-7.486956	-9.773571	-1.111926	-6.466118	-2.305370	-3.332227	-3.877912	-7.142494	-4.117782	-6.499878
-3.510984	-3.989079	-4.130062	-5.020397	-0.967809	-3.118098	-1.661798	-4.746459	-0.989431	-5.316699	-5.568004	-5.437724	-6.230128	-4.446898	-7.008708	-1.697928	-5.921188	-3.766213	-3.651622	-7.213704	-1.572945	-5.131237	-2.209292	-3.785023	-2.424189	-6.390449	-4.132278	-5.804538
-4.019107	-1.136795	-4.298104	-5.323342	1.682205	-0.905496	-0.822294	-2.349126	-3.513770	-6.365022	-2.652335	-0.170879	-1.730913	-3.229190	-1.738157	-1.172254	-4.328118	-2.793468	-2.257515	-2.564079	-1.400548	-0.831469	1.225613	-0.574274	-0.282010	-3.512974	-1.811480	-5.454244
-4.995020	-4.901380	-2.050163	-3.391427	-2.594610	0.160921	-2.915382	-0.715247	-3.470183	-3.838246	-1.511535	-0.928720	-2.007285	-1.548551	-1.069626	-2.373741	-1.771784	-4.719209	-0.653636	-1.048599	-1.169437	-1.638015	2.569244	1.778719	-2.129576	-2.043269	0.008711	-5.087599
-1.545525	-2.494838	-1.379641	-3.652455	-2.308954	0.831852	0.231137	-2.903522	-2.758871	-2.029673	-2.160308	0.354050	-2.159945	-0.232583	0.234085	-1.401992	-1.769686	-1.917936	-0.292486	-0.172065	-1.194912	-2.739677	1.284500	2.890058	-3.227286	1.112765	0.174193	-3.619504
0.397778	-2.284371	-2.105742	2.008972	-1.700626	-2.235203	-2.727038	-0.280755	-2.267038	2.718995	-3.175855	0.991630	-1.644995	-1.059286	-1.314526	0.803593	-1.082027	0.360050	-0.911966	0.915920	-2.863075	-0.513756	1.988681	0.454740	-2.586241	-0.613974	-1.705733	-0.507163
0.984388	-0.893080	1.110933	-0.025448	0.166075	0.246452	-0.868708	0.765854	-3.764084	3.712557	-1.666877	-0.123282	-0.244136	0.419836	0.463439	0.226412	-0.568409	4.025050	-0.374878	-0.286445	1.952674	0.900747	-0.095113	0.146467	-1.300341	1.308713	-2.323470	0.128923
2.804805	1.137731	4.786381	2.422082	0.168547	-3.214683	-0.073374	-0.185996	-2.596413	5.546909	2.298224	2.591014	1.513029	1.112983	1.232078	-1.208436	2.210265	3.821762	2.489277	2.893440	0.399133	3.478630	0.819916	2.451538	1.685013	0.528227	-0.695719	3.167852
5.124626	2.426261	4.218700	1.633861	1.815893	0.553591	-1.936637	1.990292	-1.554926	3.282151	1.613847	1.183514	1.891598	0.847953	1.228690	-1.194754	1.010795	4.271685	1.861599	1.835570	4.518302	4.264094	2.416069	2.475253	1.594921	2.611865	1.188220	4.348920
4.021151	3.399407	0.892685	1.945485	3.795313	-2.443028	-0.954698	1.181217	-2.449524	2.693579	0.145089	0.876519	1.677871	0.614444	-0.005626	-0.807942	0.269779	5.949021	2.417786	1.394046	4.017878	5.433835	2.873344	2.675711	3.523083	1.064227	0.683845	3.798026
4.953679	0.264666	-1.278064	2.419253	3.197006	-1.470542	3.372242	1.562778	-2.062311	2.264993	0.964650	2.050825	3.658245	2.338755	1.562127	-2.324103	1.842013	2.656566	5.233038	0.513066	4.917062	6.112055	0.093842	2.292713	4.447499	1.983312	3.430755	3.289168
3.593610	-0.318964	-2.883851	3.056862	5.029673	-0.692953	2.188082	0.683772	-0.676287	0.748289	2.969328	1.325033	0.559619	2.084184	-0.273051	0.565463	1.197997	0.505822	1.097052	2.121927	3.202852	2.560751	0.950861	0.286557	2.244468	1.950019	3.341249	2.590744
4.145742	-3.261085	-6.349678	0.873811	5.360416	-0.445360	2.097421	2.203400	0.864645	-1.823534	2.421622	1.946139	-0.244509	3.746329	2.348036	2.762155	1.214028	0.753588	3.582229	2.109329	1.848746	1.076822	1.145201	-2.778455	2.553491	2.161447	2.104326	0.631150
2.476174	-2.989399	-5.338948	-0.417703	2.191733	0.487533	1.571458	1.881958	0.063083	-1.136378	3.676529	0.269943	0.719358	2.038689	1.996989	3.673469	0.939805	1.132662	2.207566	2.390169	-1.126955	0.325567	1.925962	-1.192524	2.335767	3.462296	2.216685	1.950985
-0.916496	-3.059710	-2.984165	3.062418	-0.719774	3.812226	1.349092	-0.808954	2.129526	-1.400046	2.371949	1.966943	0.594820	0.943762	1.361605	4.588206	-0.076275	1.028144	1.568464	2.818645	-2.733254	-0.830314	2.123642	-5.303652	2.031896	2.632264	2.300625	-0.503652
0.711934	-0.435319	-0.598529	0.387172	-2.315905	0.464917	2.714922	1.580961	1.807072	-2.052039	2.353380	0.988538	0.210775	1.461947	1.913382	1.087664	1.025787	0.819034	0.560720	2.247657	-4.269351	-0.344524	1.361843	1.294463	2.399179	2.677050	2.083145	-0.332166
-1.536840	-0.253829	0.529455	-0.736242	-2.866560	0.090704	5.541747	0.629203	3.886919	0.344539	3.320720	0.573726	0.247921	1.239242	2.906819	0.496341	1.169189	1.374732	-1.142466	2.529603	-4.699747	-1.377162	1.020162	2.203220	1.093914	1.627154	2.034643	-1.139457
-0.453618	1.164957	0.680084	-0.753828	-3.020437	3.582486	3.338666	0.680370	1.161765	-1.623813	1.131068	-0.078995	-0.401044	-0.932254	0.243815	0.857435	-0.167171	0.710235	1.529005	0.911381	-2.622144	0.476171	-0.343300	2.709718	-1.375998	1.533775	0.363419	2.707871
