X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
-0.069657	-7.241576	-4.657661	-2.630079	-2.975383	-6.816549	-5.241745	-6.291611	-3.983624	-4.857828
-0.201873	-6.574786	-5.650118	-3.526035	-3.859567	-7.133685	-2.924203	-4.105411	-6.300089	-6.301909
-0.606006	-5.784606	-5.681288	-6.452643	-1.545165	-7.591185	-1.441386	-4.441235	-3.407304	-5.290107
-1.277257	-2.988838	-5.224477	-1.927505	-2.141578	-8.222353	-3.461493	-3.868187	-5.325772	-4.917027
-0.439025	-0.336986	-3.324286	-2.303521	-2.556807	-7.545392	-2.975128	-5.170671	-3.963698	-6.359871
-0.404111	-2.050553	-2.016321	-2.666794	-2.374154	-6.289607	-2.653690	-3.899591	-5.908384	-6.812342
2.651487	-2.827743	-2.189784	-1.855725	-0.087719	-1.366200	-1.960082	-4.148251	-3.340133	-6.313746
4.429967	-0.582458	-3.081379	-0.835414	-1.030305	1.061524	-1.426304	-0.025057	-0.631349	-3.692384
6.169030	-0.296902	-1.443309	0.093636	-0.439612	1.505961	0.328843	1.414389	-0.043636	-0.827461
6.329276	-0.211378	0.744022	2.671725	0.754658	4.278307	0.328757	2.220381	2.263604	0.581620
6.396006	0.267911	0.659810	2.801751	0.805203	4.681060	2.103637	1.869316	0.643467	2.245855
2.756418	3.372462	0.876652	5.508312	0.379723	3.330015	0.561683	0.740989	1.514049	4.865842
0.862813	3.201170	1.524045	3.057507	2.875017	2.859668	0.209293	0.628196	2.130647	2.273376
-3.758309	1.978534	2.813086	0.842035	3.015981	3.950615	0.079165	0.378832	0.965358	3.078054
-7.739648	2.092951	1.090670	3.159594	3.141616	0.751654	0.758899	-0.619105	2.670679	1.917973
-6.629204	2.859516	1.606794	3.362283	3.850420	-0.566521	4.271094	0.271178	0.513405	0.576830
-4.381477	1.665727	-0.247044	3.629701	2.026691	-0.824612	1.172549	-1.042122	1.324933	1.816020
-2.474967	2.608580	2.822451	0.316346	1.737328	-0.614023	1.607862	-1.172209	-0.286139	-0.296659
-2.574974	0.422573	1.043176	-0.110684	1.716830	-0.867758	1.239032	-1.370588	0.092983	1.591390
1.062501	1.094603	-0.274672	0.183511	-1.573606	-4.234821	1.274859	-4.565864	-0.344702	-0.823538
0.108859	1.288266	0.630604	-0.830372	-3.206079	-3.034815	1.929941	-5.413839	-1.750499	-2.408844
-0.669500	-0.553241	-1.000100	-2.572033	-4.922893	-6.838445	3.057077	-8.917019	-3.440811	-2.250734
-0.888777	-2.688821	0.031414	-1.742574	-4.600249	-4.196813	1.035067	-3.620608	-5.204541	-2.334309
-0.649272	-5.420976	-1.524559	-4.101497	-5.808847	-3.122723	1.849509	-5.020710	-4.872093	-2.084474
-2.287984	-6.281410	0.318778	-3.115503	-2.248590	-3.070880	3.154102	-4.870429	-5.862171	-0.320031
-1.085214	-6.205126	-4.212777	-4.211093	-2.128879	-1.376386	2.479546	-3.930670	-5.726677	-1.782383
-2.546462	-2.829027	-2.047228	-2.958769	-2.991916	-2.567045	1.052539	-4.416637	-3.429616	-0.588535
-0.197227	-2.953816	-0.535478	-3.684833	-2.218402	-1.036361	-1.849120	-3.409234	-5.402591	0.928812
1.156589	-0.855995	1.209770	-2.990885	-3.286238	-0.242538	0.111768	-0.432566	-5.389105	-1.435247
