X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
-0.921897	-5.535386	-4.988776	-2.104018	-2.577025	-6.657638	-1.602004	-3.720978	-4.174941	-6.217137
-0.789857	-4.910900	-4.816311	-1.984744	-2.401020	-5.188346	-1.585459	-3.545968	-3.867442	-3.825473
-0.514858	-4.749074	-4.524744	-1.760400	-2.362735	-3.243909	-1.534012	-3.232853	-3.570520	-0.957932
-0.299532	-4.406549	-4.261273	-1.633323	-2.352100	-2.078186	-1.414196	-3.071820	-3.482929	0.677941
-0.201552	-3.741975	-3.114855	-1.622462	-2.426957	-1.434371	-0.633624	-3.058464	-3.554777	1.557932
-0.299348	-2.495520	-0.898737	-1.777707	-2.544378	-1.240299	0.712088	-3.259963	-3.840335	1.939958
-0.532720	-1.629928	0.995634	-2.013564	-2.617730	-1.432551	1.523272	-3.535386	-4.121460	1.886173
-0.789712	-1.361881	1.707858	-2.189742	-2.483211	-1.823553	1.416565	-3.740599	-4.255714	1.518453
-0.661080	0.255209	1.471831	-1.999427	-2.027503	-2.389534	0.710622	-3.452580	-3.632931	0.484318
0.814536	2.495280	2.007402	-0.543170	0.174097	-1.504993	0.017188	-1.633513	-1.176083	-0.519633
2.938511	3.774300	3.509174	1.920833	2.943777	0.610988	-0.086887	0.722545	1.374291	-0.439632
4.470222	3.798638	3.996626	3.816233	4.303551	1.945641	0.391614	2.176610	2.628001	0.342651
4.700369	2.984490	3.270873	4.323613	4.578425	1.971230	0.888089	2.110768	2.457069	0.604303
3.771138	2.260735	1.975236	3.548284	3.525816	1.155120	0.969045	1.039093	1.285943	0.124997
2.092011	2.267507	1.052879	1.625760	1.521874	0.507502	0.551691	0.595706	-0.054225	-0.461556
0.146356	2.269324	0.791052	-0.984178	-0.822809	0.420669	-0.161377	1.271298	-0.910065	-0.746989
-1.524328	1.534867	0.319999	-3.470500	-2.685189	0.627575	-0.900365	2.137049	-1.161669	-0.747483
-2.443684	0.466508	-0.640487	-4.586371	-1.409564	1.009110	-1.423380	2.117450	-0.749571	-0.521024
-2.496665	0.764833	-0.744003	-2.976666	1.575726	2.265344	-1.475976	2.523678	1.986683	0.607989
-2.007414	1.054968	-0.099139	-0.450346	2.345784	2.977970	-1.138924	3.344106	3.312372	1.606770
-1.397137	0.801880	0.014166	0.672357	1.426688	2.942122	-0.855610	3.645584	3.590339	1.810576
-0.698086	0.428165	-0.357492	0.651981	0.242654	2.797491	-0.790220	3.227654	3.655832	1.755457
-0.189138	0.342973	-0.416700	0.833909	-0.347242	2.955218	-0.676157	2.444604	3.809805	2.185512
-0.080423	-0.386596	-0.798777	0.710921	-1.273465	3.047971	-0.574553	1.462475	3.590975	2.799158
-0.286553	-1.353610	-1.614535	-0.113283	-2.148952	2.710172	-0.684585	0.526655	3.152856	3.034018
-0.636111	-2.525001	-2.598865	-1.289127	-1.901478	1.876659	-0.969838	-0.352570	2.056710	2.879477
-0.965337	-2.819508	-3.162772	-1.694330	0.871772	1.088394	-1.176348	-1.364517	0.320791	2.625509
-1.173003	-1.659265	-2.734283	-0.741881	2.857998	0.854934	-1.077481	-1.667287	-0.985818	2.483733
-1.054168	0.025730	-1.315526	0.795238	3.925125	1.280695	-0.717716	-0.158965	-0.615976	2.532673
0.006840	1.267435	0.911224	2.336977	4.453526	1.979088	-0.168779	1.296449	0.534743	2.748239
0.949056	1.346845	2.289591	2.901080	3.898091	1.679366	0.265653	1.326916	0.587533	2.268274
1.129202	0.628670	2.569118	2.141901	2.190789	0.541409	0.576093	0.086783	-0.599593	1.071678
0.719434	-0.752307	1.910249	0.415049	-0.075524	-0.211037	1.179761	-1.820745	-2.469746	-0.051438
0.034321	-2.760379	0.351317	-1.711815	-2.186926	-0.620445	1.656745	-3.676917	-4.414236	-0.963300
-0.666693	-4.609016	-1.611600	-3.527476	-3.439408	-1.691681	1.727166	-4.850480	-5.740478	-2.055519
-1.180461	-5.659007	-3.642766	-4.360812	-3.755483	-2.456928	1.335052	-4.974632	-5.959219	-2.994170
-1.429070	-2.317669	-4.260948	-4.108354	-3.529512	-1.828303	0.538765	-2.843823	-4.191041	-2.965620
-1.449858	0.954089	-2.042659	-3.336325	-3.226261	-1.496339	-0.407941	0.421717	-1.603895	-2.765656
-1.344881	2.521993	0.429199	-2.616871	-2.927153	-1.318991	-1.232144	2.680885	0.695829	-2.549310
-1.214671	3.478965	2.021228	-1.229301	-1.446736	-0.964797	-1.578467	3.674156	2.026602	-2.120876
-1.118057	3.972503	3.067529	1.438709	1.128576	0.143129	-1.053705	3.990696	2.978591	-0.993698
-1.073597	3.841052	3.346883	3.960847	3.553499	1.403666	0.131025	3.484212	3.404403	0.394888
-1.074999	3.156001	2.925011	5.206595	3.899186	1.870441	1.308937	2.272821	3.233175	1.172102
-1.101528	1.562802	1.638894	4.946912	3.308106	1.208121	1.817854	0.377884	2.038740	0.914811
