X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
0.332149	-4.926290	-2.725120	-3.797454	-0.188108	-4.480617	-2.404177	-4.984166	-3.182655	-4.824422
-2.583948	-3.630718	0.958448	-1.320646	-1.078385	3.257068	1.679260	4.368661	2.105073	2.909467
-1.139761	3.270531	0.403357	1.679964	-1.862065	3.137505	3.851061	4.024514	4.071868	4.015122
-0.896003	1.439635	-2.818623	-3.006560	-2.098170	-0.823707	-1.415693	3.098107	3.102034	-0.744367
-1.736984	1.415970	-1.268024	-2.892551	-1.492222	-4.722069	-3.207917	2.602654	-0.775827	-3.223710
2.055483	-1.199987	-0.349478	0.718154	-1.624844	-0.600882	0.191572	-1.498931	-1.963414	-1.366817
3.923686	3.179241	1.442383	6.990322	3.588843	5.817451	1.766458	2.543166	4.238676	2.706201
0.429014	0.754132	-0.076872	2.469518	3.397319	-0.128574	0.812324	-0.824943	1.589141	-2.074468
-0.504446	-2.422437	-4.383975	-5.487693	-2.582639	-5.563060	-4.774945	-5.536243	-4.247117	-5.432835
-1.375405	-0.526189	1.215741	2.281756	0.985050	2.425689	-0.038866	0.075778	-0.637101	1.620088
0.862925	2.258254	2.986846	3.683631	3.348065	5.840568	4.385647	7.254533	3.129788	5.662889
1.647032	3.698570	2.239607	-1.116302	-1.200012	0.859072	-0.633223	5.144734	1.374948	3.496854
-1.553695	1.139637	2.092492	-6.202774	-1.792401	-9.723905	-3.598989	-6.295108	-4.591925	-1.458529
-1.560370	-2.960267	-1.044429	-2.486720	-4.517521	-5.539768	-2.381568	-13.708880	-4.721134	-5.840574
-1.533103	-1.837363	-2.992287	-1.864271	1.552311	-5.674024	-0.581071	-4.543771	-2.912284	-5.720193
-0.244006	-6.171071	-3.726713	-3.276058	-2.451423	-7.099379	-0.478514	-2.968471	-4.280381	-3.037901
-1.923890	-1.830712	0.044862	2.256788	1.438660	1.811558	1.500591	0.061632	-2.187929	-0.541710
-0.254868	-0.159406	0.368608	4.966836	4.496544	3.013782	2.545531	1.164547	1.338865	2.220565
1.810851	1.649527	4.817796	4.059057	2.956412	2.876683	2.143895	3.900685	2.652793	1.835310
1.882454	2.770768	3.574597	-0.816378	-2.946249	1.083154	0.080571	3.916355	2.477149	0.196011
1.984630	1.802500	3.203483	0.226403	-1.346555	-1.269413	-0.455451	2.436265	0.622025	-0.255145
0.330869	0.524902	1.405825	3.379472	3.439581	4.667972	0.369518	-1.902574	-0.540889	2.152428
-2.798541	2.748659	-0.077304	3.155304	4.653744	1.500901	3.442570	0.498544	0.067001	3.522715
-1.660809	0.205054	-0.105929	2.970572	3.330123	4.092166	4.105996	1.495429	2.748383	3.710402
3.564954	2.163369	3.623422	4.237451	2.514106	3.381255	1.711189	0.268787	0.720049	3.217877
0.960337	0.437990	-2.103274	-0.134382	-1.973720	-1.814339	-1.183257	-1.881575	-1.604411	-0.635474
-1.221769	0.928201	0.422658	-4.700449	-3.963766	-0.240827	-1.237450	-0.588149	-1.075108	-1.161366
1.087426	-0.647811	-0.994005	-1.525974	-0.310140	-1.987118	-1.964794	-0.776929	-3.636353	-3.188110
1.223711	-1.507161	-1.364485	-0.853977	-1.045253	2.360077	-0.538892	1.181790	-0.115555	-0.409521
0.777179	-4.107460	-4.690104	-1.688278	-0.994514	2.554248	-2.508948	-3.758086	-1.315826	-0.126911
2.031819	3.009079	6.828518	4.363405	2.945469	5.423586	3.776037	4.581047	5.320323	3.188208
3.639622	3.183446	2.634762	3.179353	0.635588	6.239079	4.963260	5.438895	4.926180	3.677322
-1.514420	0.556129	-3.039991	-3.678549	-3.557665	-1.703083	-0.941978	-0.884439	0.479535	-0.916478
-0.656916	-1.397881	-3.172057	-5.327217	-2.307494	-0.533711	-6.886677	-3.993751	0.841776	0.751094
-0.651074	-0.654392	-0.044052	3.816434	4.365392	2.472485	-0.391134	1.510962	2.608192	2.796527
-0.277202	1.181288	1.923109	6.027591	4.277989	1.711494	1.792253	3.173604	1.022571	1.003511
3.403492	2.586951	-1.902787	0.972742	-1.528307	2.407105	-1.073512	4.328475	2.259302	-0.611865
-0.156300	0.681192	-1.215253	4.098777	0.806998	-0.968993	-1.423523	1.198879	1.604774	-0.004812
0.696215	-0.639094	-2.611600	-2.000515	-1.518199	-1.656010	-0.751976	-4.358384	-1.740123	2.702162
-2.037070	-1.843212	1.377263	-4.463641	-2.172702	-0.085559	-0.789863	-1.836111	-0.125302	0.893746
-1.256262	-2.548765	1.169427	-1.847311	-2.228113	-4.967151	-0.221677	-3.551503	-1.747271	-3.863368
-0.492469	-2.178456	0.627084	-2.534728	-0.163636	-3.261896	3.196492	-1.452160	-2.392442	0.558712
-0.848096	-2.954887	0.719830	-1.405000	-1.843470	-2.899806	3.002453	-0.313481	-2.522624	-2.266223
0.240050	1.724942	2.982360	-1.313229	-1.464220	-2.216792	-3.078184	-4.607366	-3.666128	-1.969581
-0.269438	0.677630	0.060070	-0.696319	1.561016	2.670734	-2.880005	-2.495218	-1.034761	0.425532
-2.259864	1.763779	0.385858	-1.180371	-0.015765	3.235260	-0.439001	2.966464	2.604367	0.608108
-1.466834	2.995991	-1.246876	-3.597185	-1.468863	3.083876	-1.192155	5.112176	1.363448	1.600142
-1.508355	-0.303933	0.498468	0.669338	0.164523	1.230270	-0.908256	-2.093681	0.492073	1.090227
-1.121531	-2.989389	-5.347607	-3.144600	-2.723908	-5.071071	-1.023287	-10.424412	-5.424863	1.546658
-0.342568	-4.163772	-1.095899	-2.197897	-1.346554	-6.233758	-1.343733	-3.473018	-1.213769	-5.540770
-0.789071	-1.106078	1.542697	-1.708547	-2.164816	-2.258002	-0.559978	2.692498	-3.054749	-3.271461
-1.077144	-2.099301	-3.242714	-2.674549	-2.776691	0.926084	-2.393705	-1.436367	-1.759811	0.146280
-2.924892	-0.270035	0.461376	-0.163194	-0.984479	-1.516111	1.210504	5.377483	2.206142	-1.249951
-2.082320	-0.511172	1.408573	-0.465478	0.546522	-2.024300	1.617768	2.418244	2.028906	-1.799757
3.620769	1.745295	-2.043011	2.978006	2.667114	1.924107	-1.420496	0.361814	-0.260924	-1.527341
3.879669	2.143475	-0.682869	3.443168	-0.347201	5.122696	0.708032	3.637688	2.060249	1.535995
2.917876	0.356777	0.654012	0.292316	0.841980	3.451356	1.964572	1.613862	2.867224	3.670747
-0.180312	-0.503090	0.512444	-3.180940	-2.206343	-3.718626	-0.753157	2.190132	-1.571700	-0.429785
0.510699	2.652484	2.721141	1.659310	1.171534	1.559539	2.796565	3.627193	1.964475	-0.868804
0.601707	-2.125789	-0.291885	0.350377	0.604413	-0.413262	1.406160	-2.362859	-1.849450	-0.171911
3.158007	0.020902	0.639682	2.147274	4.529097	4.642860	-0.030653	0.724771	-1.534475	3.142793
1.367195	-1.489633	-3.440943	0.494712	-1.331011	1.336292	-1.899153	-0.915021	-3.540297	-1.388393
2.216970	-0.850980	-2.232142	-0.535696	0.842692	4.406822	-2.597719	3.223761	3.072787	2.103231
0.002426	-0.126528	0.602801	2.942364	1.994407	2.974937	-1.490531	4.141812	2.614779	1.921665
-3.489939	-0.613164	-2.564596	1.797006	4.411639	0.751627	0.097232	-1.087573	-0.453817	1.789309
-2.499529	-2.641075	-5.175615	-3.229956	-1.048110	-4.371621	-2.452809	-5.380098	-3.233294	-4.544038
-0.633947	-1.968047	-1.594137	-2.174507	-3.229436	1.200181	-3.124635	-4.304667	-4.306348	-0.779374
