X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
-2.302813	-7.576067	-5.44766	-3.451088	0.275377	-5.91033	-0.780605	-5.342361	-3.864871	-5.668145
-0.599451	-6.057559	-6.556395	-1.816414	-0.924292	-3.499176	-3.933923	-1.968198	-5.429037	-7.908873
-2.061926	-5.54125	-3.694894	-1.040237	-1.206361	-2.864745	-2.636232	-6.977849	-5.126579	-3.900303
-0.836339	-5.256642	-6.043658	-0.551556	-1.29963	-2.659838	-3.053832	-4.449512	-4.472995	-3.568636
-0.017689	-5.747436	-6.016288	0.164032	-1.317597	-2.701955	-1.562625	-1.160688	-5.931686	-4.398672
1.915326	-3.287031	-4.060884	0.948027	0.012539	-1.734195	-1.845809	-0.492176	-1.938852	-1.316812
2.794204	-0.924329	-1.296446	1.616031	0.18718	1.564041	-0.156685	0.923924	0.030007	-1.486157
4.789548	0.640369	-0.620776	0.723545	-0.958172	2.020152	-0.418854	0.853111	0.437792	0.802594
2.306958	2.301263	-0.117374	2.116171	-1.485816	2.727539	-0.101016	3.351087	2.376901	3.004838
3.416533	1.350952	1.24006	-1.037191	1.202349	3.301402	-1.927671	4.268051	1.799936	0.789676
0.647175	3.047635	3.283725	-1.087938	-0.039675	3.102641	0.594081	3.711305	5.223396	2.206907
2.187985	3.292711	4.09532	-0.222169	-0.561086	0.395454	-0.36836	3.343747	3.679281	1.08313
3.752362	3.13098	2.674446	-0.832184	-1.328984	1.275444	-0.737394	4.389379	5.490691	2.480045
2.187408	4.771841	4.081501	0.83632	0.082335	2.993008	-0.065123	4.8094	3.790527	2.740451
1.279023	0.108793	2.289186	2.156743	-0.91833	1.273947	0.755055	4.326112	0.381087	3.385648
1.280107	3.316136	2.161099	3.468686	0.644523	1.623361	2.737938	3.287114	2.424473	2.140535
2.659762	2.570269	1.84504	5.508951	2.451596	2.112749	1.988827	4.358906	2.165884	3.543012
1.481188	1.901991	3.439509	4.548239	3.09919	2.677413	2.410021	2.65219	4.12412	2.428877
0.125086	2.696101	0.892506	2.335451	1.154907	0.85105	0.535121	2.364664	2.493681	1.819632
-0.670945	-2.341201	-0.11857	1.570187	0.027248	-0.963038	2.753426	-0.581769	-1.003932	1.574974
-2.778002	-5.256716	-3.567319	-0.60255	-0.304485	-2.581452	-0.692265	-3.097311	-0.516621	1.745804
-0.363485	-3.043444	-2.798641	-3.954061	-1.945892	-5.724491	-0.664551	-1.79756	-3.617384	-0.08898
-1.060094	-1.963787	-0.804037	-4.575544	-1.555871	-2.131957	-2.834633	0.578583	-3.502123	-2.039877
-1.212529	0.130455	3.106793	-6.453897	-1.92102	-3.46235	1.374489	-0.68398	-1.263236	-1.234588
1.079813	3.810281	4.026549	-2.813722	0.060262	0.259432	2.636316	-1.148351	-1.812725	-0.903214
0.75673	2.608091	4.74163	-0.191615	2.041676	1.482486	2.523546	-2.287827	-1.361488	0.404446
-0.066575	-0.056316	2.901536	0.495523	2.258923	2.905014	1.630579	-0.145709	-0.204627	3.22379
-1.834702	2.800459	2.974768	0.455894	0.588306	1.581716	0.340316	-1.344597	1.145959	1.501317
-0.527051	1.539316	1.645124	-1.529803	-0.819976	0.05099	-2.035344	0.088411	1.90487	1.210129
-0.91342	2.188154	2.133505	0.661034	0.308179	1.296337	-3.443	0.518213	-0.002595	0.466023
-0.44471	2.505172	1.62901	0.685406	-0.471427	-1.116744	-1.539755	0.897012	1.961666	-3.0768
-0.694219	0.120269	-0.07076	0.246013	-0.790293	-2.334151	-0.750506	0.077606	0.11085	-0.608642
-0.719546	-0.869554	-0.825906	-1.386144	0.992882	-3.581087	-2.290455	0.800097	0.379659	-2.143701
0.117609	-2.165899	-0.877829	-2.181364	-1.266001	-3.70405	0.285797	-0.424415	-0.309307	-3.443779
-2.541654	-1.061867	-2.095427	-1.302447	-3.370941	-2.067441	1.275352	-0.63643	-1.855449	-3.489477
-2.759332	-2.337558	1.358999	-1.884493	-0.131136	-2.695461	2.392709	-5.026948	-1.057367	-0.198295
-2.602726	0.572128	0.741348	-0.236901	-1.672485	-0.041608	2.118567	-5.152267	-3.914461	0.475968
-2.018035	-2.531411	0.218921	-1.209569	-2.928488	-2.205685	2.133926	-6.407288	-3.045232	-2.024791
-2.145557	-3.499675	-2.510883	-3.928399	-1.306043	-1.38439	0.995587	-5.44371	-5.008078	-2.10127
-1.779793	-4.351964	-2.958263	-0.953989	-3.196648	-1.006323	-0.282052	-2.822532	-1.550601	0.713029
-1.009641	-1.60778	-3.93392	-3.56424	-1.607004	0.193214	-2.41899	-1.289056	-3.8412	0.585505
-0.543301	-1.219823	-0.606754	-2.970449	-0.254109	3.492722	0.173973	0.581521	-2.938876	1.48716
-1.109671	1.163606	-1.244164	-0.800419	-0.427162	3.5234	1.976136	3.006499	2.048171	2.167791
0.647848	1.240406	-1.008951	-1.845147	-0.974861	2.808949	0.751799	3.969577	4.050042	2.105199
2.663059	2.595378	-0.918914	-0.905735	-0.187506	3.397468	-0.169738	3.144657	2.081235	2.159883
1.913961	0.95092	0.446545	3.394219	-0.217497	4.357357	-1.496476	4.393538	5.02935	0.763843
3.484156	1.257131	0.467728	2.941215	1.761569	2.520115	1.462086	2.983021	2.707888	4.720978
0.857844	1.573812	2.878334	3.935052	1.904892	4.644644	0.694948	2.121606	4.215948	2.159488
-0.293173	1.52376	1.465564	2.427931	0.954472	3.034941	0.492408	2.492094	3.88693	4.420773
-0.433196	0.048676	-0.277084	-0.270048	4.274511	0.913608	-2.926333	3.197685	3.306734	3.881931
-0.457323	0.529158	-1.244408	-0.384185	1.55001	0.139443	-2.503875	-0.02502	1.021459	-1.189237
0.007247	-0.414193	-3.042609	-3.22458	0.173269	-0.940753	-5.127519	0.588879	-0.706994	-1.378432
1.919415	-1.868679	-2.907886	-2.173534	-1.20931	-1.295481	-3.932565	2.507682	1.370273	0.355045
2.525681	0.4809	-0.85764	-2.877145	-0.917828	2.09386	-0.964213	4.520489	-1.114739	-1.672905
4.885646	-1.015558	-2.02217	-0.037515	-0.577882	-0.488632	-0.432063	0.044201	-0.797431	0.704416
1.415311	-0.766052	-2.439778	2.038057	0.313126	0.089944	-0.036616	-1.024381	-2.458203	-0.139392
1.498178	-1.543583	-0.698361	1.668771	-0.489501	-0.338612	1.091728	-0.586858	0.036045	-2.514129
-1.719454	-1.850353	-1.933421	1.814326	0.355437	-0.779702	3.82837	-1.547729	-0.595187	0.750604
-2.381083	-1.403162	0.067242	-0.118478	-0.767259	-2.152724	-0.477192	-3.072793	-0.237301	-1.711093
-1.739209	-0.749811	1.19223	0.208359	-0.370089	-6.16098	0.041543	-4.741451	-2.426796	-3.49962
-1.17903	-0.9622	0.77174	-2.234064	-1.677952	-6.53897	-0.885526	-5.210703	-4.772973	-5.086579
-0.156145	-1.20143	2.522775	-4.959146	-1.628648	-2.629994	1.262201	-6.645946	-5.475932	-3.492069
-2.416454	-1.059203	2.550834	-5.405088	-2.606876	-0.117852	1.120124	-6.572283	-6.015274	-1.675792
-1.354256	-0.749418	1.119716	-4.275391	-3.400334	-0.880344	2.155443	-5.034812	-6.852899	-1.271447
-1.66915	0.315523	0.535022	-3.702455	-2.472424	-0.570472	1.499157	-4.244732	-3.661907	1.248965
1.741164	0.78952	1.626152	-1.68778	-2.665344	-1.043634	-0.291534	0.760055	-2.372598	-1.130957
-0.454811	1.675672	1.630307	-3.483467	-1.953594	-3.870832	-2.833331	2.822852	-0.550275	-2.833113
-0.866675	2.078478	2.468285	-0.998916	-3.449174	-2.362266	-2.577932	4.653057	-0.461835	-3.051603
-1.580128	2.927937	2.392487	-4.085028	-4.180282	-2.843636	-7.48044	3.617071	0.849018	-3.853528
-1.267369	4.003249	0.555214	-4.073003	-4.060819	-2.510242	-2.290453	2.105195	2.153386	-3.49069
-2.609595	3.646912	1.139165	-1.771043	-1.325084	-2.299585	-3.849073	1.120928	3.372668	-1.868887
-1.426708	0.362026	1.42424	-2.878847	-1.146677	-0.325165	-1.268699	0.46987	1.533563	-1.174921
-1.535305	1.16939	-2.950861	-0.975816	-1.712597	-0.614883	-0.184232	-2.856277	0.34707	-2.271491
-0.880786	1.444802	-1.308338	2.718849	-0.044445	-0.751438	2.286928	-3.909114	1.101589	0.6875
