X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
-2.172216	-3.741942	-5.053755	-2.64439	-1.619345	-5.434321	-1.930916	-1.152024	-1.538144	-3.201785
-1.244501	-1.753679	-5.894432	-1.55221	-2.050796	-3.423714	-1.639768	-0.383394	-1.577062	-5.92137
0.114772	0.627471	0.144912	-3.167786	-4.298765	0.347249	-2.287203	0.322985	1.123462	-0.098291
-1.843725	-3.181807	-2.292785	0.390372	-1.733049	2.14086	2.034934	-1.432076	-0.608364	1.899217
1.723483	0.692274	1.351415	1.428758	2.972957	1.478211	1.550396	-1.209066	0.920271	1.759918
0.070673	4.292296	2.646651	-1.202638	1.609356	2.572795	0.321238	0.526324	2.944071	0.53748
1.520923	-2.045056	-0.702741	-2.642525	-2.699447	-2.469093	2.644414	-3.126498	-3.796856	0.93677
-1.626785	-2.8671	-1.772625	-0.293311	2.651555	4.41564	2.403979	-2.598425	-1.829306	0.744355
1.853528	1.235346	-0.660865	2.332994	3.038867	1.91369	-0.14031	2.655749	0.995424	7.155607
-0.716551	0.508262	4.151275	-0.609721	-1.364703	-5.124146	-3.137998	1.16083	-2.887165	-3.041004
-0.129739	-2.622271	0.83333	-1.985266	-1.53455	-4.728471	2.221772	-2.774778	-2.964572	-4.498807
-0.424448	-0.262975	1.276434	-0.809852	-2.173267	-2.415888	1.253157	-1.284873	0.287602	-1.002628
3.397811	-0.699069	0.337122	-1.34109	-3.519745	1.364402	-1.848683	-1.210253	-0.200845	0.555706
7.363529	4.243122	3.731227	0.226509	0.367223	2.833497	1.897308	4.329384	3.700383	0.952771
3.205098	0.345875	2.217483	2.837531	3.130243	2.129597	-0.006808	2.547136	3.605081	3.335942
-3.349087	-3.399232	-1.715376	-0.227435	0.592223	0.580102	-1.412872	0.388703	-1.034357	0.124696
-2.080732	-2.508825	-3.837017	0.732695	-0.59423	1.025811	-0.013322	-2.984319	-1.523839	-0.338588
4.784163	-0.26813	4.145894	4.44121	-0.362309	2.316626	3.270404	1.102667	0.379125	2.309867
-1.060605	1.992627	2.947989	-3.147107	-1.253007	1.148646	3.127768	-0.075844	1.386526	1.932041
-1.834634	3.83312	2.973102	-1.82327	2.722881	0.979372	3.408836	-1.016258	-1.257149	1.659515
-0.051523	-1.72858	-0.311033	-3.323396	-2.319339	-3.811394	2.057373	-2.695883	-5.358912	-1.434931
-1.490568	-6.445299	-3.495982	-0.7923	-3.052262	-3.548352	3.184043	-2.263027	-4.516479	-2.742114
-2.144763	1.612032	-0.707412	1.5022	-1.438484	3.713599	1.361816	1.654601	3.453637	0.230747
1.060697	1.180584	2.529413	3.523686	3.017199	3.443959	-1.334942	0.33409	5.066617	1.557837
-1.369779	2.421128	1.832327	3.634639	3.121288	2.980529	1.50934	4.477128	5.135945	2.889538
-1.297783	-0.814867	-0.671233	-1.10516	-1.190613	-0.80849	-1.902067	3.878602	1.9621	-2.595964
0.026796	3.894269	1.254568	-1.825932	2.159695	1.0213	-4.044392	3.497099	3.422463	-0.877486
-0.934331	3.653805	0.842968	1.975203	1.279213	-0.7314	-0.872761	5.326803	5.815012	-0.888541
-0.063352	0.367009	0.496405	0.998523	-2.397961	-0.967092	-3.2678	-0.579302	-1.855975	0.920156
-3.227453	2.181649	1.594818	1.225905	-0.403031	-0.661578	-0.471833	-2.683733	-0.676021	-2.93141
0.373279	1.753395	3.157947	3.509625	0.188101	0.82284	0.608018	1.986492	2.93915	-1.237751
5.12046	1.533814	1.886634	3.689559	2.680829	1.788759	4.35213	2.686555	0.877913	-0.263781
-0.078695	-4.243726	-4.683578	-2.337617	0.493247	0.838376	-1.680016	0.000633	-1.227759	1.852487
-3.93287	-6.379256	-5.443446	-2.996231	-4.048454	-4.378015	-2.79264	-3.693592	-3.356092	-2.637959
-0.335047	1.951591	3.465777	3.664191	-0.298883	4.641482	2.323642	-1.146043	2.891388	3.036967
-0.005309	2.020985	3.512538	1.624622	1.72965	3.726859	1.913614	2.548657	2.095351	3.405354
-0.937439	2.182593	0.177485	-2.615268	-1.921269	-2.90509	-3.453939	3.068185	-1.60853	-0.220311
-1.204818	3.273885	3.07687	-3.860408	-3.816453	-4.719474	-2.47493	-1.321283	-3.654184	-5.182241
0.438872	2.515731	3.532446	-0.988128	0.050883	-2.161302	-0.60487	-3.104474	-1.990742	-4.453447
-2.739051	-1.835401	0.015667	-0.51146	5.251521	2.102116	-0.96647	0.373489	0.246067	-1.131542
-1.115169	-0.109239	0.05099	-0.012436	2.306342	3.184569	2.379962	3.167078	3.373513	2.314463
3.408938	4.136486	2.299474	-0.846689	-0.919473	1.112644	0.195717	4.488766	0.665665	-0.026045
6.801387	2.111247	1.09888	1.160647	0.802954	2.212027	-0.353709	5.422427	3.915592	1.426122
-4.221703	-3.337385	-4.222627	0.683137	4.555098	-0.266195	-1.037621	-0.988069	-2.730937	0.063652
-2.081014	-3.631036	-2.349384	1.505347	1.850336	2.770361	0.188278	-2.53735	0.029548	2.194233
-0.49583	0.051767	-0.30162	3.117639	1.26514	1.096479	0.721285	-1.398644	0.612114	-1.131648
1.265268	-1.616501	-1.687765	2.129376	3.253381	-0.41676	-0.891598	-1.821381	0.268432	-1.664303
5.328995	1.597135	1.438555	3.76712	5.479032	2.993327	1.511727	2.13321	2.096269	3.623256
-1.496632	-6.054248	-2.496686	-0.749468	-2.439841	-3.16988	-2.076935	-1.573902	-3.670605	-2.721483
-3.188697	0.257427	-0.822208	-1.443626	-2.30377	1.282796	-0.486182	-1.180946	2.603978	-1.747234
0.472513	3.999038	4.12957	1.969904	1.075611	3.151836	3.741491	0.453048	3.696289	1.668192
2.753112	1.716865	0.849832	4.025382	3.148266	3.279315	2.272191	3.186449	4.530995	3.485881
3.831415	1.671989	0.495164	3.493266	3.475959	3.612711	-0.409976	5.002627	2.111368	1.990921
-4.822168	-0.438009	-0.554546	0.146515	0.95755	2.293698	1.687798	0.808252	5.130477	3.967199
-1.298925	-1.653745	-0.283905	1.494484	3.978901	-0.068248	2.670324	-1.773807	-0.930807	-0.913097
4.046855	4.016264	1.625881	-1.770769	-1.93943	0.486646	3.09071	0.52412	-3.668415	-2.164281
1.652379	1.163403	1.002509	3.925011	-0.708685	0.486853	-0.89503	0.699403	1.455026	2.020134
-2.946343	-5.01344	-3.736023	-1.032918	-1.023307	-3.802253	-5.261686	-0.983986	-2.805814	-3.809663
0.798294	0.24652	-1.537213	-4.073604	-1.90604	1.242499	-2.401044	0.330521	1.114037	-2.240188
-1.609804	-2.399626	-0.221056	-1.10429	-0.969829	1.70158	-2.79349	1.153996	-0.801548	-0.820551
1.319868	-0.48509	-1.166146	1.334278	-0.90952	0.971561	-0.00591	0.59771	0.222603	2.455733
5.580311	0.380519	-0.406676	1.100753	-1.457559	1.319213	1.102611	0.852335	-0.157237	3.655852
-3.250271	-0.063106	0.315568	-1.480611	0.151804	-0.000194	-1.449811	-1.413658	-1.968393	0.975393
-4.06328	-0.759072	-1.571405	-1.092059	1.705624	-0.972991	-0.61036	-2.103796	-2.945293	0.521842
0.726383	-5.809787	-4.716877	-0.815238	-0.91185	-5.051808	-1.402719	-1.566205	-3.661361	-3.809613
-2.317384	0.847346	0.357466	2.150005	1.304934	0.992324	4.051828	-1.001212	-1.173223	-2.342985
-0.965387	1.499421	1.902844	-1.019677	-0.668473	-0.260925	2.958699	-3.408144	-1.214104	0.755514
1.80617	-0.312365	-1.428925	-0.55273	-0.491922	0.727213	-3.01659	1.171076	-0.879326	-1.377131
-2.478821	0.864986	0.42228	-1.885701	0.894739	-0.357693	-3.663521	4.327621	2.969685	0.648468
-0.77917	-1.799729	-2.312917	-2.917935	-2.452241	-0.196873	-1.576277	-0.84213	1.546606	-1.792701
5.896914	2.620989	-1.045294	0.244321	0.478588	2.294041	-0.36374	3.871398	2.140315	4.055148
4.991118	0.928839	2.859473	4.583122	6.560279	5.407019	4.110205	3.212083	4.073089	2.814903
1.101829	1.487821	0.51001	2.708722	1.86098	1.64843	1.825475	0.531904	2.382906	1.42685
0.24733	2.449733	4.272141	3.515977	1.142844	3.796844	1.093386	2.176739	1.981943	2.809377
3.162707	-0.866824	-1.944107	5.220842	2.244923	2.28423	1.673354	-1.297131	-1.96962	1.96007
2.864339	-1.70205	-1.243509	-0.060425	4.435469	1.099459	0.789094	-0.572025	-1.922304	0.114417
-3.380292	-6.036545	-4.842139	-3.457069	-0.832564	-4.4154	-1.76388	-4.549762	-3.954432	-2.192095
2.930592	-0.669409	-1.81647	-0.51693	-2.341021	-2.574175	-1.389154	-2.49376	-0.088022	-3.09518
-4.010632	-0.761642	2.916622	-3.088951	-1.963048	-3.618496	-1.314717	-2.345535	-2.769196	-5.080052
-0.891889	-2.585045	-1.687538	-4.02367	-0.757886	-3.213091	-0.686756	-3.505803	-3.051374	-4.716623
-2.509503	1.191181	3.308273	-2.811028	0.399221	-1.238288	-0.33106	-2.050181	-2.560275	-1.024507
-0.399102	-2.012765	-1.03802	-2.696462	-1.883567	-0.560216	2.26998	-2.954382	-3.673219	2.064282
-1.165315	0.676416	1.368004	-3.010609	-1.973588	-2.488601	1.721572	-0.31762	-1.229126	1.031529
-0.37857	-0.297081	-1.274035	-0.650104	3.33562	0.429928	2.201225	-0.424609	3.000086	-0.273779
-1.111299	3.755041	4.385782	1.151017	0.147421	1.881547	2.833143	-1.609761	4.124396	0.707542
2.263366	0.766078	4.164874	-2.015477	-0.721317	1.115127	-1.679967	-1.290987	0.423387	3.232379
1.960592	-0.957175	-2.300346	-1.450218	-2.088927	-1.142357	-0.425804	-0.4639	-1.589361	1.560614
1.664546	0.103574	0.554238	2.024764	1.012562	-0.023231	1.101937	0.934191	2.293734	0.509334
1.790192	1.812918	6.089936	0.032341	0.555423	-2.98582	-2.058245	3.022475	1.319952	-1.812279
-2.156806	-0.380453	1.318559	-4.579114	-1.35727	0.089752	-1.404551	3.013243	-0.278623	-0.001941
-0.027184	0.794551	-1.647787	3.858675	-0.990739	-1.695042	-0.653381	-1.207114	1.764989	-1.605369
-2.174479	0.669319	2.919002	4.306684	0.572595	-0.333626	2.05936	-2.357206	0.76837	0.634019
-0.17553	-1.010164	0.32393	0.169891	-0.500986	0.206476	3.982267	-1.07404	1.003103	1.146106
1.378726	-2.681211	-2.115904	-3.706321	-1.352996	1.59644	1.928035	0.514676	-2.21313	1.447673
5.18545	1.45946	-0.218703	4.580327	1.30145	2.845842	2.825256	0.455434	1.589253	1.1461
-2.764098	-0.916669	-0.707272	3.248622	-0.041857	0.653256	2.271721	-0.181575	-0.630166	1.080368
-2.295956	-2.505816	-1.41982	-5.431452	-2.527724	-4.239939	-3.13788	-0.685256	-1.007403	-3.673043
1.113036	4.712297	4.056442	-1.420906	-1.658858	0.627131	3.305642	-0.403517	4.322324	0.695045
-0.184462	0.213547	0.662802	-2.770351	-3.430559	1.445442	0.234375	-0.343465	-2.361702	2.363311
-0.549887	0.359209	-1.195659	-1.547994	-3.390128	-1.67553	-4.186696	-2.669307	-2.841396	-2.251468
2.112719	6.081559	2.413142	-0.460342	1.758239	2.409592	-1.716784	3.515749	1.593325	0.103785
-0.008681	2.513068	2.858483	0.657102	-0.215953	1.156182	-0.253106	3.851197	2.104645	2.261848
-2.216225	3.672307	3.80734	-3.424067	-3.723195	-5.263283	-3.134178	-1.21747	-2.017651	-5.650606
4.863948	1.343146	2.518186	3.622854	0.163025	3.274871	2.314183	1.286541	-0.367479	-1.4928
6.3761	-1.007248	-1.937608	1.627964	-1.49768	4.040921	0.308658	1.828021	-0.626353	3.91694
-3.123503	-3.416307	-3.210775	-1.898333	-1.410094	-0.105361	-0.369571	-0.475335	-1.888387	2.694988
-3.572899	-1.357768	0.843854	-4.53763	-0.745496	3.005902	3.273477	-4.501237	-5.114795	2.089416
-1.243221	1.335836	1.292041	-0.234022	-1.872466	-1.565216	3.688182	-1.585691	1.17181	1.726397
-1.706704	4.249965	4.389148	0.254503	-1.738178	-0.260342	-2.309576	1.938194	2.686716	-0.131296
-1.371081	4.071582	3.651836	-3.611546	-2.782607	-0.830001	-3.343318	4.26821	-1.07109	0.540907
-1.618582	-5.147752	-4.538438	-3.980456	-3.134523	-2.01452	-1.412663	-2.455351	-3.574417	-2.567922
-0.359038	-6.276577	-6.059416	-2.074311	-2.025694	-0.088026	-1.975433	-3.184199	-0.780178	0.916486
-0.195778	-1.217436	-0.912243	0.396105	-1.707787	-0.809045	3.752453	-2.687642	-0.046581	2.802503
-1.602328	-1.787968	-1.678767	1.882311	-0.291265	-0.486306	1.785574	-1.623489	-0.214834	0.636298
-1.781814	-0.308617	-2.996234	1.884325	1.092209	0.852266	-1.297589	-1.989251	0.958553	2.02484
-0.85996	-5.501924	-3.754094	-0.524929	-0.881623	-3.304159	-1.925456	-2.947836	-3.041925	-4.353402
-1.543387	-1.696634	-2.751695	2.261072	2.459981	-0.088407	1.437654	-1.452154	0.565625	-1.043458
-0.072417	-0.090988	-1.655289	1.146252	1.872465	-1.325506	0.557423	0.269884	0.585098	-1.69696
-0.876666	0.670869	-1.660025	-1.359961	0.805575	1.037716	-2.824965	5.386268	-0.034209	-2.761238
1.128449	0.190195	0.721445	-3.07844	-2.37214	1.63793	-3.567329	-1.582511	-1.634899	-1.350525
1.414615	-1.234953	-0.39343	-1.603154	-1.660331	2.61731	-0.419482	-0.143864	-2.242975	0.94735
-2.26168	4.448283	3.603097	3.259527	1.187054	6.257727	0.326959	2.928799	7.037365	5.193355
0.298355	5.15496	2.415076	0.102037	3.775367	5.255254	-0.072617	4.429467	3.41422	3.35306
-0.635486	3.021238	2.907956	3.84161	3.902963	2.030764	3.538976	3.964931	4.359792	-0.306764
-2.137008	-1.079125	0.488585	1.79758	4.855597	0.136131	0.422229	-1.145821	-0.986615	1.441951
3.099587	-1.928168	-1.551185	0.086885	-1.724474	-4.100873	-1.142268	-2.302097	-2.799596	-1.726421
2.249701	-1.576029	-0.115805	-2.369637	-3.403192	-2.803474	-2.381123	-1.369507	-0.400647	-1.032511
-3.620064	-4.705046	-4.221122	-2.762148	-2.756699	-3.761795	-2.126141	-1.480961	-2.698158	-5.118145
1.135801	-2.789154	-4.646184	-1.585506	-0.145934	-0.916763	-1.016227	-0.855167	-2.849723	-5.44055
1.923603	0.994411	0.652864	-2.694171	1.719663	-1.496001	-1.146884	5.641666	1.21897	-0.971053
-2.291946	-3.960883	-0.671524	-1.0367	-2.956447	-2.331531	-0.408812	-0.733069	-2.051669	-2.884576
-0.68453	-4.396968	-4.903989	-1.89085	-0.964402	-3.492976	-2.44171	-1.178181	-1.339127	-1.967945
-1.503532	-4.086973	-3.184974	-0.725376	2.844361	-2.045056	-1.773375	-2.499676	-0.33339	-2.598781
-3.891432	-1.566426	-0.456018	0.576868	-0.648598	-2.831892	-0.622202	-1.79406	-1.938242	-2.366406
-3.323005	1.891648	0.368242	0.807926	-1.248414	-1.626501	-0.885985	-3.081638	-0.610967	-3.589639
0.408474	3.107224	3.47617	3.175046	0.711076	1.666498	0.914486	1.887285	3.663154	2.844102
-0.671066	-2.489818	-1.459068	-1.747624	0.490333	-3.517309	-1.260778	-0.785493	-3.33546	-1.9792
-1.404592	-3.054297	-2.504502	-0.351037	-0.720778	-5.007837	1.538835	-4.023676	-1.350989	-4.440659
-1.129969	2.374869	1.312637	3.963256	0.871704	-2.178599	-0.048759	-2.078664	1.542789	-2.093489
-1.84066	-0.116333	-0.497476	1.438105	0.838442	0.550394	1.676357	-1.802057	1.879298	-1.642202
1.348775	-1.506516	-3.209766	-0.044942	-3.663202	-3.490967	-1.886698	-1.949556	0.714862	-3.521307
4.390982	0.484111	-1.002855	4.499565	4.660033	1.56521	1.353697	1.117844	-0.968693	3.060688
-5.232396	-4.48186	-3.488362	0.445178	1.380809	-1.964581	-0.598735	-2.864756	-0.875742	1.139878
3.426392	-0.208233	2.457497	-0.260254	-1.452115	-0.188744	-1.295768	-0.976949	-0.437057	0.752758
4.458995	-0.793209	0.561806	4.643819	2.53302	2.30372	2.305323	0.606871	1.917892	2.343125
3.431868	-0.464988	0.709655	1.491949	1.146874	2.407809	0.930668	1.820211	3.842932	1.524381
-1.070932	-1.341567	-1.884165	-0.347015	0.213503	-1.191074	-1.145503	0.502381	-1.193305	-0.775573
1.550551	1.26956	-0.568661	4.719179	4.926565	3.171875	4.083442	1.607493	1.794512	2.975667
-1.747521	-0.7869	0.739863	2.624581	2.732314	1.446061	0.887938	1.190458	-1.169685	4.917506
-3.263786	0.134965	0.012006	-5.805059	-1.204695	-0.555508	0.775619	1.73799	-0.049565	-0.243248
2.827521	1.776668	1.942869	-2.648692	0.28759	-0.224423	4.554123	4.149106	0.861006	0.256116
5.281266	0.451024	-0.376844	1.846133	2.097522	1.404728	1.866389	2.779123	1.229361	0.836609
4.387318	1.255252	-0.177427	1.369965	-0.350449	2.629359	1.000554	-0.251539	-1.627865	1.197543
5.136346	1.600371	3.347728	0.364751	1.422524	2.664285	-0.238538	-0.181162	0.778161	2.748735
1.791721	-0.401497	-1.467168	0.893741	-0.792809	2.712723	1.539452	0.687679	-1.085026	0.380102
-2.002984	-0.517725	1.819299	-1.572719	-2.677905	-1.322908	-0.74323	-0.338692	-1.362891	-3.920839
5.601704	-0.307689	0.645443	2.151218	0.454582	1.254914	0.246757	-0.014251	0.794001	-0.590867
3.19096	-0.228459	0.298082	1.352899	-0.621006	2.605209	0.334961	1.37273	1.515385	1.66224
-7.843641	-1.007404	-0.146565	-3.240532	-1.772728	-3.884498	-3.150176	-3.564719	-1.970505	-2.730395
-2.327022	0.900007	-1.489176	-4.21803	-2.254045	-5.025681	1.177495	-1.458569	-0.317234	-3.568047
4.357493	-0.09169	-0.573529	1.913448	-1.520921	0.433186	1.797519	0.703813	1.510533	-1.301192
-2.612918	1.739739	-0.958698	1.081544	1.677082	-2.310469	-0.282056	3.01846	1.20853	0.272399
-5.856479	2.504432	0.473043	1.0364	3.939796	-0.743516	-0.729884	-0.562694	0.850991	-2.269348
-1.730712	1.870428	2.133822	-5.023245	-2.341746	-0.261426	0.616283	-2.59811	-5.76885	-0.309804
2.78386	0.903667	3.007969	-1.91555	-2.728815	-0.457566	-2.691508	0.443847	-2.052061	0.172961
2.315614	-0.44161	0.301315	0.485422	-0.629881	0.827596	-0.524509	3.639917	3.605791	0.962176
-3.314873	0.48584	0.381191	-0.074393	-1.421019	0.909491	-0.093173	-0.834459	-2.471063	2.862873
