X1	X2	X3	X4	X5	X6	X7
-0.820826	-1.090577	-0.215123	-0.184449	-0.019409	-0.280716	0.051608
-0.745752	-0.865573	-0.214151	0.003239	-0.004916	-0.222090	-0.121438
-0.616001	-0.464052	-0.211743	0.338665	0.020356	-0.116963	-0.429136
-0.466163	0.028109	-0.206998	0.749477	0.049980	0.013174	-0.802201
-0.334374	0.507248	-0.198724	1.144602	0.076500	0.142397	-1.154070
-0.250266	0.875445	-0.185513	1.431589	0.093381	0.246180	-1.397948
-0.224884	1.062483	-0.165805	1.534478	0.096682	0.306842	-1.463978
-0.245744	1.041186	-0.137903	1.408800	0.085943	0.317248	-1.313293
-0.278660	0.832509	-0.099967	1.050894	0.064110	0.281935	-0.946255
-0.276304	0.499384	-0.050194	0.499826	0.036480	0.215440	-0.403228
-0.191477	0.130769	0.012913	-0.168723	0.008977	0.138185	0.242114
0.008080	-0.180237	0.089984	-0.855495	-0.013750	0.071003	0.895794
0.327499	-0.358966	0.180022	-1.455321	-0.029785	0.029656	1.460118
0.738487	-0.367130	0.279489	-1.876174	-0.040692	0.020656	1.851004
1.181279	-0.211895	0.381661	-2.056015	-0.051048	0.039542	2.012437
1.574917	0.056103	0.476304	-1.974271	-0.067094	0.071966	1.925753
1.833973	0.355263	0.550118	-1.655562	-0.094714	0.097461	1.611757
1.888040	0.593049	0.588106	-1.165023	-0.137319	0.094960	1.125809
1.699400	0.688832	0.575840	-0.595803	-0.194279	0.048771	0.546808
1.274612	0.594056	0.502359	-0.051326	-0.260328	-0.046484	-0.037687
0.666688	0.304946	0.363310	0.374482	-0.326268	-0.183293	-0.546961
-0.032950	-0.135329	0.163597	0.614975	-0.380674	-0.341662	-0.920699
-0.711572	-0.645564	-0.081161	0.643099	-0.412489	-0.492701	-1.127619
-1.257632	-1.124535	-0.344909	0.475727	-0.413531	-0.604535	-1.168234
-1.583793	-1.473894	-0.593492	0.169107	-0.380507	-0.649442	-1.071072
-1.645357	-1.620649	-0.789090	-0.193707	-0.315863	-0.610417	-0.883822
-1.449666	-1.534017	-0.896122	-0.520829	-0.227215	-0.485711	-0.661271
-1.054336	-1.232701	-0.887664	-0.731267	-0.125577	-0.290263	-0.452914
-0.554556	-0.780915	-0.751435	-0.772216	-0.022691	-0.053467	-0.292696
-0.062072	-0.274129	-0.493807	-0.630270	0.071597	0.186321	-0.193073
0.319284	0.182255	-0.141107	-0.334172	0.151333	0.389404	-0.144523
0.516085	0.496277	0.262547	0.051586	0.215240	0.522908	-0.120343
0.500692	0.609528	0.660730	0.441004	0.265823	0.567726	-0.085364
0.296131	0.509452	0.992908	0.745538	0.307337	0.522631	-0.006646
-0.030748	0.231072	1.204046	0.893835	0.342877	0.404646	0.136584
-0.385958	-0.152038	1.254003	0.847884	0.371725	0.245466	0.346026
-0.671115	-0.545348	1.125014	0.611982	0.387790	0.084658	0.602029
-0.806734	-0.855242	0.825834	0.232605	0.379900	-0.038953	0.866701
-0.750801	-1.010154	0.391607	-0.211014	0.334083	-0.095916	1.091633
-0.508067	-0.975977	-0.120673	-0.623478	0.237702	-0.072880	1.228696
-0.128212	-0.762396	-0.640472	-0.913543	0.084410	0.024030	1.241424
0.306739	-0.418840	-1.094478	-1.013663	-0.121234	0.169978	1.114467
0.702624	-0.021255	-1.417996	-0.894530	-0.361022	0.326317	0.858796
0.975945	0.346910	-1.565082	-0.571479	-0.603208	0.448535	0.511427
1.073881	0.614885	-1.515616	-0.101271	-0.806051	0.495743	0.129412
0.986625	0.741037	-1.278204	0.429923	-0.924648	0.439723	-0.220769
0.749131	0.721794	-0.888408	0.924665	-0.919834	0.271613	-0.476280
0.431832	0.590942	-0.402754	1.294551	-0.767495	0.004874	-0.590831
0.122720	0.409701	0.110524	1.478129	-0.466178	-0.326095	-0.544510
-0.094860	0.250172	0.582267	1.452634	-0.040987	-0.671585	-0.348480
-0.163174	0.176255	0.952984	1.236985	0.457475	-0.975188	-0.043393
-0.064765	0.226793	1.181475	0.885717	0.959592	-1.183827	0.308355
0.173048	0.405169	1.250212	0.475316	1.387828	-1.257306	0.634949
0.484825	0.677789	1.166811	0.086456	1.670496	-1.175409	0.869615
0.783329	0.982022	0.961416	-0.213860	1.755705	-0.941420	0.964225
0.981604	1.241455	0.680762	-0.386032	1.622458	-0.581388	0.899028
1.015265	1.384965	0.379884	-0.424492	1.286446	-0.139417	0.686653
0.859522	1.364779	0.112923	-0.355923	0.798989	0.329919	0.369241
0.536482	1.169179	-0.075628	-0.229771	0.238940	0.770636	0.009276
0.110829	0.826607	-0.157829	-0.103736	-0.301321	1.133952	-0.323878
-0.325549	0.400086	-0.126574	-0.027886	-0.732996	1.385102	-0.569022
-0.676164	-0.026816	0.003431	-0.031476	-0.988015	1.507058	-0.686576
-0.864577	-0.369313	0.197961	-0.115685	-1.032427	1.500843	-0.667328
-0.854870	-0.561359	0.408574	-0.254096	-0.873338	1.382685	-0.534686
-0.662709	-0.571550	0.580122	-0.400547	-0.557675	1.178916	-0.339720
-0.354007	-0.411065	0.659583	-0.502390	-0.162817	0.919846	-0.149927
-0.030730	-0.131697	0.604960	-0.515440	0.219229	0.634042	-0.034061
0.192890	0.185777	0.393086	-0.416924	0.500905	0.344143	-0.046096
0.218737	0.450241	0.025205	-0.212635	0.617674	0.064920	-0.211969
-0.009123	0.581716	-0.470737	0.063388	0.541976	-0.196262	-0.521777
-0.486860	0.530611	-1.041553	0.357035	0.289808	-0.437083	-0.929630
