X1	X2	X3	X4	X5	X6	X7
-0.179542	0.429593	0.652192	0.487591	-0.782969	-0.011439	-1.077646
0.073789	0.376287	0.799239	0.493789	-0.618790	0.046791	-0.862301
0.514220	0.276799	1.049127	0.490749	-0.326834	0.145714	-0.480080
1.024647	0.144080	1.324243	0.452339	0.027794	0.254448	-0.017180
1.464310	-0.005323	1.532682	0.350295	0.364987	0.336186	0.421777
1.701814	-0.154022	1.591018	0.163971	0.606539	0.357194	0.736949
1.646259	-0.286343	1.445649	-0.110620	0.692568	0.295158	0.855385
1.269680	-0.390309	1.087152	-0.455438	0.594146	0.145125	0.746960
0.615548	-0.458528	0.554727	-0.829962	0.319502	-0.078396	0.430837
-0.208793	-0.488099	-0.070912	-1.176359	-0.087455	-0.343614	-0.029264
-1.053791	-0.479615	-0.684558	-1.429535	-0.555779	-0.607622	-0.539443
-1.759145	-0.435817	-1.179464	-1.529980	-1.001434	-0.824740	-0.996519
-2.187761	-0.360321	-1.471490	-1.436897	-1.343546	-0.955740	-1.310714
-2.255057	-0.256927	-1.518177	-1.138621	-1.519735	-0.975585	-1.424765
-1.947260	-0.129828	-1.329107	-0.658046	-1.497268	-0.878159	-1.325650
-1.324336	0.015554	-0.964292	-0.051407	-1.278183	-0.677112	-1.045898
-0.507846	0.171180	-0.521451	0.599524	-0.897610	-0.402943	-0.654933
0.344433	0.325212	-0.114314	1.200695	-0.415823	-0.096712	-0.242152
1.070741	0.461594	0.152714	1.661947	0.093743	0.197604	0.104003
1.537971	0.560888	0.208385	1.913247	0.558173	0.440907	0.316270
1.667659	0.602604	0.031239	1.917491	0.917450	0.605083	0.363418
1.449771	0.568860	-0.344535	1.677717	1.133316	0.676357	0.256498
0.942317	0.448653	-0.835695	1.236954	1.193276	0.655636	0.045274
0.256654	0.242003	-1.327062	0.670777	1.109341	0.556139	-0.194305
-0.467226	-0.037376	-1.696357	0.074066	0.912610	0.399114	-0.378482
-1.090250	-0.361462	-1.840578	-0.455833	0.645113	0.209040	-0.435640
-1.501950	-0.690246	-1.698678	-0.836100	0.351075	0.009410	-0.323279
-1.640900	-0.976852	-1.265762	-1.012595	0.069452	-0.180139	-0.038257
-1.503362	-1.174744	-0.595296	-0.968541	-0.171019	-0.344888	0.381973
-1.139811	-1.246074	0.210591	-0.726280	-0.353544	-0.474599	0.867205
-0.640085	-1.169279	1.020889	-0.341947	-0.472227	-0.562309	1.329590
-0.111800	-0.944567	1.701281	0.105824	-0.529013	-0.602923	1.682321
0.343616	-0.595725	2.140147	0.530836	-0.529981	-0.592682	1.857994
0.651115	-0.167809	2.269664	0.855048	-0.482166	-0.529690	1.822389
0.775081	0.279433	2.077767	1.022207	-0.391725	-0.415318	1.580962
0.722448	0.681301	1.608687	1.007068	-0.263745	-0.256222	1.176817
0.536289	0.979341	0.952581	0.818415	-0.103528	-0.065846	0.681007
0.282116	1.131912	0.226582	0.496078	0.081575	0.135298	0.177325
0.030643	1.121963	-0.448686	0.102212	0.280534	0.321246	-0.254566
-0.159108	0.960450	-0.971852	-0.290885	0.478121	0.464192	-0.554353
-0.251766	0.684375	-1.278468	-0.614288	0.655896	0.539559	-0.691396
-0.241265	0.349786	-1.350291	-0.814902	0.794580	0.531548	-0.668153
-0.148779	0.020986	-1.214893	-0.864345	0.877491	0.437705	-0.516846
-0.014535	-0.242120	-0.935940	-0.763347	0.893891	0.271315	-0.290223
0.114038	-0.395844	-0.597364	-0.540646	0.841506	0.060568	-0.049139
0.194584	-0.421421	-0.284429	-0.247067	0.727281	-0.155659	0.150239
0.199439	-0.328599	-0.066432	0.053992	0.566311	-0.334807	0.266852
0.120676	-0.153460	0.016098	0.298089	0.378821	-0.439177	0.280785
-0.030213	0.049373	-0.042928	0.431023	0.186142	-0.444035	0.194282
-0.227568	0.218467	-0.217247	0.418233	0.006566	-0.343503	0.028000
