X1	X2	X3	X4	X5	X6	X7
-1.470784	-0.825808	-1.039946	0.601485	-0.003592	-0.041256	-0.709171
-1.364998	-0.760445	-0.997538	0.504333	-0.026564	-0.126992	-0.841894
-1.161033	-0.637308	-0.909770	0.339531	-0.062077	-0.271549	-1.064834
-0.873764	-0.469912	-0.771972	0.158501	-0.092321	-0.428188	-1.302945
-0.524636	-0.274894	-0.579883	0.021456	-0.097382	-0.542852	-1.466517
-0.140459	-0.068810	-0.332246	-0.018482	-0.061365	-0.568944	-1.472707
0.248389	0.134492	-0.033296	0.070504	0.022423	-0.480640	-1.266041
0.610245	0.325193	0.305509	0.289360	0.148534	-0.281411	-0.833253
0.914994	0.497250	0.664864	0.606165	0.299533	-0.005527	-0.208939
1.136966	0.646679	1.018608	0.961859	0.449567	0.288375	0.529105
1.257743	0.769100	1.335898	1.282872	0.570158	0.529783	1.274152
1.268196	0.857479	1.584792	1.497594	0.637116	0.652665	1.911258
1.169635	0.901076	1.736219	1.552740	0.636449	0.611513	2.340040
0.973623	0.886237	1.768016	1.426015	0.567991	0.393280	2.494712
0.700458	0.799253	1.668352	1.131771	0.445471	0.022414	2.357127
0.376590	0.630727	1.437719	0.718479	0.292944	-0.442528	1.960100
0.031326	0.380450	1.089532	0.258281	0.138517	-0.920312	1.380529
-0.306726	0.061337	0.648959	-0.168889	0.006603	-1.323659	0.723915
-0.612666	-0.298879	0.150232	-0.493002	-0.088848	-1.578053	0.103598
-0.867452	-0.659215	-0.366941	-0.669395	-0.148684	-1.637778	-0.380782
-1.058846	-0.970477	-0.861619	-0.688324	-0.188841	-1.496138	-0.661225
-1.181119	-1.183182	-1.295681	-0.576555	-0.236345	-1.186991	-0.712096
-1.233701	-1.256905	-1.637278	-0.390329	-0.321690	-0.777275	-0.551954
-1.219345	-1.169115	-1.863241	-0.201578	-0.469454	-0.352313	-0.236347
-1.142298	-0.921466	-1.960391	-0.080523	-0.689251	0.003307	0.156117
-1.006992	-0.541816	-1.925696	-0.078618	-0.969626	0.224499	0.541320
-0.817649	-0.081217	-1.765642	-0.216077	-1.276742	0.280239	0.846699
-0.578886	0.393987	-1.494876	-0.476599	-1.558527	0.180162	1.024433
-0.297067	0.813496	-1.134727	-0.810944	-1.754105	-0.027901	1.058011
0.017949	1.115786	-0.711661	-1.148271	-1.806565	-0.269495	0.961542
0.351463	1.259425	-0.255845	-1.412661	-1.676447	-0.461163	0.772479
0.683283	1.230750	0.200368	-1.541202	-1.352872	-0.530442	0.540012
0.988654	1.046048	0.623805	-1.499049	-0.859512	-0.433591	0.312149
1.240450	0.747758	0.982366	-1.288063	-0.253678	-0.166788	0.124548
1.412698	0.395368	1.247138	-0.947059	0.382118	0.231710	-0.006383
1.484770	0.053022	1.394900	-0.543246	0.954443	0.689318	-0.084899
1.445446	-0.223633	1.410897	-0.157004	1.376719	1.115019	-0.132031
1.295903	-0.398366	1.291293	0.136620	1.586811	1.420098	-0.177772
1.050842	-0.460815	1.044993	0.285330	1.560603	1.539138	-0.251612
0.737519	-0.426969	0.694186	0.271850	1.318472	1.446232	-0.373901
0.392243	-0.333744	0.273276	0.118105	0.923041	1.162993	-0.550255
0.055315	-0.228990	-0.174124	-0.119812	0.468117	0.756050	-0.770146
-0.235184	-0.159125	-0.599916	-0.364919	0.060725	0.324268	-1.009792
-0.449296	-0.157516	-0.957379	-0.537695	-0.200150	-0.021573	-1.238293
-0.569782	-0.236113	-1.207516	-0.575625	-0.244032	-0.182752	-1.425235
-0.594486	-0.382370	-1.324725	-0.449151	-0.044298	-0.094674	-1.547669
-0.535910	-0.562169	-1.300736	-0.170395	0.374847	0.257187	-1.594595
-0.418083	-0.727957	-1.146146	0.207712	0.941517	0.831719	-1.568011
-0.271385	-0.830290	-0.888797	0.601750	1.548909	1.537823	-1.480329
-0.126275	-0.829952	-0.569377	0.915646	2.075348	2.250708	-1.349212
-0.007350	-0.707917	-0.234660	1.062259	2.407797	2.835533	-1.191419
0.071193	-0.470677	0.070456	0.983770	2.464071	3.173710	-1.017547
0.107526	-0.149807	0.310538	0.666567	2.209266	3.186469	-0.829298
0.111430	0.204222	0.465736	0.147015	1.663238	2.850942	-0.620129
0.100871	0.532583	0.534741	-0.493386	0.897561	2.205631	-0.379216
