X1	X2	X3	X4	X5	X6	X7
0.342267	0.443675	0.409663	0.629382	0.082306	-0.165024	0.748657
0.385937	0.355269	0.387645	0.478356	0.068122	-0.067162	0.643662
0.458340	0.201272	0.338528	0.194782	0.041141	0.110721	0.446270
0.533121	0.021593	0.254724	-0.186472	0.003948	0.336296	0.180066
0.578830	-0.136827	0.130404	-0.618096	-0.040111	0.568557	-0.123471
0.566532	-0.231962	-0.033809	-1.045814	-0.087304	0.765337	-0.428902
0.477162	-0.237628	-0.227409	-1.414701	-0.133937	0.890954	-0.701254
0.306862	-0.150716	-0.429153	-1.675857	-0.176446	0.922488	-0.910081
0.069123	0.007189	-0.609353	-1.792423	-0.211422	0.853789	-1.032773
-0.206729	0.194211	-0.735287	-1.744222	-0.235402	0.696240	-1.056538
-0.480552	0.357784	-0.778457	-1.530544	-0.244751	0.476326	-0.978958
-0.708832	0.447218	-0.722028	-1.170299	-0.235562	0.230447	-0.807103
-0.853011	0.426343	-0.566507	-0.699719	-0.203952	-0.001982	-0.555531
-0.887066	0.283224	-0.331924	-0.167741	-0.146679	-0.185848	-0.243647
-0.802704	0.034512	-0.055652	0.370372	-0.062087	-0.296731	0.106995
-0.611153	-0.276613	0.214166	0.860152	0.048835	-0.325067	0.474915
-0.341293	-0.588812	0.428212	1.254833	0.181394	-0.277452	0.840056
-0.034426	-0.835389	0.546759	1.520942	0.326642	-0.174985	1.184117
0.263096	-0.958831	0.549005	1.641835	0.471427	-0.048695	1.490027
0.508003	-0.923839	0.438717	1.618681	0.599321	0.066487	1.740982
0.667294	-0.725932	0.244743	1.468812	0.692389	0.138614	1.919571
0.723236	-0.393600	0.015716	1.222060	0.733652	0.144703	2.007680
0.675280	0.016546	-0.189846	0.915669	0.709869	0.074933	1.987570
0.538791	0.430734	-0.316270	0.588751	0.614120	-0.065770	1.844305
0.341056	0.772815	-0.323340	0.277394	0.447768	-0.258755	1.569299
0.115589	0.979754	-0.195984	0.010911	0.221330	-0.475318	1.164363
-0.104007	1.014563	0.051334	-0.190112	-0.046068	-0.681936	0.645240
-0.289279	0.873976	0.376699	-0.314296	-0.328568	-0.846156	0.043638
-0.420533	0.589252	0.719041	-0.358495	-0.596724	-0.942105	-0.593273
-0.488129	0.219980	1.011059	-0.326216	-0.821336	-0.954392	-1.206375
-0.491709	-0.157813	1.193921	-0.225946	-0.977510	-0.880230	-1.731206
-0.437883	-0.466716	1.230478	-0.069870	-1.048202	-0.729153	-2.106856
-0.337226	-0.643097	1.114019	0.126705	-1.026716	-0.520776	-2.285900
-0.201521	-0.649333	0.870352	0.345422	-0.917833	-0.281339	-2.243506
-0.041968	-0.480728	0.552690	0.564850	-0.737163	-0.039377	-1.983937
0.131310	-0.165935	0.230170	0.760738	-0.509105	0.178273	-1.542695
0.308526	0.238984	-0.027479	0.907352	-0.263424	0.349653	-0.983497
0.478834	0.661442	-0.165815	0.979828	-0.031162	0.459771	-0.389942
0.628936	1.025868	-0.158570	0.957734	0.159632	0.501342	0.147041
0.742580	1.267145	-0.014570	0.829175	0.287739	0.474536	0.544038
0.801387	1.341458	0.223108	0.594621	0.341673	0.385885	0.739659
0.787330	1.232709	0.485639	0.269415	0.321237	0.247079	0.706061
0.686403	0.953627	0.692964	-0.115889	0.237572	0.073526	0.454988
0.492891	0.541878	0.771444	-0.518054	0.111691	-0.116767	0.036988
0.212989	0.052293	0.670630	-0.886459	-0.028348	-0.304305	-0.466496
-0.133106	-0.452912	0.375734	-1.170516	-0.151238	-0.469244	-0.956969
-0.511628	-0.913986	-0.087177	-1.328111	-0.226836	-0.592765	-1.336320
-0.878496	-1.281861	-0.654395	-1.333258	-0.230567	-0.658955	-1.524683
-1.185137	-1.523467	-1.235745	-1.181520	-0.147338	-0.656858	-1.475332
-1.386086	-1.623792	-1.731537	-0.891714	0.025576	-0.582743	-1.183705
-1.446949	-1.584902	-2.051803	-0.503494	0.277170	-0.441932	-0.688673
-1.351212	-1.422734	-2.133992	-0.070810	0.583070	-0.249529	-0.065728
-1.104398	-1.162698	-1.955456	0.347495	0.907849	-0.029737	0.586798
-0.734638	-0.835207	-1.538219	0.698109	1.209048	0.186673	1.165764
-0.289174	-0.471848	-0.945240	0.942788	1.442547	0.366637	1.582200
0.172611	-0.102655	-0.268833	1.064586	1.568687	0.480274	1.777327
0.588628	0.245512	0.386223	1.069805	1.558188	0.506698	1.732669
0.904118	0.549774	0.921450	0.984902	1.397117	0.438886	1.472182
1.080602	0.791645	1.261679	0.849027	1.089970	0.286631	1.056092
1.101870	0.957402	1.367042	0.703907	0.660262	0.076494	0.567759
0.976051	1.038643	1.237798	0.583315	0.148368	-0.151682	0.096353
0.733252	1.032936	0.911493	0.504584	-0.393170	-0.351093	-0.281117
0.419269	0.944374	0.453473	0.464314	-0.906480	-0.476619	-0.514657
0.086821	0.783689	-0.057066	0.439328	-1.336063	-0.493786	-0.589967
-0.214219	0.567555	-0.542327	0.393056	-1.636381	-0.386560	-0.529344
-0.445382	0.317115	-0.939343	0.285795	-1.778094	-0.162071	-0.384613
-0.585538	0.055670	-1.209169	0.086713	-1.751737	0.148942	-0.223834
-0.632910	-0.193982	-1.340235	-0.215279	-1.568449	0.496431	-0.114659
-0.603097	-0.412098	-1.345775	-0.604729	-1.257526	0.819485	-0.108083
-0.523577	-0.583928	-1.256482	-1.038594	-0.861228	1.057591	-0.226128
-0.426038	-0.700613	-1.110418	-1.451993	-0.427950	1.162568	-0.456110
-0.338314	-0.758951	-0.942654	-1.769799	-0.004868	1.108527	-0.752868
-0.277669	-0.760208	-0.777068	-1.921910	0.368600	0.898160	-1.048378
-0.246915	-0.708375	-0.621888	-1.859065	0.665391	0.563340	-1.266786
-0.234260	-0.608528	-0.469786	-1.565727	0.872748	0.160004	-1.341500
-0.216771	-0.465787	-0.302196	-1.066810	0.991470	-0.242016	-1.230712
-0.166743	-0.285231	-0.096468	-0.426511	1.032830	-0.572338	-0.927856
-0.059518	-0.072822	0.165880	0.261110	1.014078	-0.773953	-0.464734
0.119047	0.163018	0.491869	0.888344	0.953662	-0.814698	0.093507
0.367107	0.409751	0.872457	1.353632	0.867191	-0.694039	0.660539
0.664689	0.649777	1.281509	1.581232	0.765085	-0.443554	1.145700
0.975406	0.860755	1.678724	1.536419	0.652186	-0.120791	1.471936
1.251859	1.017605	2.015676	1.233016	0.529163	0.202233	1.591219
1.443733	1.096005	2.243813	0.731485	0.395161	0.453758	1.494102
1.506861	1.076848	2.322650	0.127585	0.250643	0.577019	1.211454
1.411734	0.950698	2.226786	-0.466226	0.099572	0.542133	0.808107
1.149556	0.721110	1.950264	-0.942832	-0.049853	0.352377	0.369667
0.734750	0.405843	1.507840	-1.221730	-0.186259	0.043766	-0.014656
0.203478	0.035390	0.932928	-1.264796	-0.297688	-0.322405	-0.269706
-0.391574	-0.351195	0.273065	-1.083432	-0.375031	-0.672159	-0.348835
-0.989100	-0.712531	-0.416468	-0.735421	-0.415359	-0.934149	-0.242241
-1.528253	-1.011972	-1.079392	-0.312210	-0.423916	-1.054518	0.022321
-1.957282	-1.224007	-1.664785	0.080964	-0.414202	-1.007928	0.386550
-2.240137	-1.338550	-2.131946	0.347676	-0.405653	-0.802748	0.774603
-2.360104	-1.362027	-2.453601	0.421104	-0.419313	-0.479021	1.109251
-2.320013	-1.314923	-2.617107	0.278418	-0.472329	-0.099890	1.327767
-2.139323	-1.226229	-2.624028	-0.054225	-0.572744	0.261568	1.394178
