X1	X2	X3	X4	X5	X6	X7	X8	X9
1.265575	1.065975	0.281350	0.452929	1.091389	0.888166	-0.338557	0.354041	-0.283927
0.127683	-0.621387	-0.470794	-0.048242	0.086679	-0.161813	0.023819	-0.164404	-0.326738
-0.217486	-0.036745	-0.440088	0.651917	-0.493844	-0.776716	-0.822905	0.483075	-0.368564
-0.424823	-0.310153	0.171499	0.211173	-0.456680	-0.560534	0.566318	-0.265746	-0.409161
-0.642982	-1.151863	-0.276461	-0.744589	-0.679725	-0.469514	0.085694	-0.241223	-0.448035
-1.292435	-1.576369	-1.432812	-1.658087	-1.012440	-0.583797	-1.317026	-1.834892	-0.485187
-1.417841	-1.578779	-1.078221	-1.372191	-1.312150	-1.392745	-0.777899	-1.212549	-0.520370
-1.267044	-1.563107	-1.641923	-1.024059	-1.464850	-2.008004	-1.828409	-1.456947	-0.553585
-1.267312	-1.598284	-1.318108	-1.544671	-0.922621	-1.428171	-1.631024	-1.883264	-0.584832
-1.292966	-1.494378	-1.404959	-1.980665	-1.300973	-1.898029	-1.127911	-1.408703	-0.614357
-0.873128	-0.963670	-0.748805	-0.798910	-1.041644	-0.813779	-1.325061	-0.691280	-0.639945
-0.465757	-0.069155	0.266394	-0.063066	-0.665748	-0.281016	0.190943	0.268812	-0.414820
0.485408	0.813953	0.585611	0.485664	0.458235	0.557974	1.336582	0.895705	0.328217
1.081596	1.495901	1.592475	1.295580	1.084299	1.181990	1.971423	1.595732	1.023768
1.562081	1.885477	1.873851	1.270396	1.706288	1.532477	2.524660	1.479418	1.387906
1.863381	1.932452	1.410280	1.760833	2.252213	2.401999	1.130520	1.183201	1.494440
1.814170	2.292507	1.257450	1.282301	2.098579	2.589721	1.243997	1.490803	1.464424
2.001608	1.869754	1.105610	1.214255	2.078304	1.990079	1.226794	1.258405	1.382001
1.534509	1.157010	1.464445	0.721172	1.756378	1.354218	0.922074	1.311115	1.295887
1.130023	1.024254	0.829321	1.033610	1.123122	0.869355	-0.475359	1.160876	1.225520
0.910755	1.314215	0.966722	0.637202	0.700742	0.630790	0.314044	-0.111840	1.171145
0.382739	0.661973	-0.018150	0.746083	0.295530	0.537971	-0.092131	0.800690	0.882296
-0.076924	0.573525	0.171000	1.102365	-0.216049	0.345326	0.458202	0.623748	0.090790
-0.688225	0.373971	0.606165	0.292160	-0.679486	-0.194524	0.300192	0.455571	-0.640683
-0.525181	0.505346	0.293620	-0.035699	-0.825048	0.613574	-0.490931	-0.512767	-1.035329
-0.461644	0.377725	0.433479	-0.411422	-0.734308	0.620540	0.497696	-0.090476	-1.172373
-0.467183	0.011031	-0.330761	0.307047	-0.485920	0.376129	0.112904	0.384826	-1.173603
-0.733609	-0.190018	-0.093259	0.647220	-0.476579	0.190399	0.958509	0.862584	-1.118244
-0.519440	-0.476111	-0.072614	0.064773	-0.240503	-0.153790	0.187678	0.179461	-1.053536
-0.723311	-1.354230	-0.700718	0.177799	-0.448275	-1.159860	-0.729423	-0.315211	-1.002360
-0.408612	-1.110956	-0.244527	0.047797	0.051966	-1.196334	0.079183	0.564731	-0.968899
-0.295556	-0.759663	-0.363908	0.089349	-0.062335	0.173654	0.629224	0.240402	-0.702439
0.491039	0.310303	0.639187	0.354044	1.089812	1.877081	1.243118	1.304450	0.069877
0.741297	0.983326	1.008299	0.813643	0.982169	0.973627	1.480441	0.583488	0.787571
0.924527	1.139045	0.871280	0.740513	1.193805	1.024952	0.544774	0.431174	1.169915
0.656419	0.834863	0.912088	0.365317	0.592052	1.157419	0.881062	0.939785	1.292196
0.866459	1.049696	0.603409	0.817376	0.761462	0.811226	1.084177	1.108436	1.277188
0.956995	1.196344	1.188240	0.405281	0.862247	1.082466	0.882541	0.268847	1.208543
0.799304	1.096271	1.091049	0.403591	0.259075	0.641628	-0.214653	0.070875	1.135470
0.889440	1.285149	0.799111	0.424961	0.636620	0.742875	0.673419	-0.107519	1.077159
0.975386	0.745091	0.004474	0.727874	0.324499	0.688404	-0.694146	-0.264871	1.034102
0.293187	0.401065	0.566567	0.046363	0.215614	0.907204	0.047449	-0.224165	0.756078
-0.429022	0.083794	0.281927	0.134893	-0.684587	-0.256151	0.059462	0.162958	-0.025340
-1.214016	-0.286928	-0.091734	-0.883323	-1.472800	-1.029853	-0.078075	-0.966656	-0.747464
-1.336748	-0.634166	-0.352300	-0.710016	-1.542223	-1.305823	-1.068663	-0.720235	-1.133006
-1.394355	-0.476046	-0.236835	-1.080060	-1.378955	-1.171885	-0.895077	-1.125797	-1.261685
-0.571521	-0.039731	0.343306	-0.384008	-0.822730	-0.506589	-0.496609	-0.359033	-1.255042
-0.375783	-0.350396	0.380430	0.450386	-0.456752	-0.637478	0.201751	0.456449	-1.192302
0.164678	-0.131217	0.090313	1.040780	0.069416	-0.295868	0.115896	0.828535	-1.120951
-0.107832	-0.144189	-0.189640	1.132275	0.269829	-0.233718	0.672230	0.157990	-1.063624
-0.586461	-0.589405	-1.141201	-0.233281	-0.039405	0.372441	-0.543916	-1.080022	-1.024503
-0.487045	-0.678044	-1.192430	-0.969270	-0.299637	-0.550313	-0.553958	-0.961471	-0.752631
0.026797	0.169061	-0.682416	-0.560186	0.232748	0.438505	0.064512	-0.173136	0.024359
0.581813	0.005163	0.073084	-0.644728	0.636402	0.075244	0.471519	-0.003257	0.746237
0.576765	0.140749	-0.403726	0.020543	0.614462	0.690739	0.201028	0.357084	1.132763
0.927168	0.259927	0.351392	-0.471688	1.075662	-0.038021	0.827175	1.022596	1.258735
0.938120	0.225708	-0.070196	-0.173650	0.637871	-0.010719	-0.046982	-0.138373	1.246925
0.747828	0.829105	0.581251	-0.002792	0.779670	0.719385	0.667504	0.582900	1.181233
0.838530	0.859243	0.884457	0.823669	0.721942	0.233019	0.151484	-0.189031	1.110866
0.569240	0.551592	1.273825	0.521168	0.666824	0.676341	0.344592	-0.052562	1.055261
0.999591	0.706164	1.023474	1.200314	0.494086	0.650241	0.742190	0.566482	1.014419
0.659845	0.614354	1.253867	0.955188	0.130506	0.703281	1.263045	0.450903	0.738364
0.202687	0.034224	0.453859	0.571498	0.161859	0.257297	0.506385	0.382935	-0.041333
-0.922398	-0.999779	-1.577554	0.116602	-0.917528	-0.645361	-1.438576	-1.094272	-0.761734
-1.274721	-0.592689	-1.860911	-1.290679	-1.028763	-0.170489	-0.738196	-0.483142	-1.146046
-0.352678	-0.788712	-1.082006	-0.868746	-0.491097	-0.353517	-0.099156	0.976343	-1.273248
-0.130089	-1.074066	-0.806919	-1.475856	-0.540131	-0.835705	0.243969	0.204841	-1.265375
-0.516921	-1.516758	-0.894493	-1.059813	-0.732767	-1.438220	-0.576227	-0.524639	-1.201651
-1.378780	-1.303380	-1.306211	-1.496859	-0.971068	-1.508518	-1.210075	-1.231882	-1.129316
-0.771055	-1.273906	-1.260402	-1.056721	-0.660147	-1.809042	-1.162353	-1.323513	-1.071005
-0.593803	-1.728086	-1.414534	-1.385479	-0.474148	-1.946448	-1.313177	-1.753810	-1.031146
0.070184	-1.014878	-1.289789	-1.289525	-0.219308	-0.817578	-0.403399	0.235626	-0.758782
0.725518	0.102178	-0.497602	-0.049414	0.414878	0.041174	-0.330584	-0.213308	0.019193
1.038461	0.448809	0.256472	0.445966	0.715343	0.364119	0.502337	0.401541	0.741808
1.145716	0.777379	0.641753	1.165043	1.113554	0.478795	0.478866	1.476349	1.128827
0.427445	0.759586	0.554874	0.496248	0.754554	0.798260	0.941269	0.292454	1.255783
1.021049	1.226306	1.324571	0.519209	1.170897	0.653795	0.088050	0.402183	1.244465
0.394524	0.640369	1.099997	0.424196	0.486699	0.483480	-0.232917	-0.175378	1.179511
0.621582	1.362809	1.111457	0.100245	0.618020	1.058434	-0.015489	-0.189236	1.109636
0.541753	1.057229	1.216014	0.177988	0.529463	0.347966	0.759235	0.231767	1.054277
0.081664	0.373565	0.040828	-0.036056	0.164464	0.146094	-0.687879	-0.094506	1.013927
-0.016550	0.339922	0.146106	-0.121218	-0.148763	0.305731	-0.203240	-0.409600	0.738117
-0.744654	0.200799	-0.590065	0.533858	-0.714155	0.639436	-0.097685	0.732020	-0.041087
-1.256106	-0.466701	-0.962981	-0.096955	-0.861225	-0.766176	-0.252109	0.139908	-0.761242
-1.772754	-0.889792	-1.723942	-0.808315	-1.802518	-1.320102	-1.149208	-0.949588	-1.145554
-1.612106	-1.095239	-0.926345	-0.516641	-1.602770	-1.135127	-0.955184	-0.879225	-1.273002
-1.782461	-1.504003	-1.034066	-0.892658	-1.425319	-1.281453	-1.551069	-1.691561	-1.265129
-1.635952	-1.224108	-1.125115	-1.302295	-1.184772	-0.895245	-1.344576	-1.236217	-1.201405
-1.086760	-0.986487	-1.117033	-0.848853	-1.045842	-0.769229	-0.988443	-1.358804	-1.129070
-0.682587	-0.375942	-0.374957	0.019972	-0.682197	-0.676675	-0.424087	-0.732592	-1.071005
-0.396022	-1.207408	-0.258276	-0.481196	-0.291764	-1.969013	-0.853577	-0.745686	-1.031146
-0.860483	-1.280834	-1.125328	-1.002145	-0.468532	-1.516130	-1.539527	-0.942629	-0.758782
0.002103	-0.104560	-0.131652	0.140638	0.274793	-0.076425	-0.310929	0.114003	0.019193
0.396027	0.489658	-0.024054	0.610829	0.443026	0.631618	0.091409	0.375342	0.741808
1.067342	1.184120	0.769462	0.832161	1.181088	1.329346	0.876990	0.833599	1.128827
1.126510	1.000248	1.294659	0.578295	1.036946	0.897698	1.191660	0.941312	1.255783
1.243917	0.714655	1.143890	0.662211	1.171610	0.708872	1.348409	1.596173	1.244465
1.202270	0.658427	1.502115	0.503962	0.963217	1.203546	2.094121	1.187718	1.179511
1.261296	1.033650	1.172985	0.661614	1.269319	1.165045	1.219036	1.721326	1.109636
1.313855	0.690572	0.896241	0.950776	1.108469	0.885323	1.498980	0.930069	1.054277
