X1	X2	X3	X4	X5
-2.692017	-1.867931	-4.358787	-3.720385	-4.022798
-1.626981	-0.644285	-1.484237	-2.205322	-3.427500
-1.292867	-0.553471	2.637002	2.040297	-1.095588
-2.052176	0.341709	2.076630	4.493573	-0.240760
-1.637209	0.115455	4.412348	3.926907	4.229482
-1.020465	-1.114835	3.860157	1.217798	3.058540
0.338153	-1.871360	2.970357	-0.257052	4.286114
2.631146	-3.011023	1.645949	0.446355	0.847703
4.400712	0.822276	-0.022766	0.358520	1.620508
5.214652	-1.279865	3.149511	4.533644	1.695830
4.196463	-0.390145	4.219782	5.330626	-0.301333
4.253946	-1.384967	3.209746	4.331467	3.412921
3.157500	-0.897630	4.084605	1.669166	3.205992
1.412324	-1.712037	2.848359	1.752823	2.122379
0.627917	-0.500488	0.467808	-2.815460	1.817383
0.097178	-1.034683	-0.066547	-3.952086	-0.230997
0.733508	-0.429025	-3.231807	-5.499053	0.107841
1.001205	0.687886	-4.849871	-5.809962	-1.626204
-0.883632	-0.298850	-3.654538	-2.099612	-5.437632
-1.605602	3.328865	-3.143309	-2.312105	-2.328643
-1.133708	1.910130	-2.210383	0.142360	-3.723937
-3.042249	0.786545	0.069540	0.079583	-2.039613
-1.151427	-0.705892	0.688761	1.050663	-1.463872
-2.170941	-0.667981	0.613078	5.184401	0.744887
-0.870693	-0.569123	2.445393	2.857295	1.754064
0.069617	1.486080	0.829306	1.909547	3.395658
0.232188	0.593428	-0.379384	-0.620646	2.205669
-0.880480	-0.224880	-1.989477	-4.057883	0.936498
1.237011	0.088455	-6.887872	-5.801064	0.847845
-2.836139	-2.771967	-5.168769	-6.457790	-3.466790
-1.243330	-0.962648	-4.522169	-6.419761	-3.449908
-2.510363	-2.834589	-4.476772	-6.636878	-5.700108
-2.391938	-2.662290	-2.813777	-6.288841	-4.154091
-2.121357	-3.729052	-4.995086	-3.921450	-4.742556
-2.966620	-0.500376	-2.712897	-4.897507	-4.016603
-3.196027	-1.351463	-4.329711	-2.549011	-2.219232
1.731720	1.704386	-2.587229	-1.514064	-0.913744
-0.807578	3.780070	-4.723150	-1.473465	-3.841639
-1.201322	3.828590	-0.513376	-0.942116	-3.717116
-0.418512	4.712743	-3.427205	0.198884	-1.484976
0.126650	4.515230	-0.745539	-0.123667	-1.903818
0.426364	3.352748	-1.248177	0.528630	-2.461443
-1.747070	3.103198	-1.469321	-0.051124	-0.780251
-0.692552	3.812380	0.721331	1.727970	1.588159
-1.644484	4.356491	2.060076	3.022009	2.080785
-1.881665	1.934731	7.048115	5.087396	4.246029
-0.482697	3.029200	4.292548	3.719127	4.345189
0.610221	2.223797	6.035474	4.153103	3.845667
-0.762212	-1.115879	0.961892	2.395722	2.451160
-0.455097	-2.418029	-0.014998	2.897885	1.346971
2.317167	-0.225553	0.200304	-0.601111	-0.200102
4.051478	2.535449	0.895198	1.183435	1.357842
4.747037	0.085674	2.123581	1.209522	-0.141599
4.830443	-0.290877	1.887055	4.307848	4.624077
2.807995	-2.603704	3.349319	4.209813	2.742769
1.703394	-3.793309	4.080271	4.197016	1.710177
2.421239	-2.874793	2.857112	3.582356	1.445201
0.656430	-2.233455	4.369441	2.943033	2.804740
3.605866	-2.307296	0.653257	-0.086156	1.269295
3.988947	0.952983	-1.263340	-1.626410	0.517565
2.540273	-0.894919	-3.324252	-6.072331	-0.919650
2.577744	-0.855402	-4.822978	-2.593919	-3.482749
-1.266140	1.753833	-4.352619	2.086924	-1.846434
-2.659581	1.957086	-0.082576	2.183598	0.199296
-3.381677	-0.429543	0.717550	2.974601	1.203441
-0.614729	-1.619856	4.158359	5.034633	0.795300
-2.042938	-1.547853	5.333250	4.289992	2.183074
-1.436103	-0.039634	4.059822	3.260078	2.750461
-2.364625	-2.736399	2.003275	3.562890	1.957862
0.477397	-0.446350	1.832508	0.408326	2.094678
-0.516438	1.426814	3.726420	-0.715915	2.734606
2.207770	2.995592	1.756310	0.119467	3.805549
