X1	X2	X3	X4	X5	X6
0.493926	-2.923375	-1.823161	-2.463762	-2.269543	-2.642306
-3.060531	-1.515468	-0.759272	-1.745734	-3.322875	-1.455169
0.738079	2.452001	0.055105	-0.084722	-1.480473	-1.996279
2.628059	3.103331	-0.887031	1.119073	-3.189739	-2.356036
5.729708	0.117526	-1.024280	-1.175249	-2.427174	-1.516342
2.500929	-1.297314	-0.568341	-1.946388	-1.471681	-3.614796
-0.059377	-0.235687	0.654886	-2.427044	-0.430459	0.296799
1.112692	2.773107	0.562200	-0.625319	-2.547512	-0.631756
0.003538	2.407570	0.650002	0.633488	-1.575741	0.742936
-1.071240	2.780003	2.292391	-0.270523	-2.092047	4.338876
2.100863	4.610707	4.843369	0.327347	-0.085632	1.912261
5.117045	2.117783	4.899535	2.715997	0.936002	5.881292
5.134710	1.815833	4.108988	0.078829	0.324455	3.193267
2.038457	0.283257	2.517830	2.673140	-0.850376	2.924085
-0.030210	-0.989343	0.587359	4.628832	0.913707	1.047345
2.624508	0.525433	-2.159624	3.893904	1.424204	-3.940953
-0.574486	-1.240114	-3.099518	3.754055	0.782912	-3.614712
-2.762691	-0.164783	-1.910425	1.619786	-1.362369	-4.615731
-0.724707	-0.572072	-2.610244	1.162095	1.344758	-3.229213
-1.141331	-2.599581	-4.624276	-3.375216	-3.031209	-1.880557
-2.274063	-4.140410	0.026580	-2.275849	-1.981769	-0.051666
-2.041302	-2.707157	4.016424	-0.621504	-2.954027	-1.591740
-1.107145	-4.610122	3.118356	0.147319	-3.878882	-1.658081
-1.246793	-4.222203	3.515274	0.127821	-0.999836	-1.057988
-3.059843	-4.216801	3.558580	2.050100	-2.239691	-2.938965
-0.527995	-0.627414	-0.264927	-4.140644	-1.470349	-3.319111
-1.610247	-2.196742	-1.213047	-1.156010	-0.865911	-1.258128
-2.064599	0.904915	-2.947480	-0.501500	-0.342379	1.369184
-1.995249	1.853459	-0.081027	-0.389812	0.884447	4.452322
-3.036997	3.367590	-1.541487	0.718952	-1.654637	4.199386
-1.390541	3.158608	0.751939	1.655192	-1.592531	2.709774
-1.122080	1.350714	0.193751	2.772109	-0.095736	1.596987
-3.329713	1.218808	-0.779051	4.282802	1.116145	-1.327979
-1.779239	-0.949310	-2.735668	3.722470	1.816811	-1.512423
-2.848558	-3.874038	-1.276299	2.642615	2.446961	-3.534247
-2.469168	-2.467077	-1.724245	0.803735	1.824093	-0.946153
