"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","status"
"data1",41334.1384,25,40,0,0.5749,0.0053,0.7685,0.8714,96427.9382,96167.2585,-48043.6292,1,1,0.9984,0.9676,0.972,"last known convergence"
"data10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data13",43132.4172,25,40,0,0.5873,0.0046,0.7616,0.8676,101458.9969,101198.3172,-50559.1586,1,1,0.9983,0.9724,0.9769,"converged normally"
"data14",26115.1902,24,41,0,0.4663,0.0051,0.8481,0.919,81268.8417,81001.645,-40459.8225,1,1,0.9985,0.9678,0.9735,"converged normally"
"data15",40029.6079,25,40,0,0.5658,0.0047,0.7811,0.8784,94231.7778,93971.0981,-46945.549,1,1,0.9988,0.9708,0.9757,"converged normally"
"data16",26937.2257,24,41,0,0.4736,0.0066,0.8361,0.9126,80468.1244,80200.9277,-40059.4638,1,1,0.9977,0.9581,0.9658,"last known convergence"
"data17",14837.766,23,42,0,0.359,0.0065,0.9067,0.9523,68031.5941,67757.8804,-33836.9402,1,1,0.9998,0.9605,0.9656,"converged normally"
"data18",1307.5426,22,43,0,0.1081,0.0062,0.9916,0.9959,51939.7183,51659.4876,-25786.7438,1,1,1,0.9603,0.9669,"converged normally"
"data19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data2",20171.6242,23,42,0,0.4186,0.0066,0.8729,0.935,75608.6705,75334.9568,-37625.4784,1,1,0.9994,0.9613,0.9669,"last known convergence"
"data20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data21",40825.0346,25,40,0,0.5714,0.0054,0.7719,0.8733,94071.5069,93810.8272,-46865.4136,1,1,0.9986,0.9666,0.9725,"last known convergence"
"data22",15075.153,23,42,0,0.3618,0.007,0.9038,0.9508,66740.3551,66466.6414,-33191.3207,1,1,0.9998,0.9569,0.9629,"last known convergence"
"data23",39832.042,25,40,0,0.5644,0.0046,0.7842,0.8801,92623.8412,92363.1615,-46141.5807,1,1,0.9989,0.9712,0.977,"converged normally"
"data24",13996.1846,23,42,0,0.3486,0.0076,0.9109,0.9544,65779.8276,65506.1139,-32711.0569,1,1,0.9998,0.9544,0.9627,"last known convergence"
