"file","lhs","op","rhs","beta","se","z","pval","level"
"data1","V1","~","V1lag",2.46593745813441,0.0242026375296344,101.887137511977,0,"group"
"data1","V2","~","V2lag",-0.373898644138915,0.013913138015769,-26.8737824432665,0,"group"
"data1","V3","~","V3lag",-0.259196473835881,0.015503018383404,-16.7190973670876,0,"group"
"data1","V4","~","V4lag",1.0760089402989,0.0142649747678568,75.4301327418725,0,"group"
"data1","V5","~","V5lag",0.546166215928573,0.00992456269561874,55.0317664041441,0,"group"
"data1","V2","~","V1",0.37004255049298,0.00727882754248512,50.8382082599309,0,"group"
"data1","V1","~","V2lag",-1.88389875860501,0.0243091294159135,-77.4975823433543,0,"group"
"data1","V3","~","V4",-0.586696806317635,0.01158289102769,-50.6520181287282,0,"group"
"data1","V1","~","V3lag",-0.0860762728146149,0.00198162068200546,-43.4373104783622,0,"group"
"data1","V4","~","V5lag",-0.331704378919503,0.00918774115441936,-36.1029303443046,0,"group"
"data1","V4","~","V3lag",0.636387461420793,0.0144477896357424,44.0473925399935,0,"group"
"data1","V3","~","V4lag",-0.540655696792904,0.0197522629980258,-27.3718356649534,0,"group"
"data1","V1","~","V5lag",0.0489372615735449,0.00197301418009,24.8032994731505,0,"group"
"data1","V2","~","V3lag",0.0951148388141146,0.00226565046096004,41.9812501765214,0,"group"
"data1","V2","~","V4lag",0.156782744392241,0.00314722829405203,49.8161333540838,0,"group"
"data1","V2","~","V4",-0.0502874099269648,0.00148077573816547,-33.9601795402629,0,"group"
"data1","V2","~","V1lag",0.998347900123624,0.0183279325327506,54.4713866847585,0,"group"
"data1","V4","~","V5",-0.0937611009713721,0.00844832688989249,-11.0981857346864,0,"group"
"data1","V1","~","V5",-0.0159628917839504,0.00180893641567324,-8.82446262104209,0,"group"
"data1","V3","~","V5",-0.0304792242589709,0.00761254762541799,-4.00381393440509,6.23293940895664e-05,"group"
"data10","V1","~","V1lag",2.47347292237283,0.0242739293019082,101.898332635351,0,"group"
"data10","V2","~","V2lag",-0.382250862366119,0.0141865947069828,-26.9445113687482,0,"group"
"data10","V3","~","V3lag",-0.237209488776295,0.015348840057064,-15.4545547347159,0,"group"
"data10","V4","~","V4lag",1.05887971354946,0.0145110272629277,72.970692864361,0,"group"
