"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.2694,0,0,0,0,0,0,0,0,0,0,0,0,0.7859,0,0,0,0,0,0
"X2",0,0.7304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X3",0,0,0.4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X4",0,0,0,0.6973,0,0,0,-0.5505,0,0,0,0,0,0,0,0,0,0,0,0
"X5",0,0,0,0.5863,1.1415,-0.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X6",0,0,0,0,0,-0.7445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614
"X7",0,0,0,0,0,0,0.9918,0,0,-1.0316,0,0,0,0,0,0,0,0,0,0
"X8",0,0.1913,0,0,0,0,0,1.3572,0.8576,0,0,0,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,-0.2854,0,-0.8557,0.1658,0,0,0,0,0,0,0,0,2e-04,0,0
"X10",0,0,0,0,0,0,0,0,0,-3.5853,0,0,0,0,0,-2.8622,0,0,0,0
