"lhs","op","rhs","count.group","count.ind"
"X6","~","X10",28,0
"X10","~","X10lag",28,0
"X7","~","X10lag",28,0
"X1","~","X1lag",28,0
"X2","~","X2lag",28,0
"X3","~","X3lag",28,0
"X1","~","X4",28,0
"X4","~","X4lag",28,0
"X5","~","X4lag",28,0
"X5","~","X5lag",28,0
"X10","~","X6",28,0
"X5","~","X6lag",28,0
"X6","~","X6lag",28,0
"X7","~","X7lag",28,0
"X9","~","X8",28,0
"X8","~","X8lag",28,0
"X9","~","X9lag",28,0
"X8","~","X9lag",0,22
"X8","~","X2lag",0,9
"X9","~","X6lag",0,9
"X9","~","X8lag",0,2
"X4","~","X8lag",0,1
