"lhs","op","rhs","count.group"
"X4","~","X10",15
"X6","~","X10",15
"X9","~","X10",15
"X10","~","X10lag",15
"X1","~","X1lag",15
"X7","~","X2",15
"X8","~","X2",15
"X2","~","X2lag",15
"X3","~","X2lag",15
"X7","~","X2lag",15
"X9","~","X2lag",15
"X1","~","X3lag",15
"X2","~","X3lag",15
"X3","~","X3lag",15
"X5","~","X4",15
"X1","~","X4lag",15
"X4","~","X4lag",15
"X1","~","X5",15
"X4","~","X5",15
"X4","~","X5lag",15
"X5","~","X5lag",15
"X7","~","X6",15
"X1","~","X6lag",15
"X10","~","X6lag",15
"X2","~","X6lag",15
"X6","~","X6lag",15
"X7","~","X6lag",15
"X1","~","X7lag",15
"X4","~","X7lag",15
"X5","~","X7lag",15
"X7","~","X7lag",15
"X1","~","X8",15
"X2","~","X8",15
"X3","~","X8",15
"X1","~","X8lag",15
"X2","~","X8lag",15
"X5","~","X8lag",15
"X8","~","X8lag",15
"X9","~","X8lag",15
"X1","~","X9",15
"X2","~","X9lag",15
"X4","~","X9lag",15
"X5","~","X9lag",15
"X9","~","X9lag",15
