"","V1lag","V2lag","V3lag","V4lag","V5lag","V6lag","V7lag","V8lag","V9lag","V10lag","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"V1",0.0095,0.0981,0.1027,0.0182,0,0.0908,0,0,0,0.1264,0,0.0758,0.0796,0.0211,0.0161,0.0939,0.0416,0,0,0.1017
"V2",0,0.0145,0.0133,0,0,0.0169,0.0068,0,0,0,0,0,0.0134,0,0,0.0166,0.0063,0,0,0.0189
"V3",0,0.0029,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V4",0.015,0.1702,0.1013,0.0273,0.018,0.1916,0.0435,0.1926,0.1876,0.2313,0.0406,0,0.0699,0,0,0,0.0318,0,0.0438,0
"V5",0.0026,0.0295,0,0.0046,0.004,0.0292,0.0091,0.0275,0.0288,0.0341,0.0049,0,0.0139,0.0045,0,0.0193,0.0075,0.0131,0.0141,0.0227
"V6",0,0,0,0,0,0.0133,0,0,0,0.0159,0,0,0,0,0,0,0,0,0,0
"V7",0,0.0167,0.0184,0,0,0.0372,0.0151,0,0,0,0,0,0,0,0,0.034,0,0,0,0.0412
"V8",0,0,0.0164,0,0,0.0292,0,0.0201,0.0185,0.0373,0,0,0.0108,0,0,0.0289,0,0,0,0.0336
"V9",0,0,0,0.0027,0.0024,0.0244,0.0077,0,0.0077,0,0.0024,0,0.0128,0.0029,0,0.0182,0.0059,0.0072,0,0.0211
"V10",0,0,0,0,0,0.0118,0,0,0,0.0142,0,0,0,0,0,0.012,0,0,0,0
