"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","V9_r2","V10_r2","status"
"data1",141.5137,60,170,0,0.0165,0.0076,0.9988,0.9996,62583.5139,61475.625,-30567.8125,0.9804,0.9654,0.9403,0.9582,0.9967,0.1502,0.8584,0.8399,0.9515,0.125,"converged normally"
"data10",170.4993,60,170,0,0.0192,0.005,0.9984,0.9995,61537.5382,60429.6493,-30044.8247,0.9802,0.966,0.9435,0.9596,0.9969,0.1338,0.8636,0.8412,0.9519,0.1144,"converged normally"
"data11",177.3843,60,170,0,0.0198,0.0073,0.9982,0.9994,60553.0897,59445.2008,-29552.6004,0.9783,0.9614,0.9352,0.9547,0.9964,0.1519,0.8505,0.829,0.9456,0.1369,"converged normally"
"data12",223.6486,60,170,0,0.0234,0.0035,0.9976,0.9992,62244.7415,61136.8527,-30398.4263,0.9821,0.9671,0.9449,0.9637,0.9969,0.1517,0.869,0.8463,0.9536,0.1301,"converged normally"
"data13",183.8388,60,170,0,0.0203,0.0053,0.9982,0.9994,61408.761,60300.8722,-29980.4361,0.9802,0.9655,0.9427,0.9587,0.9967,0.133,0.8651,0.8357,0.9512,0.1418,"converged normally"
"data14",223.1571,60,170,0,0.0233,0.0056,0.9976,0.9992,62424.7678,61316.879,-30488.4395,0.981,0.9674,0.9462,0.959,0.997,0.1482,0.8695,0.8529,0.9545,0.1304,"converged normally"
"data15",175.1919,60,170,0,0.0196,0.0055,0.9983,0.9995,62412.3535,61304.4646,-30482.2323,0.9819,0.968,0.9437,0.9592,0.9969,0.1427,0.8672,0.8422,0.9516,0.1304,"converged normally"
"data16",183.7875,60,170,0,0.0203,0.0031,0.9981,0.9994,59005.0639,57897.1751,-28778.5875,0.9781,0.9623,0.9379,0.9573,0.9964,0.1433,0.8455,0.8292,0.9493,0.1144,"converged normally"
"data17",136.5876,60,170,0,0.016,0.0042,0.9989,0.9996,62685.9602,61578.0713,-30619.0357,0.9813,0.9677,0.9464,0.9618,0.9968,0.1517,0.8667,0.8428,0.9539,0.119,"converged normally"
"data18",198.4066,60,170,0,0.0215,0.0023,0.998,0.9994,60163.3538,59055.465,-29357.7325,0.9787,0.9661,0.9446,0.9611,0.9967,0.1424,0.8617,0.8415,0.9532,0.1326,"converged normally"
"data19",200.3819,60,170,0,0.0216,0.0061,0.998,0.9994,62618.4838,61510.595,-30585.2975,0.9814,0.969,0.9465,0.9631,0.997,0.1488,0.8708,0.8495,0.9532,0.1237,"converged normally"
"data2",167.6363,60,170,0,0.0189,0.0046,0.9984,0.9995,60401.8385,59293.9497,-29476.9748,0.9793,0.9625,0.9403,0.9587,0.9967,0.1157,0.8528,0.8294,0.9505,0.1264,"converged normally"
"data20",168.67,60,170,0,0.019,0.0034,0.9984,0.9995,60903.7692,59795.8804,-29727.9402,0.9806,0.9667,0.945,0.9581,0.9969,0.1378,0.8626,0.8482,0.9524,0.1243,"converged normally"
"data21",204.6769,60,170,0,0.022,0.0045,0.9978,0.9993,61680.692,60572.8032,-30116.4016,0.9797,0.965,0.9392,0.9588,0.9968,0.1399,0.8592,0.833,0.9486,0.128,"converged normally"
"data22",205.4921,60,170,0,0.022,0.0062,0.9978,0.9993,60219.2644,59111.3756,-29385.6878,0.9788,0.964,0.9389,0.9544,0.9966,0.1397,0.8572,0.8252,0.9482,0.1257,"converged normally"
"data23",213.9397,60,170,0,0.0227,0.0078,0.9976,0.9992,59118.2548,58010.366,-28835.183,0.976,0.9596,0.9341,0.9529,0.9962,0.1565,0.8395,0.8131,0.944,0.1377,"converged normally"
"data24",216.3353,60,170,0,0.0228,0.0046,0.9976,0.9993,60168.7671,59060.8783,-29360.4391,0.9795,0.9635,0.9382,0.9563,0.9966,0.1395,0.8538,0.835,0.9507,0.1345,"converged normally"
"data25",135.7116,60,170,0,0.0159,0.0032,0.9989,0.9996,61331.492,60223.6032,-29941.8016,0.978,0.9644,0.9406,0.9563,0.9967,0.1338,0.8604,0.836,0.949,0.1304,"converged normally"
"data26",176.8585,60,170,0,0.0197,0.003,0.9983,0.9994,62282.4426,61174.5538,-30417.2769,0.9799,0.9645,0.9415,0.9589,0.9967,0.1374,0.8617,0.8363,0.9521,0.1293,"converged normally"
"data27",260.4409,60,170,0,0.0259,0.0047,0.9971,0.9991,61832.461,60724.5721,-30192.2861,0.9835,0.9697,0.95,0.9648,0.9971,0.1353,0.8795,0.8574,0.9536,0.135,"converged normally"
"data28",209.5778,60,170,0,0.0223,0.0033,0.9977,0.9993,60971.8579,59863.969,-29761.9845,0.9779,0.9623,0.9355,0.9541,0.9963,0.157,0.8498,0.8235,0.9445,0.1337,"converged normally"
"data29",191.195,60,170,0,0.0209,0.0081,0.9981,0.9994,60896.9312,59789.0424,-29724.5212,0.9809,0.9649,0.9421,0.9609,0.9968,0.1263,0.8652,0.8402,0.9531,0.1283,"converged normally"
"data3",231.2965,60,170,0,0.0239,0.0055,0.9975,0.9992,62980.5279,61872.6391,-30766.3195,0.9831,0.9681,0.9483,0.9647,0.997,0.1401,0.8764,0.8476,0.9555,0.1331,"converged normally"
"data30",176.5473,60,170,0,0.0197,0.0029,0.9982,0.9994,60866.3365,59758.4477,-29709.2238,0.9786,0.9633,0.9363,0.9565,0.9965,0.1401,0.8549,0.8273,0.9483,0.1315,"converged normally"
"data31",208.0599,60,170,0,0.0222,0.0048,0.9979,0.9993,62985.7364,61877.8475,-30768.9238,0.9818,0.9687,0.9463,0.9605,0.997,0.1373,0.8754,0.851,0.9555,0.1119,"converged normally"
"data32",163.0024,60,170,0,0.0185,0.0047,0.9984,0.9995,58490.8987,57383.0098,-28521.5049,0.9783,0.9608,0.9307,0.9528,0.9963,0.1236,0.8442,0.8233,0.9471,0.127,"converged normally"
"data33",185.8689,60,170,0,0.0205,0.0057,0.9981,0.9994,60117.9872,59010.0984,-29335.0492,0.979,0.9629,0.9369,0.9585,0.9965,0.1432,0.8507,0.8315,0.949,0.1424,"converged normally"
"data34",249.2071,60,170,0,0.0251,0.0073,0.9972,0.9991,60817.9551,59710.0662,-29685.0331,0.9801,0.965,0.943,0.9591,0.9968,0.1392,0.8642,0.8417,0.9526,0.1167,"converged normally"
"data35",169.3847,60,170,0,0.0191,0.0061,0.9984,0.9995,62136.6273,61028.7385,-30344.3692,0.981,0.9656,0.9442,0.9622,0.9969,0.1461,0.8674,0.8497,0.9505,0.1272,"converged normally"
"data36",258.647,60,170,0,0.0257,0.0083,0.997,0.9991,60576.1895,59468.3007,-29564.1503,0.9803,0.9659,0.9408,0.959,0.9966,0.1608,0.8606,0.8341,0.9512,0.1175,"converged normally"
"data37",170.2811,60,170,0,0.0192,0.0055,0.9984,0.9995,61772.2043,60664.3155,-30162.1577,0.9811,0.9673,0.9431,0.9613,0.9969,0.1572,0.8674,0.8402,0.9511,0.1239,"converged normally"
"data38",178.905,60,170,0,0.0199,0.004,0.9983,0.9995,61657.1655,60549.2766,-30104.6383,0.9808,0.9675,0.947,0.9591,0.997,0.1467,0.8705,0.8531,0.953,0.1243,"converged normally"
"data39",204.2483,60,170,0,0.0219,0.0036,0.9978,0.9993,60696.5943,59588.7055,-29624.3528,0.9794,0.9638,0.9418,0.9591,0.9967,0.1401,0.8618,0.8251,0.9501,0.1141,"converged normally"
"data4",192.9601,60,170,0,0.0211,0.0047,0.998,0.9994,61051.4596,59943.5708,-29801.7854,0.9811,0.9654,0.9434,0.9584,0.9968,0.1437,0.8643,0.8459,0.9531,0.1212,"converged normally"
"data40",193.2755,60,170,0,0.0211,0.0049,0.9981,0.9994,61411.4964,60303.6076,-29981.8038,0.9826,0.9699,0.9467,0.9626,0.9971,0.144,0.8747,0.8503,0.9556,0.1051,"converged normally"
"data41",167.2626,60,170,0,0.0189,0.0023,0.9984,0.9995,61131.4085,60023.5196,-29841.7598,0.9812,0.9675,0.9456,0.9624,0.9969,0.1596,0.8655,0.841,0.9528,0.1233,"converged normally"
"data42",116.7057,60,170,0,0.0137,0.0022,0.9992,0.9997,61557.9193,60450.0305,-30055.0152,0.9816,0.9686,0.9443,0.9627,0.997,0.1228,0.8769,0.8426,0.954,0.1285,"converged normally"
"data43",202.013,60,170,0,0.0218,0.0029,0.9979,0.9993,61128.0387,60020.1498,-29840.0749,0.9804,0.9659,0.9448,0.9556,0.9969,0.1623,0.8652,0.8412,0.9528,0.1344,"converged normally"
"data44",179.3353,60,170,0,0.0199,0.0052,0.9981,0.9994,59214.0105,58106.1216,-28883.0608,0.976,0.9578,0.9296,0.9516,0.9961,0.1516,0.8366,0.8131,0.9439,0.1402,"converged normally"
"data45",173.432,60,170,0,0.0194,0.005,0.9983,0.9995,61067.123,59959.2342,-29809.6171,0.9799,0.9654,0.9406,0.9552,0.9966,0.1329,0.8635,0.8408,0.9496,0.1433,"converged normally"
"data46",169.2099,60,170,0,0.0191,0.0045,0.9984,0.9995,60812.6107,59704.7219,-29682.361,0.9815,0.9668,0.9434,0.9599,0.9969,0.1495,0.8625,0.8408,0.9518,0.1421,"converged normally"
"data47",159.9512,60,170,0,0.0183,0.0037,0.9985,0.9995,60751.6317,59643.7429,-29651.8714,0.9787,0.9621,0.9389,0.9548,0.9966,0.138,0.856,0.8284,0.946,0.1486,"converged normally"
"data48",187.6475,60,170,0,0.0206,0.0051,0.9981,0.9994,61632.9446,60525.0557,-30092.5279,0.9808,0.9668,0.9419,0.9598,0.9968,0.1468,0.8629,0.8444,0.9521,0.1325,"converged normally"
"data49",224.9283,60,170,0,0.0234,0.0051,0.9975,0.9992,60374.646,59266.7571,-29463.3786,0.9795,0.9635,0.9404,0.9542,0.9965,0.1487,0.8572,0.8321,0.9487,0.1356,"converged normally"
"data5",190.2101,60,170,0,0.0208,0.0044,0.9981,0.9994,62850.1117,61742.2229,-30701.1114,0.9813,0.9677,0.9449,0.9641,0.9969,0.1267,0.8657,0.8488,0.9534,0.1385,"converged normally"
"data50",220.819,60,170,0,0.0232,0.0054,0.9976,0.9992,61171.2061,60063.3173,-29861.6586,0.98,0.9649,0.941,0.9601,0.9966,0.1389,0.8588,0.8403,0.9496,0.1202,"converged normally"
"data51",218.416,60,170,0,0.023,0.005,0.9976,0.9992,60085.5687,58977.6799,-29318.8399,0.977,0.9621,0.9334,0.9531,0.9964,0.1505,0.8422,0.827,0.9471,0.1362,"converged normally"
"data52",222.8346,60,170,0,0.0233,0.0046,0.9977,0.9993,63395.1332,62287.2444,-30973.6222,0.9843,0.9735,0.9556,0.9666,0.9974,0.1465,0.8888,0.8709,0.96,0.1237,"converged normally"
"data53",178.5778,60,170,0,0.0199,0.0049,0.9983,0.9995,64464.3599,63356.4711,-31508.2355,0.9816,0.9697,0.9491,0.963,0.9972,0.1451,0.8809,0.8546,0.956,0.1442,"converged normally"
