"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0095,0.0146,0.0123,0.0129,0,0.0023,0,0,0,0.0027,0,0.0113,0.0096,0.0149,0.0082,0.0024,0.0068,0,0,0.0022
"X2",0,0.0145,0.0107,0,0,0.0029,0.0075,0,0,0,0,0,0.0108,0,0,0.0028,0.0069,0,0,0.0027
"X3",0,0.0037,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X4",0.0212,0.0358,0.0172,0.0273,0.013,0.0069,0.01,0.0331,0.0344,0.0069,0.0574,0,0.0118,0,0,0,0.0073,0,0.008,0
"X5",0.0052,0.0086,0,0.0064,0.004,0.0015,0.0029,0.0066,0.0073,0.0014,0.0097,0,0.0033,0.0062,0,0.001,0.0024,0.0031,0.0036,9e-04
"X6",0,0,0,0,0,0.0136,0,0,0,0.0132,0,0,0,0,0,0,0,0,0,0.0136
"X7",0,0.0153,0.0136,0,0,0.0058,0.0151,0,0,0,0,0,0,0,0,0.0053,0,0,0,0.0054
"X8",0,0,0.0162,0,0,0.0061,0,0.0201,0.0198,0.0065,0,0,0.0107,0,0,0.006,0,0,0,0.0059
"X9",0,0,0,0.0148,0.0095,0.0048,0.0097,0,0.0077,0,0.0185,0,0.0119,0.0157,0,0.0036,0.0074,0.0067,0,0.0035
"X10",0,0,0,0,0,0.0136,0,0,0,0.0136,0,0,0,0,0,0,0,0,0,0
