"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","X10_r2","status"
"data1",141.5137,60,170,0,0.0165,0.0076,0.9988,0.9996,73120.3583,72012.4694,-35836.2347,0.9804,0.9654,0.9403,0.9582,0.9967,0.1774,0.8584,0.8399,0.9515,0.096,"converged normally"
"data10",170.4993,60,170,0,0.0192,0.005,0.9984,0.9995,71531.0696,70423.1808,-35041.5904,0.9802,0.966,0.9435,0.9596,0.9969,0.1576,0.8636,0.8412,0.9519,0.0894,"converged normally"
"data11",177.3843,60,170,0,0.0198,0.0073,0.9982,0.9994,79092.9517,77985.0629,-38822.5314,0.9783,0.9614,0.9352,0.9547,0.9964,0.1813,0.8505,0.829,0.9456,0.1059,"converged normally"
"data12",223.6486,60,170,0,0.0234,0.0035,0.9976,0.9992,68092.1548,66984.266,-33322.133,0.9821,0.9671,0.9449,0.9637,0.9969,0.1804,0.869,0.8463,0.9536,0.0996,"converged normally"
"data13",183.8388,60,170,0,0.0203,0.0053,0.9982,0.9994,72146.0928,71038.2039,-35349.102,0.9802,0.9655,0.9427,0.9587,0.9967,0.1667,0.8651,0.8357,0.9512,0.1071,"converged normally"
"data14",223.1571,60,170,0,0.0233,0.0056,0.9976,0.9992,68089.739,66981.8502,-33320.9251,0.981,0.9674,0.9462,0.959,0.997,0.1747,0.8695,0.8529,0.9545,0.1025,"converged normally"
"data15",175.1919,60,170,0,0.0196,0.0055,0.9983,0.9995,70515.6889,69407.8,-34533.9,0.9819,0.968,0.9437,0.9592,0.9969,0.1672,0.8672,0.8422,0.9516,0.1048,"converged normally"
"data16",183.7875,60,170,0,0.0203,0.0031,0.9981,0.9994,78376.3148,77268.426,-38464.213,0.9781,0.9623,0.9379,0.9573,0.9964,0.1655,0.8455,0.8292,0.9493,0.0908,"converged normally"
"data17",136.5876,60,170,0,0.016,0.0042,0.9989,0.9996,68787.557,67679.6682,-33669.8341,0.9813,0.9677,0.9464,0.9618,0.9968,0.1734,0.8667,0.8428,0.9539,0.0959,"converged normally"
"data18",198.4066,60,170,0,0.0215,0.0023,0.998,0.9994,71372.8489,70264.9601,-34962.48,0.9787,0.9661,0.9446,0.9611,0.9967,0.1672,0.8617,0.8415,0.9532,0.1068,"converged normally"
"data19",200.3819,60,170,0,0.0216,0.0061,0.998,0.9994,67733.3612,66625.4724,-33142.7362,0.9814,0.969,0.9465,0.9631,0.997,0.171,0.8708,0.8495,0.9532,0.1001,"converged normally"
"data2",167.6363,60,170,0,0.0189,0.0046,0.9984,0.9995,76021.7525,74913.8636,-37286.9318,0.9793,0.9625,0.9403,0.9587,0.9967,0.1489,0.8528,0.8294,0.9505,0.0923,"converged normally"
"data20",168.67,60,170,0,0.019,0.0034,0.9984,0.9995,69779.394,68671.5052,-34165.7526,0.9806,0.9667,0.945,0.9581,0.9969,0.1698,0.8626,0.8482,0.9524,0.0905,"converged normally"
"data21",204.6769,60,170,0,0.022,0.0045,0.9978,0.9993,74287.6902,73179.8014,-36419.9007,0.9797,0.965,0.9392,0.9588,0.9968,0.1605,0.8592,0.833,0.9486,0.1066,"converged normally"
