"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","V7_r2","V8_r2","status"
"data1",521.0522,63,89,0,0.0381,0.0044,0.9965,0.9981,66712.1424,66132.13,-32977.065,0.9998,1,0.9986,0.9833,0.9915,0.475,0.1456,0.1455,"converged normally"
"data10",1037.4953,66,86,0,0.0543,0.0073,0.9931,0.9962,69552.0531,68991.5917,-34409.7958,0.9999,1,0.9989,0.9861,0.9924,0.4527,0.1576,0.162,"last known convergence"
"data11",920.553,66,86,0,0.0509,0.0063,0.9937,0.9965,67892.6377,67332.1763,-33580.0882,0.9998,1,0.9986,0.9828,0.9905,0.4822,0.173,0.1476,"converged normally"
"data12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data13",962.0263,66,86,0,0.0521,0.0075,0.9934,0.9964,67202.2778,66641.8164,-33234.9082,0.9998,1,0.9986,0.9826,0.9904,0.447,0.163,0.1527,"converged normally"
"data14",807.4156,66,86,0,0.0474,0.0079,0.9945,0.997,66925.4929,66365.0315,-33096.5158,0.9998,1,0.9986,0.9827,0.9912,0.4645,0.1536,0.1617,"converged normally"
"data15",967.0742,66,86,0,0.0523,0.0051,0.9936,0.9965,70097.3317,69536.8703,-34682.4352,0.9999,1,0.9989,0.9859,0.9927,0.4708,0.1393,0.1631,"last known convergence"
"data16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data17",879.8812,66,86,0,0.0497,0.0079,0.9939,0.9966,66777.552,66217.0906,-33022.5453,0.9998,1,0.9985,0.9812,0.9897,0.4512,0.1682,0.1631,"converged normally"
"data18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data19",935.6478,66,86,0,0.0513,0.0047,0.9938,0.9966,68989.4622,68429.0008,-34128.5004,0.9999,1,0.9988,0.9855,0.9924,0.4611,0.1507,0.1611,"last known convergence"
"data2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data21",916.045,65,87,0,0.0512,0.0066,0.9938,0.9966,69404.8026,68837.8242,-34331.9121,0.9998,1,0.9988,0.9852,0.9921,0.4734,0.1509,0.1521,"converged normally"
"data22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
"data24",64882.2541,66,86,0,0.4432,45801.2031,0.5293,0.7411,132576.2921,132015.8307,-65921.9153,1,1,1,1,1,1,0.9964,1,"last known convergence"
"data25",931.7569,66,86,0,0.0512,0.0055,0.9937,0.9965,67875.7855,67315.3241,-33571.6621,0.9998,1,0.9987,0.985,0.9916,0.447,0.1471,0.1665,"converged normally"
"data26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"computationally singular"
