"lhs","op","rhs","count.group","count.ind"
"V2","~","V1",29,0
"V1","~","V1lag",29,0
"V2","~","V1lag",29,0
"V2","~","V2lag",29,0
"V4","~","V3",29,0
"V1","~","V3lag",29,0
"V2","~","V3lag",29,0
"V3","~","V3lag",29,0
"V4","~","V3lag",29,0
"V1","~","V4lag",29,0
"V2","~","V4lag",29,0
"V3","~","V4lag",29,0
"V4","~","V4lag",29,0
"V4","~","V5",29,0
"V3","~","V5lag",29,0
"V4","~","V5lag",29,0
"V5","~","V5lag",29,0
"V4","~","V6lag",29,0
"V5","~","V6lag",29,0
"V6","~","V6lag",29,0
"V4","~","V7lag",29,0
"V7","~","V7lag",29,0
"V5","~","V8",29,0
"V4","~","V8lag",29,0
"V5","~","V8lag",29,0
"V8","~","V8lag",29,0
"V5","~","V7lag",0,4
"V4","~","V8",0,4
"V5","~","V6",0,2
"V5","~","V7",0,1
