"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","status"
"data1",36.1661,16,74,0.0027,0.0159,0.0036,0.9993,0.9998,42892.1183,42409.8608,-21130.9304,0.9995,0.9782,0.9535,0.9858,0.9146,0.1696,"converged normally"
"data10",65.3381,16,74,0,0.0248,0.0059,0.9984,0.9996,43096.4762,42614.2187,-21233.1093,0.9995,0.978,0.9512,0.9845,0.9168,0.1606,"converged normally"
"data11",48.597,16,74,0,0.0202,0.0036,0.999,0.9997,41537.4321,41055.1746,-20453.5873,0.9995,0.98,0.9533,0.9855,0.9213,0.1775,"converged normally"
"data12",58.2408,16,74,0,0.023,0.0056,0.9986,0.9997,43196.0847,42713.8272,-21282.9136,0.9995,0.9788,0.9472,0.9852,0.9193,0.1596,"converged normally"
"data13",34.0139,16,74,0.0054,0.015,0.002,0.9994,0.9999,40214.3846,39732.1271,-19792.0636,0.9995,0.9805,0.9534,0.9849,0.9258,0.1712,"converged normally"
"data14",41.4755,16,74,5e-04,0.0178,0.0038,0.9992,0.9998,38580.61,38098.3525,-18975.1762,0.9995,0.9816,0.9587,0.9841,0.9273,0.1789,"converged normally"
"data15",93.9026,16,74,0,0.0312,0.0097,0.9975,0.9994,43397.5478,42915.2903,-21383.6452,0.9995,0.9784,0.9475,0.9842,0.9211,0.1529,"converged normally"
"data16",49.2737,16,74,0,0.0204,0.0054,0.9989,0.9997,41896.2375,41413.98,-20632.99,0.9995,0.979,0.9524,0.9845,0.917,0.1841,"converged normally"
"data17",59.4396,16,74,0,0.0233,0.0066,0.9986,0.9997,45110.8892,44628.6317,-22240.3158,0.9994,0.9772,0.9443,0.9829,0.9112,0.1573,"converged normally"
"data18",41.511,16,74,5e-04,0.0179,0.0037,0.9992,0.9998,37675.9496,37193.6921,-18522.8461,0.9995,0.9831,0.9584,0.9855,0.9327,0.1722,"converged normally"
"data19",66.3861,16,74,0,0.0251,0.0058,0.9984,0.9996,40744.5572,40262.2997,-20057.1499,0.9995,0.9809,0.9551,0.9852,0.9235,0.1642,"converged normally"
"data2",57.3368,16,74,0,0.0227,0.0025,0.9987,0.9997,44161.8318,43679.5743,-21765.7871,0.9994,0.9773,0.9471,0.9849,0.9142,0.1692,"converged normally"
"data20",37.7789,16,74,0.0016,0.0165,0.0026,0.9993,0.9998,37254.6969,36772.4394,-18312.2197,0.9996,0.983,0.9593,0.9859,0.9283,0.1637,"converged normally"
"data21",63.3084,16,74,0,0.0243,0.0053,0.9985,0.9996,39248.643,38766.3855,-19309.1927,0.9995,0.9815,0.9565,0.9848,0.9232,0.1619,"converged normally"
"data22",51.8247,16,74,0,0.0212,0.0023,0.9989,0.9997,40936.0788,40453.8213,-20152.9106,0.9995,0.9804,0.9565,0.986,0.9223,0.1703,"converged normally"
"data23",53.1998,16,74,0,0.0216,0.0023,0.9988,0.9997,38971.4701,38489.2126,-19170.6063,0.9995,0.9811,0.9569,0.9869,0.9239,0.1664,"converged normally"
"data24",64.253,16,74,0,0.0246,0.0054,0.9985,0.9996,42355.5603,41873.3029,-20862.6514,0.9994,0.9792,0.9518,0.9839,0.9169,0.1553,"converged normally"
"data25",51.2007,16,74,0,0.021,0.0056,0.9989,0.9997,41535.6579,41053.4004,-20452.7002,0.9995,0.9809,0.9529,0.9853,0.9214,0.179,"converged normally"
"data26",40.4872,16,74,7e-04,0.0175,0.0043,0.9992,0.9998,41785.68,41303.4226,-20577.7113,0.9995,0.9794,0.9544,0.9848,0.9192,0.1728,"converged normally"
"data27",27.9417,16,74,0.0321,0.0122,0.0024,0.9996,0.9999,37659.9694,37177.7119,-18514.856,0.9996,0.9827,0.9584,0.9847,0.9324,0.158,"converged normally"
