"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","V1_r2","V2_r2","V3_r2","V4_r2","V5_r2","V6_r2","status"
"data1",25.2183,12,78,0.0138,0.0148,0.0049,0.9994,0.9999,100293.2823,99784.9569,-49814.4784,0.9984,0.9,0.9696,0.982,0.9606,0.1285,"converged normally"
"data10",42.2595,12,78,0,0.0225,0.0059,0.9985,0.9997,101109.4521,100601.1266,-50222.5633,0.9985,0.9108,0.9667,0.9814,0.9611,0.1423,"converged normally"
"data11",22.0153,12,78,0.0373,0.0129,0.0041,0.9995,0.9999,97358.5779,96850.2524,-48347.1262,0.9981,0.8993,0.967,0.981,0.9605,0.1485,"converged normally"
"data12",59.3297,12,78,0,0.0281,0.0045,0.9976,0.9996,97736.2559,97227.9304,-48535.9652,0.9981,0.9019,0.9655,0.98,0.9591,0.1332,"converged normally"
"data13",39.9731,12,78,1e-04,0.0216,0.0048,0.9986,0.9997,98619.5738,98111.2484,-48977.6242,0.9983,0.9014,0.966,0.9805,0.9574,0.1307,"converged normally"
"data14",19.8033,12,78,0.0709,0.0114,0.0027,0.9996,0.9999,97437.7589,96929.4335,-48386.7167,0.9981,0.8977,0.9633,0.978,0.9556,0.1423,"converged normally"
"data15",61.6324,12,78,0,0.0288,0.0052,0.9975,0.9995,95547.2256,95038.9002,-47441.4501,0.9979,0.9003,0.9644,0.9785,0.9571,0.1337,"converged normally"
"data16",34.7354,12,78,5e-04,0.0195,0.0038,0.9989,0.9998,98656.2551,98147.9296,-48995.9648,0.9984,0.9017,0.9652,0.9809,0.9603,0.1309,"converged normally"
"data17",43.3657,12,78,0,0.0229,0.0058,0.9985,0.9997,99976.7387,99468.4132,-49656.2066,0.9985,0.9,0.9681,0.9813,0.9603,0.1353,"converged normally"
"data18",34.3103,12,78,6e-04,0.0193,0.0047,0.9989,0.9998,97437.1052,96928.7797,-48386.3899,0.9982,0.8936,0.9651,0.9796,0.9579,0.1166,"converged normally"
"data19",41.3042,12,78,0,0.0221,0.0038,0.9986,0.9997,99164.2497,98655.9243,-49249.9621,0.9982,0.9014,0.9686,0.9821,0.9621,0.1348,"converged normally"
"data2",30.1118,12,78,0.0027,0.0174,0.0066,0.9991,0.9998,97969.956,97461.6305,-48652.8152,0.9982,0.902,0.9671,0.9807,0.9604,0.1529,"converged normally"
"data20",31.6255,12,78,0.0016,0.0181,0.0023,0.999,0.9998,97243.1837,96734.8582,-48289.4291,0.9982,0.8934,0.9653,0.9804,0.9579,0.1432,"converged normally"
"data21",20.9104,12,78,0.0517,0.0122,0.0032,0.9996,0.9999,99284.8122,98776.4868,-49310.2434,0.9984,0.9088,0.9675,0.9816,0.9624,0.1251,"converged normally"
"data22",55.0046,12,78,0,0.0268,0.0037,0.9979,0.9996,98603.131,98094.8055,-48969.4028,0.9982,0.9012,0.9661,0.9798,0.9605,0.1265,"converged normally"
"data23",18.5813,12,78,0.0991,0.0105,0.0034,0.9997,0.9999,97729.101,97220.7755,-48532.3878,0.9981,0.899,0.9668,0.9796,0.957,0.1435,"converged normally"
"data24",32.7906,12,78,0.001,0.0186,0.0043,0.999,0.9998,99563.5451,99055.2197,-49449.6098,0.9985,0.8984,0.9657,0.98,0.9598,0.1429,"converged normally"
"data25",27.9338,12,78,0.0057,0.0163,0.0034,0.9992,0.9999,98289.0508,97780.7253,-48812.3627,0.9982,0.8979,0.9659,0.9796,0.9574,0.129,"converged normally"
"data26",25.6563,12,78,0.012,0.0151,0.0041,0.9993,0.9999,96905.5681,96397.2426,-48120.6213,0.9979,0.9003,0.9653,0.9798,0.9586,0.1363,"converged normally"
"data27",32.7593,12,78,0.0011,0.0186,0.0037,0.999,0.9998,99251.1333,98742.8079,-49293.4039,0.9984,0.9078,0.9669,0.9817,0.961,0.141,"converged normally"
"data28",19.3106,12,78,0.0813,0.011,0.0041,0.9996,0.9999,99935.8366,99427.5111,-49635.7555,0.9984,0.898,0.9696,0.9814,0.9611,0.1265,"converged normally"
"data29",18.2953,12,78,0.107,0.0102,0.0031,0.9997,0.9999,98310.1544,97801.8289,-48822.9145,0.9982,0.9073,0.9664,0.98,0.9596,0.1333,"converged normally"
"data3",22.0573,12,78,0.0369,0.0129,0.0046,0.9995,0.9999,99481.3978,98973.0723,-49408.5362,0.9982,0.9102,0.9683,0.9819,0.963,0.1308,"converged normally"
"data30",26.7523,12,78,0.0084,0.0157,0.0024,0.9993,0.9999,97687.356,97179.0305,-48511.5153,0.9982,0.9072,0.9649,0.979,0.9587,0.1413,"converged normally"
"data31",33.1964,12,78,9e-04,0.0188,0.0057,0.9989,0.9998,98313.6869,97805.3614,-48824.6807,0.9984,0.8991,0.9644,0.9801,0.9559,0.1516,"converged normally"
"data32",30.9658,12,78,0.002,0.0178,0.003,0.9991,0.9998,97172.9922,96664.6667,-48254.3333,0.998,0.8922,0.9667,0.9802,0.9594,0.1278,"converged normally"
"data33",28.8026,12,78,0.0042,0.0167,0.0048,0.9992,0.9999,98977.2392,98468.9137,-49156.4568,0.9984,0.9018,0.9665,0.9815,0.9589,0.1379,"converged normally"
