"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","status"
"data1",66.9158,75,77,0.7358,0,0.0042,1.0001,1,70797.1548,70295.3464,-35070.6732,0.9575,0.9909,0.9884,0.984,0.9656,0.9284,0.9141,0.3827,"converged normally"
"data10",80.1393,75,77,0.3211,0.0037,0.0042,0.9999,1,77620.3393,77118.5308,-38482.2654,0.9515,0.9883,0.9859,0.9828,0.9581,0.9255,0.9059,0.3586,"converged normally"
"data11",81.8544,75,77,0.2751,0.0043,0.0044,0.9999,1,78525.1775,78023.3691,-38934.6845,0.9496,0.9875,0.9851,0.9833,0.9569,0.925,0.9066,0.3796,"converged normally"
"data12",67.3067,75,77,0.7244,0,0.0029,1.0001,1,74606.8726,74105.0642,-36975.5321,0.954,0.9903,0.9876,0.9824,0.9637,0.9213,0.9099,0.363,"converged normally"
"data13",86.0842,75,77,0.1794,0.0054,0.0026,0.9999,0.9999,69299.3635,68797.555,-34321.7775,0.9598,0.9917,0.9896,0.984,0.9662,0.927,0.9157,0.3771,"converged normally"
"data14",63.9865,75,77,0.8139,0,0.0034,1.0001,1,69967.4725,69465.664,-34655.832,0.9592,0.9918,0.9888,0.9839,0.9667,0.9217,0.9133,0.3931,"converged normally"
"data15",61.5975,75,77,0.8669,0,0.0047,1.0001,1,77440.6627,76938.8542,-38392.4271,0.9514,0.9874,0.9844,0.9848,0.9541,0.9317,0.911,0.4,"converged normally"
"data16",71.3735,75,77,0.5973,0,0.0036,1,1,76893.3112,76391.5028,-38118.7514,0.9534,0.9893,0.9863,0.9833,0.9579,0.9232,0.9047,0.3849,"converged normally"
"data17",68.1435,75,77,0.6995,0,0.003,1.0001,1,72625.2648,72123.4563,-35984.7282,0.9556,0.9908,0.9885,0.9822,0.9652,0.9201,0.911,0.359,"converged normally"
"data18",61.8582,75,77,0.8616,0,0.0051,1.0001,1,72989.3459,72487.5374,-36166.7687,0.9553,0.9894,0.9869,0.9848,0.9608,0.9323,0.917,0.409,"converged normally"
"data19",41.277,75,77,0.9995,0,0.0018,1.0004,1,79224.1431,78722.3347,-39284.1673,0.9526,0.9882,0.9845,0.9827,0.9568,0.9239,0.9032,0.3624,"converged normally"
"data2",68.5157,75,77,0.6882,0,0.0021,1.0001,1,76248.3678,75746.5593,-37796.2796,0.9528,0.9884,0.9859,0.9842,0.9564,0.9304,0.9096,0.3958,"converged normally"
"data20",61.8994,75,77,0.8608,0,0.0026,1.0001,1,79103.8506,78602.0422,-39224.0211,0.9506,0.989,0.9854,0.9822,0.957,0.9229,0.9007,0.3593,"converged normally"
