"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1_r2","X2_r2","X3_r2","X4_r2","X5_r2","X6_r2","X7_r2","X8_r2","X9_r2","status"
"data1",77.1381,65,124,0.144,0.0061,0.0045,0.9998,0.9999,76668.5393,75860.4322,-37806.2161,0.9295,0.7458,0.5675,0.8124,0.6308,0.9991,0.9998,0.98,0.275,"converged normally"
"data10",101.4464,65,124,0.0026,0.0106,0.0046,0.9995,0.9998,72522.2267,71714.1195,-35733.0597,0.9348,0.7514,0.5563,0.815,0.6478,0.9992,0.9998,0.9813,0.2535,"converged normally"
"data11",101.7158,65,124,0.0024,0.0106,0.0047,0.9995,0.9998,76755.9611,75947.854,-37849.927,0.9332,0.7529,0.5889,0.8182,0.6502,0.9989,0.9997,0.9797,0.2425,"converged normally"
"data12",88.7221,65,124,0.027,0.0085,0.0051,0.9997,0.9999,70726.535,69918.4278,-34835.2139,0.9346,0.7402,0.5596,0.8218,0.6187,0.9993,0.9998,0.9812,0.2584,"converged normally"
"data13",93.7115,65,124,0.0114,0.0094,0.0058,0.9996,0.9998,72110.7088,71302.6016,-35527.3008,0.9286,0.7451,0.5636,0.8254,0.6595,0.9992,0.9998,0.9823,0.2546,"converged normally"
"data14",137.1887,65,124,0,0.0149,0.0065,0.9991,0.9996,75198.6007,74390.4935,-37071.2468,0.935,0.7557,0.5644,0.8225,0.6617,0.999,0.9997,0.9818,0.2632,"converged normally"
"data15",88.122,65,124,0.0297,0.0084,0.0047,0.9997,0.9999,74221.0016,73412.8945,-36582.4472,0.9329,0.7529,0.5448,0.8149,0.6435,0.9991,0.9998,0.9808,0.2583,"converged normally"
"data16",73.9296,65,124,0.2096,0.0052,0.0042,0.9999,1,75987.9835,75179.8764,-37465.9382,0.9293,0.7434,0.5361,0.813,0.6386,0.9991,0.9998,0.9814,0.2551,"converged normally"
"data17",120.0257,65,124,0,0.013,0.0071,0.9993,0.9997,78053.6451,77245.5379,-38498.769,0.9363,0.7612,0.5553,0.8006,0.6258,0.999,0.9997,0.9784,0.2642,"converged normally"
"data18",153.6223,65,124,0,0.0165,0.0057,0.9989,0.9995,74468.2173,73660.1101,-36706.0551,0.9355,0.7481,0.5589,0.824,0.6586,0.9991,0.9998,0.9816,0.2666,"converged normally"
"data19",103.3226,65,124,0.0018,0.0109,0.0043,0.9995,0.9998,68382.6671,67574.5599,-33663.28,0.9389,0.7602,0.5647,0.8184,0.6436,0.9994,0.9998,0.9817,0.244,"converged normally"
"data2",129.322,65,124,0,0.0141,0.0054,0.9992,0.9996,75955.9126,75147.8054,-37449.9027,0.9318,0.7403,0.5599,0.8088,0.6274,0.9991,0.9998,0.9794,0.2432,"converged normally"
"data20",105.3189,65,124,0.0012,0.0111,0.004,0.9995,0.9998,71129.3797,70321.2726,-35036.6363,0.9346,0.7412,0.5687,0.8269,0.6459,0.9992,0.9998,0.9819,0.2673,"converged normally"
"data21",116.5788,65,124,1e-04,0.0126,0.0074,0.9993,0.9997,74945.9771,74137.8699,-36944.9349,0.9361,0.7544,0.5618,0.8082,0.634,0.9991,0.9998,0.9801,0.254,"converged normally"
"data22",78.8126,65,124,0.1165,0.0065,0.0054,0.9998,0.9999,71511.0613,70702.9542,-35227.4771,0.9363,0.7535,0.5637,0.8149,0.6497,0.9992,0.9998,0.981,0.2698,"converged normally"
"data23",95.592,65,124,0.0081,0.0097,0.0059,0.9996,0.9998,73141.5603,72333.4532,-36042.7266,0.9284,0.739,0.5559,0.8078,0.6271,0.9992,0.9998,0.9815,0.2637,"converged normally"
"data24",82.9759,65,124,0.0657,0.0074,0.0045,0.9998,0.9999,71823.42,71015.3128,-35383.6564,0.9342,0.7626,0.5765,0.8146,0.6368,0.9992,0.9998,0.982,0.2386,"converged normally"
