"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0104,0,0,0,0,0,0,0,0.0102,0,0,0,0,0,0,0.0097,0,0.0115,0,0
"X2",0,0.0145,0.0128,0,0.0148,0,0,0.0142,0,0.0142,0,0,0,0,0.0146,0,0,0.0139,0,0.0144
"X3",0,0,0.0108,0,0,0,0.0111,0,0.0087,0,0,0.0104,0,0,0,0,0,0,0,0.0102
"X4",0,0,0.0104,0.0106,0,0,0,0,0,0,0.0099,0.0106,0,0,0.0111,0,0.0111,0,0,0
"X5",0,0,0,0.0117,0.0117,0,0.0146,0,0,0.0134,0,0,0,0,0,0.0125,0.0141,0,0,0.0156
"X6",0,0,0,0.0146,0,0.0147,0,0,0,0.0145,0,0,0,0.015,0,0,0,0,0.0111,0
"X7",0,0,0,0,0,0.0109,0.0107,0,0,0,0,0,0.009,0,0,0,0,0,0,0.0123
"X8",0,0,0,0,0,0.0158,0,0.013,0.0126,0.0153,0,0,0,0,0,0.0148,0,0,0,0.016
"X9",0.0102,0.0129,0,0,0,0,0,0,0.0107,0,0,0.013,0,0.0106,0,0,0,0.0118,0,0.0106
"X10",0,0,0,0,0,0,0.0098,0,0,0.0106,0,0,0,0,0,0.0091,0,0,0,0
