"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.6809,0,0,0,0,0,0,0,-0.0655,0,0,0,0,0,0,0.0855,0,0.1454,0,0
"X2",0,0.5116,0.1809,0,-0.0496,0,0,-0.0646,0,-0.0989,0,0,0,0,0.1344,0,0,0.2431,0,0.1219
"X3",0,0,0.4271,0,0,0,0.0313,0,-0.0702,0,0,0.4599,0,0,0,0,0,0,0,0.0819
"X4",0,0,-0.0635,0.4561,0,0,0,0,0,0,0.0822,0.1358,0,0,0.3286,0,0.1105,0,0,0
"X5",0,0,0,0.0699,0.6615,0,-0.1156,0,0,-0.1143,0,0,0,0,0,0.0883,0.1635,0,0,0.1097
"X6",0,0,0,-0.0984,0,0.4789,0,0,0,0.161,0,0,0,0.2105,0,0,0,0,0.1801,0
"X7",0,0,0,0,0,-0.0538,0.5907,0,0,0,0,0,0.1682,0,0,0,0,0,0,0.2084
"X8",0,0,0,0,0,-0.0831,0,0.6298,0.0913,-0.1146,0,0,0,0,0,0.231,0,0,0,0.0901
"X9",-0.0501,-0.0976,0,0,0,0,0,0,0.5038,0,0,0.1436,0,0.1271,0,0,0,0.3061,0,0.0494
"X10",0,0,0,0,0,0,0.0647,0,0,0.4236,0,0,0,0,0,0.4454,0,0,0,0
