"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"concat_BOLDfslfilter_01",667.5811,90,140,0,0.0358,0.0125,0.9845,0.9927,397354.1476,396441.7685,-198080.8843,0.5359,0.6623,0.6606,0.6821,0.6285,0.6562,0.5992,0.6318,0.7236,0.6815,"converged normally"
"concat_BOLDfslfilter_02",629.1596,90,140,0,0.0346,0.0129,0.986,0.9934,401757.4287,400845.0496,-200282.5248,0.5663,0.6722,0.6854,0.7046,0.649,0.6427,0.6036,0.6294,0.7403,0.6776,"converged normally"
"concat_BOLDfslfilter_03",903.733,90,140,0,0.0425,0.0153,0.9794,0.9903,401655.4127,400743.0337,-200231.5168,0.5618,0.6675,0.6908,0.7182,0.6257,0.6732,0.6101,0.6238,0.7324,0.6965,"converged normally"
"concat_BOLDfslfilter_04",648.0516,90,140,0,0.0352,0.0117,0.9853,0.993,398071.3772,397158.9981,-198439.4991,0.5706,0.6421,0.691,0.7161,0.646,0.6542,0.5918,0.6198,0.7258,0.6574,"converged normally"
"concat_BOLDfslfilter_05",690.6073,90,140,0,0.0365,0.0125,0.9843,0.9926,397054.3843,396142.0053,-197931.0026,0.5634,0.6642,0.6912,0.707,0.6194,0.6599,0.5799,0.6427,0.7136,0.6936,"converged normally"
"concat_BOLDfslfilter_06",684.409,90,140,0,0.0363,0.0116,0.9845,0.9927,396432.2575,395519.8784,-197619.9392,0.535,0.6726,0.6757,0.7222,0.6321,0.6423,0.6037,0.6109,0.7182,0.6984,"converged normally"
"concat_BOLDfslfilter_07",758.9483,90,140,0,0.0386,0.0132,0.9818,0.9914,394103.698,393191.3189,-196455.6595,0.514,0.6386,0.6784,0.7094,0.6169,0.6517,0.5882,0.6084,0.7279,0.643,"converged normally"
"concat_BOLDfslfilter_08",640.9736,90,140,0,0.035,0.0121,0.9852,0.993,400593.0046,399680.6256,-199700.3128,0.5296,0.6507,0.6885,0.7091,0.6399,0.6848,0.6047,0.6206,0.6935,0.6528,"converged normally"
"concat_BOLDfslfilter_09",798.4278,90,140,0,0.0397,0.014,0.9817,0.9913,399443.8599,398531.4809,-199125.7404,0.5551,0.6613,0.6916,0.7034,0.6437,0.6957,0.5961,0.6287,0.7295,0.6567,"converged normally"
"concat_BOLDfslfilter_10",730.0801,90,140,0,0.0377,0.013,0.9829,0.9919,398746.1813,397833.8023,-198776.9012,0.5292,0.6403,0.6606,0.7026,0.6428,0.6644,0.5957,0.6157,0.7122,0.6793,"converged normally"
"concat_BOLDfslfilter_11",683.9974,90,140,0,0.0363,0.0123,0.9845,0.9926,406295.0619,405382.6829,-202551.3415,0.5492,0.6504,0.6834,0.7288,0.6629,0.6264,0.624,0.644,0.7149,0.6812,"converged normally"
"concat_BOLDfslfilter_12",811.302,90,140,0,0.04,0.0155,0.9818,0.9914,400360.3116,399447.9326,-199583.9663,0.5533,0.656,0.6818,0.7182,0.6683,0.6672,0.6348,0.627,0.7339,0.6757,"converged normally"
"concat_BOLDfslfilter_13",624.2374,90,140,0,0.0345,0.0116,0.986,0.9934,399475.9998,398563.6208,-199141.8104,0.5322,0.6601,0.6983,0.6874,0.621,0.6741,0.5986,0.6411,0.7272,0.6835,"converged normally"
"concat_BOLDfslfilter_14",893.2456,90,140,0,0.0423,0.0152,0.9791,0.9901,402254.6567,401342.2777,-200531.1388,0.5576,0.6537,0.6703,0.715,0.6099,0.6694,0.6032,0.6446,0.7393,0.6667,"converged normally"
"concat_BOLDfslfilter_15",847.6993,90,140,0,0.041,0.0144,0.9803,0.9907,401197.7207,400285.3417,-200002.6708,0.557,0.6427,0.7005,0.7101,0.6203,0.6749,0.6183,0.6382,0.7336,0.6548,"converged normally"
"concat_BOLDfslfilter_16",765.6759,90,140,0,0.0388,0.0144,0.9817,0.9913,401560.2518,400647.8727,-200183.9364,0.537,0.6534,0.6731,0.6899,0.6056,0.6611,0.5696,0.6374,0.736,0.6761,"converged normally"
"concat_BOLDfslfilter_17",922.0911,90,140,0,0.043,0.0149,0.9781,0.9896,402358.9568,401446.5778,-200583.2889,0.544,0.6887,0.6454,0.7184,0.6132,0.657,0.6082,0.6274,0.7193,0.6753,"converged normally"
"concat_BOLDfslfilter_18",681.1631,90,140,0,0.0362,0.0126,0.9851,0.9929,400172.5271,399260.148,-199490.074,0.5475,0.6597,0.6852,0.7416,0.6443,0.6771,0.611,0.6406,0.7226,0.6978,"converged normally"
"concat_BOLDfslfilter_19",679.6239,90,140,0,0.0362,0.0133,0.9851,0.9929,398427.161,397514.782,-198617.391,0.5377,0.6622,0.7173,0.7129,0.6333,0.6658,0.5963,0.6327,0.7339,0.7209,"converged normally"
"concat_BOLDfslfilter_20",788.3885,90,140,0,0.0394,0.0133,0.9809,0.9909,398733.2704,397820.8913,-198770.4457,0.5195,0.6418,0.6684,0.6946,0.6117,0.6494,0.5812,0.6281,0.7022,0.6863,"converged normally"
