"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.7098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1108,0,0,0,0
"X2",0,0.688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1227,0,0
"X3",0,0,0.5133,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0
"X4",0,0,0,0.6158,0,0,0,0,0,0,0,0,0,0,0,0.2924,0,0,0,0
"X5",0,0,0,0,0.5628,0,0,0,0,0,0,0,0,0.4276,0,0,0,0,0,0
"X6",0,0,0,0,0,0.3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5391
"X7",0,0,0,0,0,0,0.6334,0,0,0,0,0,0.1861,0,0,0,0,0,0,0.2059
"X8",0,0,0,0,0,0,0,0.548,0,0,0,0,0,0,0,0,0,0,0.3204,0
"X9",0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0.2327,0,0,0,0
"X10",0,0,0,0,0,0.4542,0,0,0,0.3905,0,0.1021,0,0,0,0,0,0,0,0
