"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0
"X2",0,0.0328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343,0,0
"X3",0,0,0.0313,0,0,0,0,0,0,0,0,0.0305,0,0,0,0,0,0,0,0
"X4",0,0,0,0.0314,0.0384,0,0,0,0,0,0,0,0,0,0,0.0412,0,0,0.0338,0
"X5",0,0,0,0,0.0415,0,0,0,0,0,0,0,0,0.0355,0,0,0,0,0,0
"X6",0,0,0,0,0,0.0364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375
"X7",0,0,0,0,0,0,0.0341,0,0,0,0,0,0.0271,0,0,0,0,0,0,0.0269
"X8",0,0,0,0,0,0,0,0.0311,0,0,0,0,0,0,0,0,0,0,0.0264,0
"X9",0,0,0,0,0,0,0,0,0.0317,0,0,0,0,0,0,0.0375,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0318,0,0.0303,0,0,0,0,0,0,0,0
