"X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
0,60,11,0,0,0,0,0,0,0,0,0,5,7,4,0,0,60,3,0
0,1,60,0,0,0,0,0,0,0,0,60,0,0,1,0,1,0,0,0
0,0,0,60,7,1,0,0,0,0,0,2,1,0,9,60,9,0,3,0
0,0,0,0,60,0,0,0,0,0,0,0,0,60,0,4,0,0,0,1
0,0,0,0,0,60,0,0,2,0,0,4,0,0,2,0,0,6,5,60
0,0,0,0,0,0,60,0,0,0,0,0,60,2,0,0,0,0,0,60
0,0,0,0,0,0,0,60,1,0,1,2,1,0,1,1,0,0,60,0
0,0,0,0,0,0,0,10,60,0,0,3,1,1,0,60,0,9,0,0
0,0,0,0,0,17,0,0,0,60,0,60,0,0,1,4,2,1,1,0
