"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.3217,0,0,0,0,0,0,0,-0.0823,0,0,0,0,0.1539,0,0.1101,0,0.2376,0,0
"X2",0,0.2183,0.0894,0,0,0,0,0,-0.0664,0,0,0,0,0,0.067,0,0,0.2956,0.2335,0
"X3",0,0,0.1777,0,0,0,0,-0.0531,0,0,0,0.6009,0,0.1169,0,0,0,0,0,0
"X4",0,-0.0788,0,0.2946,0,0,0,0,0,0,0,0.2669,0,0,0,0.3273,0,0,0,0
"X5",0,0,0,0,0.211,0,0,0,0,0,-0.0766,0,0,0.5391,0,0.1582,0,0,0,0
"X6",0,0,0,0,0,0.0889,0,0,0,0,0,0.0827,0,0,0,0,0,0.1851,0,0.4966
"X7",0,-0.0957,0,0,0,0,0.2645,0,0,0,0,0,0.2783,0.2158,0.1013,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.2493,0,0,0,0,0,0,0,0,0,0,0.4764,0
"X9",0,0,0,0,0,0,0,0,0.2171,-0.0417,0,0,0,0.1682,0,0.2401,0,0.2404,0,0
"X10",0,0,-0.0976,0,0,0,0,0,0,0.2181,0,0.1301,0,0,0.0622,0,0.3034,0.1741,0,0
