"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"concat_BOLD3TRfilt_01",586.0963,100,130,0,0.0312,0.0172,0.9848,0.992,423655.8627,422808.6536,-211274.3268,0.2861,0.4468,0.605,0.4372,0.553,0.6326,0.4227,0.4924,0.5659,0.4684,"converged normally"
"concat_BOLD3TRfilt_02",664.784,100,130,0,0.0336,0.0198,0.9823,0.9907,416074.7914,415227.5823,-207483.7911,0.2789,0.4909,0.5881,0.4716,0.5149,0.6524,0.4231,0.4833,0.5926,0.4228,"converged normally"
"concat_BOLD3TRfilt_03",620.2178,100,130,0,0.0323,0.0194,0.983,0.9911,423234.7487,422387.5396,-211063.7698,0.2755,0.4625,0.5328,0.4422,0.4825,0.6444,0.3874,0.5329,0.6235,0.3954,"converged normally"
"concat_BOLD3TRfilt_04",507.0028,100,130,0,0.0285,0.0174,0.9865,0.9929,421603.4861,420756.277,-210248.1385,0.3077,0.4783,0.5454,0.4354,0.509,0.6008,0.3946,0.3454,0.6308,0.4282,"converged normally"
"concat_BOLD3TRfilt_05",493.6993,100,130,0,0.0281,0.0195,0.9857,0.9925,421148.9117,420301.7026,-210020.8513,0.3007,0.4397,0.5185,0.4103,0.3944,0.6102,0.3577,0.4085,0.5941,0.3975,"converged normally"
"concat_BOLD3TRfilt_06",711.2505,100,130,0,0.035,0.02,0.9801,0.9895,420003.4689,419156.2598,-209448.1299,0.3009,0.4929,0.5911,0.4588,0.461,0.6183,0.3862,0.4746,0.5936,0.4055,"converged normally"
"concat_BOLD3TRfilt_07",641.0862,100,130,0,0.0329,0.0195,0.9814,0.9902,424330.7355,423483.5264,-211611.7632,0.2848,0.4353,0.5469,0.4084,0.4928,0.5835,0.4095,0.4001,0.6054,0.4152,"converged normally"
"concat_BOLD3TRfilt_08",658.5741,100,130,0,0.0334,0.0222,0.981,0.99,417382.8948,416535.6857,-208137.8428,0.2583,0.4572,0.5437,0.4486,0.4417,0.6179,0.3737,0.3455,0.6514,0.3904,"converged normally"
"concat_BOLD3TRfilt_09",596.9054,100,130,0,0.0315,0.0193,0.9846,0.9919,420834.1329,419986.9238,-209863.4619,0.3142,0.4771,0.5662,0.4648,0.5899,0.617,0.4351,0.5368,0.5293,0.4456,"converged normally"
"concat_BOLD3TRfilt_10",612.4182,100,130,0,0.032,0.0212,0.9838,0.9915,417882.4859,417035.2768,-208387.6384,0.2934,0.4777,0.5503,0.4758,0.528,0.5883,0.4152,0.5589,0.6019,0.4243,"converged normally"
"concat_BOLD3TRfilt_11",557.2246,100,130,0,0.0302,0.0161,0.9848,0.992,423799.825,422952.6159,-211346.3079,0.3145,0.4813,0.5149,0.4325,0.5373,0.5521,0.4016,0.5341,0.5969,0.4165,"converged normally"
"concat_BOLD3TRfilt_12",768.1372,100,130,0,0.0366,0.0213,0.9795,0.9892,419210.344,418363.1349,-209051.5674,0.3143,0.5151,0.5599,0.4919,0.5544,0.6036,0.4449,0.5543,0.5847,0.4311,"converged normally"
"concat_BOLD3TRfilt_13",701.0798,100,130,0,0.0347,0.0215,0.9796,0.9893,424135.0279,423287.8188,-211513.9094,0.2402,0.4913,0.5183,0.4624,0.4867,0.5819,0.3899,0.4974,0.5521,0.458,"converged normally"
"concat_BOLD3TRfilt_14",718.1741,100,130,0,0.0352,0.02,0.9798,0.9894,416739.4779,415892.2688,-207816.1344,0.2773,0.4486,0.582,0.4614,0.5011,0.6142,0.3757,0.3475,0.6394,0.4297,"converged normally"
"concat_BOLD3TRfilt_15",655.6741,100,130,0,0.0333,0.0201,0.9824,0.9907,421153.6311,420306.422,-210023.211,0.2987,0.487,0.5593,0.442,0.5433,0.6104,0.4276,0.3857,0.6589,0.4586,"converged normally"
"concat_BOLD3TRfilt_16",623.2702,100,130,0,0.0324,0.0205,0.9837,0.9914,422713.4898,421866.2807,-210803.1403,0.2962,0.4997,0.5737,0.4381,0.5764,0.5869,0.4265,0.5778,0.5563,0.4297,"converged normally"
"concat_BOLD3TRfilt_17",787.4186,100,130,0,0.0371,0.0206,0.9771,0.988,418383.946,417536.7369,-208638.3685,0.2731,0.4812,0.5673,0.4615,0.4354,0.5835,0.38,0.4707,0.6522,0.4062,"converged normally"
"concat_BOLD3TRfilt_18",624.4826,100,130,0,0.0324,0.0179,0.9826,0.9908,426707.7036,425860.4945,-212800.2472,0.2788,0.4523,0.5716,0.3976,0.4937,0.5797,0.4007,0.5182,0.6051,0.4166,"converged normally"
"concat_BOLD3TRfilt_19",675.5727,100,130,0,0.0339,0.0213,0.9827,0.9909,416957.8815,416110.6724,-207925.3362,0.2785,0.5172,0.5823,0.4677,0.5899,0.6029,0.4493,0.544,0.6401,0.4396,"converged normally"
"concat_BOLD3TRfilt_20",583.7358,100,130,0,0.0311,0.0197,0.9847,0.9919,422164.4376,421317.2285,-210528.6143,0.2563,0.4329,0.5624,0.4594,0.5525,0.5912,0.4307,0.5438,0.641,0.454,"converged normally"
"concat_BOLD3TRfilt_21",636.4848,100,130,0,0.0328,0.0189,0.9813,0.9902,424015.3308,423168.1216,-211454.0608,0.2786,0.4393,0.5254,0.4231,0.5132,0.5667,0.3963,0.428,0.5988,0.397,"converged normally"
"concat_BOLD3TRfilt_22",553.2708,100,130,0,0.0301,0.0203,0.986,0.9927,417654.6647,416807.4556,-208273.7278,0.3027,0.441,0.5075,0.4842,0.5988,0.6511,0.4285,0.5443,0.6029,0.4365,"converged normally"
"concat_BOLD3TRfilt_23",925.051,100,130,0,0.0406,0.0245,0.9743,0.9865,417934.597,417087.3879,-208413.694,0.2577,0.4707,0.5999,0.4609,0.4945,0.6577,0.394,0.5115,0.6044,0.4514,"converged normally"
"concat_BOLD3TRfilt_24",827.6407,100,130,0,0.0382,0.0225,0.9763,0.9875,421322.7811,420475.572,-210107.786,0.2365,0.4362,0.5534,0.495,0.4975,0.62,0.4204,0.4905,0.5999,0.4257,"converged normally"
"concat_BOLD3TRfilt_25",622.8582,100,130,0,0.0323,0.0197,0.9832,0.9911,423276.4274,422429.2183,-211084.6091,0.2826,0.4823,0.5718,0.473,0.4523,0.6241,0.3775,0.4721,0.6387,0.3986,"converged normally"
"concat_BOLD3TRfilt_26",616.2295,100,130,0,0.0321,0.0194,0.9822,0.9906,417408.1313,416560.9222,-208150.4611,0.3075,0.4338,0.5495,0.4387,0.529,0.5921,0.3661,0.4946,0.5453,0.3875,"converged normally"
"concat_BOLD3TRfilt_27",673.3525,100,130,0,0.0339,0.0186,0.9813,0.9902,421481.4314,420634.2223,-210187.1111,0.3206,0.4727,0.5551,0.4625,0.5556,0.535,0.4262,0.5397,0.5745,0.4096,"converged normally"
"concat_BOLD3TRfilt_28",595.0695,100,130,0,0.0315,0.0185,0.9831,0.9911,422056.8308,421209.6217,-210474.8109,0.2967,0.4319,0.5839,0.4273,0.4462,0.5826,0.3863,0.4508,0.608,0.4191,"converged normally"
"concat_BOLD3TRfilt_29",563.1387,100,130,0,0.0304,0.019,0.9849,0.992,422612.795,421765.5859,-210752.7929,0.2912,0.4743,0.543,0.4764,0.534,0.5639,0.3703,0.5582,0.5981,0.4114,"converged normally"
"concat_BOLD3TRfilt_30",646.1675,100,130,0,0.0331,0.0183,0.9828,0.9909,422208.604,421361.3949,-210550.6974,0.2832,0.4265,0.5814,0.4389,0.5096,0.6379,0.4194,0.4779,0.6447,0.4305,"converged normally"
"concat_BOLD3TRfilt_31",889.2708,100,130,0,0.0397,0.0252,0.9742,0.9864,420724.4134,419877.2043,-209808.6022,0.2844,0.4839,0.579,0.4548,0.4302,0.6446,0.3984,0.4208,0.6245,0.4228,"converged normally"
"concat_BOLD3TRfilt_32",493.9424,100,130,0,0.0281,0.0183,0.9874,0.9933,419266.8294,418419.6203,-209079.8101,0.3158,0.5032,0.5475,0.4308,0.4963,0.6135,0.4135,0.4953,0.6288,0.4288,"converged normally"
"concat_BOLD3TRfilt_33",757.5526,100,130,0,0.0363,0.0217,0.9784,0.9886,422973.188,422125.9788,-210932.9894,0.2516,0.4911,0.512,0.4492,0.4932,0.5716,0.4367,0.5731,0.5597,0.442,"converged normally"
