"file","lhs","op","rhs","beta","beta.std","se","z","pval","level"
"BOLD3TRfilt_01","X1","~","X1lag",0.409030442960865,0.407561579062928,0.0355262405124865,11.4721280153379,0,"group"
"BOLD3TRfilt_01","X2","~","X2lag",0.20944417879466,0.208736164605049,0.0329985652201481,6.32561334750397,2.52228682384725e-10,"group"
"BOLD3TRfilt_01","X3","~","X3lag",0.0379765040074425,0.0381789536939821,0.0271738537800587,1.40498856006944,0.160024680104033,"group"
"BOLD3TRfilt_01","X4","~","X4lag",0.180531955258124,0.179873138497197,0.0318323934542749,5.65063191856976,1.59859070425483e-08,"group"
"BOLD3TRfilt_01","X5","~","X5lag",0.387474526955256,0.376625580630824,0.0261625100008603,14.3956210859906,0,"group"
"BOLD3TRfilt_01","X6","~","X6lag",-0.155544689028173,-0.152498880005993,0.0312142205626386,-4.88555784053518,1.03136421714112e-06,"group"
"BOLD3TRfilt_01","X7","~","X7lag",0.18002629386496,0.17834725765449,0.033277864137615,5.35933607147877,8.35283464617476e-08,"group"
"BOLD3TRfilt_01","X8","~","X8lag",0.154202310868709,0.15455592234643,0.031825927116813,4.85628970930375,1.1960567385394e-06,"group"
"BOLD3TRfilt_01","X9","~","X9lag",0.231291765362449,0.227665001292942,0.0317733860956249,7.1652734967486,7.76267938817909e-13,"group"
"BOLD3TRfilt_01","X10","~","X10lag",0.340798457858873,0.340162513913557,0.0345791986267212,9.83720061258722,0,"group"
"BOLD3TRfilt_01","X8","~","X9",0.564380485967608,0.692856404050608,0.0240537989615371,28.8044481106086,0,"group"
"BOLD3TRfilt_01","X6","~","X10",1.03189651987201,0.782380714317205,0.022258651677298,35.1495106559023,0,"group"
"BOLD3TRfilt_01","X3","~","X2",0.683755598618884,0.778444474463576,0.0215358160469697,36.1465046305088,0,"group"
"BOLD3TRfilt_01","X5","~","X4",0.496940323346239,0.622088607141295,0.022846644673354,27.2288826668204,0,"group"
"BOLD3TRfilt_01","X9","~","X6",0.536834941713807,0.605227657034012,0.0271491939532934,22.2926565729806,0,"group"
"BOLD3TRfilt_01","X2","~","X9",0.332104072378043,0.320825166838815,0.0470549185659975,6.81810056453156,9.22528720082028e-12,"group"
"BOLD3TRfilt_01","X4","~","X6",0.328016749339649,0.331890857466064,0.041268238201677,8.04228316808974,8.88178419700125e-16,"group"
"BOLD3TRfilt_01","X7","~","X4",0.527584895450272,0.534618224341231,0.0315786493047598,16.9297368985521,0,"group"
"BOLD3TRfilt_01","X1","~","X8",0.215445243733583,0.256422863964412,0.037505696066204,6.83690454675954,8.09219358188784e-12,"group"
"BOLD3TRfilt_01","X10","~","X7",0.252688758851776,0.325052311705888,0.039859985354751,8.15485276306416,4.44089209850063e-16,"group"
"BOLD3TRfilt_01","X4","~","X2",0.128841567983633,0.119696941215895,0.0396146151871905,3.02153487167027,0.00251496670071405,"group"
"BOLD3TRfilt_01","X3","~","X7",0.0746340789002291,0.0902579500511881,0.0283865084353424,3.17960732144194,0.00147474747987308,"group"
"BOLD3TRfilt_01","X2","~","X8",0.420337793054367,0.330766426297378,0.0474144610286721,6.97606635446852,3.0355717939301e-12,"group"
"BOLD3TRfilt_01","X4","~","X9",0.313080532740744,0.280981251645627,0.0436631684461466,6.43520068847465,1.23310250899067e-10,"ind"
"BOLD3TRfilt_02","X1","~","X1lag",0.428081319174119,0.430648737425427,0.0349086121861327,12.3364611325483,0,"group"
"BOLD3TRfilt_02","X2","~","X2lag",0.345642418706195,0.343763268976664,0.0335141710620785,10.2572511293778,0,"group"
"BOLD3TRfilt_02","X3","~","X3lag",0.166030099440802,0.169589543709752,0.0324532385490345,5.22565855649551,1.73536337522151e-07,"group"
"BOLD3TRfilt_02","X4","~","X4lag",0.226098138821502,0.228678103436169,0.0372523193971385,6.1386272623265,8.32376167991811e-10,"group"
"BOLD3TRfilt_02","X5","~","X5lag",0.2309507814377,0.233682358444853,0.0364909015292411,6.40385270442269,1.51504364609423e-10,"group"
"BOLD3TRfilt_02","X6","~","X6lag",0.122833047486844,0.124615041558749,0.0372183243346746,3.34821741135323,0.000813331794099481,"group"
"BOLD3TRfilt_02","X7","~","X7lag",0.232944474737204,0.233674171553332,0.0367482869885676,6.35877725745496,2.03365990714133e-10,"group"
"BOLD3TRfilt_02","X8","~","X8lag",0.14313768236144,0.143785180459537,0.0342568041793564,4.19727361918318,2.70147473302451e-05,"group"
"BOLD3TRfilt_02","X9","~","X9lag",0.370463582093608,0.370795563824778,0.0322717516965395,11.4897873320133,0,"group"
"BOLD3TRfilt_02","X10","~","X10lag",0.349422722160393,0.352554915903975,0.0367794372712401,9.58565280115523,0,"group"
"BOLD3TRfilt_02","X8","~","X9",0.839686441230132,0.647999034954174,0.027395263139571,23.6536890210839,0,"group"
"BOLD3TRfilt_02","X6","~","X10",0.807064507116404,0.614316803117901,0.0307489909101316,19.9784378262471,0,"group"
"BOLD3TRfilt_02","X3","~","X2",0.47506906633295,0.503841738628637,0.0331906943469421,15.1802108555483,0,"group"
"BOLD3TRfilt_02","X5","~","X4",0.653295147536855,0.523061513175581,0.0320011048025092,16.3451079706026,0,"group"
"BOLD3TRfilt_02","X9","~","X6",0.400743685083362,0.47802826722859,0.0304504625324989,15.6985552097412,0,"group"
"BOLD3TRfilt_02","X2","~","X9",0.198705186975576,0.20506419250999,0.0482067614780646,4.2538470999198,2.10128809652321e-05,"group"
"BOLD3TRfilt_02","X4","~","X6",0.218256543530421,0.282645283665509,0.0391575630886432,7.21815305578821,5.26911847487099e-13,"group"
"BOLD3TRfilt_02","X7","~","X4",0.510879346398109,0.451611331524742,0.0346583799448141,13.0303647269098,0,"group"
"BOLD3TRfilt_02","X1","~","X8",0.193181929707173,0.292237941395842,0.0367758367828981,7.94646612994926,1.99840144432528e-15,"group"
"BOLD3TRfilt_02","X10","~","X7",0.275161010459537,0.315777945450453,0.0387699030831245,8.1449248086437,4.44089209850063e-16,"group"
"BOLD3TRfilt_02","X4","~","X2",0.27224388893529,0.286394775137654,0.0411912307658023,6.95280936775077,3.58091334362598e-12,"group"
