"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.3596,0,0,0,0,0,0,-0.2036,0,0,0,0,0,0,0,0.1938,0,0.3786,0,0
"X2",0,0.1373,0.2421,0,0,0,0,0,0,0,0,0,0,0,0.1935,0,0,0.3834,0.1142,0
"X3",0,0,0.0862,0,0,0,0,0,0,0,0,0.5843,0,0,0,0.1622,0.0895,0,0,0
"X4",0,0,0,0.4413,0,0,0,0,0,0,0,0.097,0,0,0,0.3737,0,0,0,0
"X5",0,0,0,-0.1969,0.2392,0,0,0,0,0,0,0,0,0.7168,0,0.1403,0,0,0,0
"X6",0,0,0,0,0,0.0584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643
"X7",0,0,0,0,0,0,0.3211,0,0,0,0,0,0,0.3424,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0.6957,0
"X9",0,0,0,0,0,0,0,0,0.3768,0,0,0,0,0.3251,0,0.2622,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.2649,0,0,0,0,0,0,0.3773,0,0,0
