"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0
"X2",0,0.0353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0.0579,0
"X3",0,0,0.0297,0,0,0,0,0,0,0,0,0.0298,0,0,0,0,0.0345,0,0,0
"X4",0,0,0,0.0365,0,0,0,0,0,0,0,0.0401,0,0,0,0.0405,0,0,0,0
"X5",0,0,0,0,0.0354,0,0,0,0,0,0,0,0,0.0392,0,0,0,0,0,0
"X6",0,0,0,0,0,0.0277,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029
"X7",0,0,0,0,0,0,0.0382,0,0,0,0,0,0,0.0368,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.0264,0,0,0,0,0,0,0,0,0,0,0.0264,0
"X9",0,0,0,0,0,0,0,0,0.0437,0,0,0.0954,0,0,0,0.0707,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0384,0,0,0,0,0,0,0.046,0,0,0
