"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"BOLD3TRfilt_01",401.6825,121,109,0,0.0682,0.0488,0.9362,0.9594,43282.637,42823.4629,-21302.7314,0.2543,0.476,0.6836,0.5521,0.647,0.6175,0.4523,0.5535,0.4811,0.3758,"converged normally"
"BOLD3TRfilt_02",325.979,122,108,0,0.0579,0.0471,0.939,0.9608,41319.4131,40864.4517,-20324.2258,0.31,0.4286,0.5299,0.3684,0.3864,0.4735,0.3538,0.5055,0.441,0.3194,"converged normally"
"BOLD3TRfilt_03",271.295,112,118,0,0.0534,0.0508,0.9529,0.9722,41357.6203,40860.5327,-20312.2664,0.2601,0.4783,0.5382,0.4387,0.3743,0.7019,0.262,0.5828,0.5652,0.3945,"converged normally"
"BOLD3TRfilt_04",349.1886,120,110,0,0.0619,0.0526,0.9545,0.9713,42411.4519,41948.0652,-20864.0326,0.3442,0.581,0.6113,0.5484,0.6682,0.4622,0.492,0.7465,0.2983,0.5129,"converged normally"
"BOLD3TRfilt_05",330.5629,118,112,0,0.0601,0.0565,0.9522,0.9703,41507.428,41035.6161,-20405.8081,0.2125,0.5842,0.5912,0.4683,0.5935,0.6244,0.3777,0.6623,0.5154,0.4206,"converged normally"
"BOLD3TRfilt_06",318.6254,119,111,0,0.058,0.0484,0.9443,0.9651,41445.3155,40977.7163,-20377.8581,0.1808,0.5312,0.565,0.4397,0.5751,0.3836,0.3582,0.7153,0.3744,0.3025,"converged normally"
"BOLD3TRfilt_07",357.4262,120,110,0,0.063,0.0463,0.938,0.9608,40922.3783,40458.9917,-20119.4958,0.2696,0.4214,0.6237,0.5004,0.5581,0.563,0.2747,0.5276,0.475,0.3696,"converged normally"
"BOLD3TRfilt_08",317.3441,114,116,0,0.0598,0.0496,0.9483,0.969,42436.5002,41947.8379,-20857.9189,0.3889,0.515,0.6092,0.5382,0.5793,0.5808,0.4989,0.485,0.5087,0.3352,"converged normally"
"BOLD3TRfilt_09",376.9545,120,110,0,0.0655,0.0481,0.9389,0.9614,41960.6421,41497.2554,-20638.6277,0.1939,0.5275,0.6628,0.5801,0.5367,0.613,0.2739,0.5974,0.4858,0.3286,"converged normally"
"BOLD3TRfilt_10",297.1823,119,111,0,0.0548,0.05,0.953,0.9706,41792.4107,41324.8114,-20551.4057,0.2967,0.5809,0.6244,0.3741,0.5895,0.4796,0.2354,0.5376,0.4889,0.3537,"converged normally"
"BOLD3TRfilt_11",299.734,118,112,0,0.0556,0.0438,0.9405,0.963,42393.8323,41922.0204,-20849.0102,0.215,0.3654,0.496,0.3721,0.4263,0.6137,0.2623,0.431,0.3386,0.4299,"converged normally"
"BOLD3TRfilt_12",397.0194,118,112,0,0.0688,0.0483,0.9387,0.9619,42031.7262,41559.9143,-20667.9571,0.3321,0.5802,0.6597,0.3605,0.5268,0.7031,0.2903,0.7287,0.5472,0.4747,"converged normally"
"BOLD3TRfilt_13",382.9778,119,111,0,0.0667,0.0455,0.9352,0.9594,42157.3559,41689.7566,-20733.8783,0.2514,0.5418,0.5772,0.4448,0.3281,0.5922,0.4083,0.6399,0.482,0.4849,"converged normally"
"BOLD3TRfilt_14",353.2098,120,110,0,0.0624,0.0479,0.9477,0.967,41230.4892,40767.1026,-20273.5513,0.2511,0.3759,0.6581,0.5008,0.6256,0.6673,0.4641,0.6598,0.5661,0.4353,"converged normally"
"BOLD3TRfilt_15",348.9,119,111,0,0.0622,0.0497,0.9417,0.9635,41530.5021,41062.9029,-20420.4514,0.3255,0.4808,0.6109,0.4374,0.5101,0.6164,0.2926,0.6891,0.4995,0.2169,"converged normally"
"BOLD3TRfilt_16",334.7838,118,112,0,0.0607,0.0493,0.9336,0.9588,41960.4946,41488.6827,-20632.3413,0.366,0.3857,0.5115,-0.7141,0.5473,0.5194,0.2888,0.4289,0.4569,0.4123,"converged normally"
"BOLD3TRfilt_17",333.324,118,112,0,0.0605,0.0511,0.9533,0.971,42638.1768,42166.3649,-20971.1825,0.3278,0.5791,0.7031,0.558,0.6171,0.6803,0.3986,0.6299,0.5124,0.3715,"converged normally"
"BOLD3TRfilt_18",303.8452,116,114,0,0.057,0.0505,0.95,0.9695,42204.0937,41723.8566,-20747.9283,0.2556,0.5619,0.6383,0.5107,0.529,0.475,0.4268,0.6988,-0.0595,0.4405,"converged normally"
"BOLD3TRfilt_19",332.4902,120,110,0,0.0596,0.045,0.9456,0.9656,40835.1039,40371.7173,-20075.8586,0.2428,0.4767,0.5528,0.2886,0.6969,0.4939,0.3619,0.5261,0.4841,0.5137,"converged normally"
"BOLD3TRfilt_20",303.7847,119,111,0,0.0558,0.0506,0.9527,0.9704,41714.5074,41246.9081,-20512.4541,0.3785,0.4604,0.5536,0.4539,0.6466,0.6356,0.2575,0.5502,0.3788,0.3361,"converged normally"
"BOLD3TRfilt_21",278.2969,115,115,0,0.0533,0.052,0.9504,0.97,41813.1784,41328.7286,-20549.3643,0.3345,0.3449,0.6121,0.4112,0.5352,0.593,0.3947,0.622,0.3739,0.2962,"converged normally"
"BOLD3TRfilt_22",348.4358,115,115,0,0.0638,0.0491,0.9285,0.9567,42077.6844,41593.2347,-20681.6174,0.2022,0.4429,0.5957,0.4618,0.4548,0.5494,0.4264,0.4992,0.3779,0.2806,"converged normally"
