"X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
60,0,0,0,0,0,0,2,0,0,0,0,0,14,0,4,0,60,0,0
0,60,12,1,0,0,0,1,3,0,0,0,0,2,4,2,14,60,60,1
0,8,60,1,0,0,1,0,0,0,0,60,0,0,0,1,60,0,1,0
0,2,1,60,6,1,0,0,0,0,0,60,1,0,5,60,0,1,10,0
0,0,0,13,60,1,0,1,1,1,0,0,0,60,0,14,1,0,1,5
1,0,0,0,2,60,0,1,10,9,2,3,1,1,5,0,0,3,2,60
0,0,0,2,0,0,60,0,0,0,0,6,0,60,3,0,0,0,0,1
0,1,0,0,0,0,0,60,4,0,0,0,0,0,1,6,0,0,60,0
0,0,0,0,0,7,0,9,60,3,0,3,1,6,2,60,0,0,0,0
0,1,0,0,0,10,1,0,0,60,1,5,0,2,7,2,60,2,2,0
