"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0103,0,0,0,0,0,0,0,0.0104,0,0,0,0,0,0,0.0102,0,0.0108,0,0
"X2",0,0.0142,0.0132,0,0.0149,0,0,0.0139,0,0.0149,0,0,0,0,0.0147,0,0,0.0134,0,0.0149
"X3",0,0,0.0108,0,0,0,0.0105,0,0.0088,0,0,0.0101,0,0,0,0,0,0,0,0.0103
"X4",0,0,0.0103,0.01,0,0,0,0,0,0,0.0092,0.0097,0,0,0.0104,0,0.01,0,0,0
"X5",0,0,0,0.0119,0.0122,0,0.0144,0,0,0.0142,0,0,0,0,0,0.0126,0.0141,0,0,0.0158
"X6",0,0,0,0.0142,0,0.0143,0,0,0,0.0138,0,0,0,0.0149,0,0,0,0,0.011,0
"X7",0,0,0,0,0,0.0114,0.0106,0,0,0,0,0,0.0096,0,0,0,0,0,0,0.0127
"X8",0,0,0,0,0,0.0171,0,0.0129,0.0136,0.0163,0,0,0,0,0,0.0158,0,0,0,0.0171
"X9",0.0099,0.0125,0,0,0,0,0,0,0.0108,0,0,0.0126,0,0.0102,0,0,0,0.011,0,0.0106
"X10",0,0,0,0,0,0,0.0094,0,0,0.0107,0,0,0,0,0,0.0093,0,0,0,0
