"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0102,0,0,0,0,0,0,0,0.0109,0,0,0,0,0,0,0.0104,0,0.0111,0,0
"X2",0,0.0136,0.014,0,0.0141,0,0,0.0147,0,0.0153,0,0,0,0,0.0138,0,0,0.0141,0,0.0154
"X3",0,0,0.0115,0,0,0,0.0111,0,0.0096,0,0,0.0103,0,0,0,0,0,0,0,0.0104
"X4",0,0,0.0113,0.0107,0,0,0,0,0,0,0.0095,0.0103,0,0,0.0099,0,0.0114,0,0,0
"X5",0,0,0,0.0136,0.0126,0,0.0164,0,0,0.0157,0,0,0,0,0,0.0148,0.0164,0,0,0.0174
"X6",0,0,0,0.0137,0,0.0141,0,0,0,0.0138,0,0,0,0.0137,0,0,0,0,0.0115,0
"X7",0,0,0,0,0,0.0107,0.0106,0,0,0,0,0,0.009,0,0,0,0,0,0,0.0118
"X8",0,0,0,0,0,0.0166,0,0.0127,0.0136,0.0162,0,0,0,0,0,0.0159,0,0,0,0.0166
"X9",0.0093,0.0114,0,0,0,0,0,0,0.0105,0,0,0.0117,0,0.0094,0,0,0,0.0104,0,0.0103
"X10",0,0,0,0,0,0,0.0102,0,0,0.0113,0,0,0,0,0,0.0097,0,0,0,0
