"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.6855,0,0,0,0,0,0,0,-0.0984,0,0,0,0,0,0,0.0852,0,0.156,0,0
"X2",0,0.5621,0.1006,0,-0.0884,0,0,-0.1307,0,-0.1179,0,0,0,0,0.1709,0,0,0.2935,0,0.1378
"X3",0,0,0.4662,0,0,0,0.0434,0,-0.0362,0,0,0.4247,0,0,0,0,0,0,0,0.0508
"X4",0,0,-0.0288,0.4867,0,0,0,0,0,0,0.0792,0.1456,0,0,0.2668,0,0.1113,0,0,0
"X5",0,0,0,0.1469,0.6021,0,-0.0687,0,0,-0.1118,0,0,0,0,0,0.1821,0.1268,0,0,0.0532
"X6",0,0,0,-0.1566,0,0.6318,0,0,0,0.0709,0,0,0,0.1725,0,0,0,0,0.1149,0
"X7",0,0,0,0,0,-0.0445,0.6168,0,0,0,0,0,0.1694,0,0,0,0,0,0,0.1597
"X8",0,0,0,0,0,-0.0674,0,0.6143,0.1481,-0.1256,0,0,0,0,0,0.2365,0,0,0,0.0845
"X9",-0.0282,-0.0476,0,0,0,0,0,0,0.4664,0,0,0.1164,0,0.0899,0,0,0,0.3526,0,0.0452
"X10",0,0,0,0,0,0,0.0796,0,0,0.4749,0,0,0,0,0,0.4073,0,0,0,0
