"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0,0,0,0,0,0,0,0,0,0,2.3064,0,0,0,0,0,0,0,0,0
"X2",0,0,0,0,0,0,0,0,0,0,0,3.1409,0,0,0,0,0,0,0,0
"X3",0,0,0,0,0,0,0,0,0,0,0,0,1.8682,0,0,0,0,0,0,0
"X4",0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0
"X5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7042,0,0,0,0,0
"X6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0105,0,0,0,0
"X7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3344,0,0,0
"X8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5316,0,0
"X9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8363,0
"X10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3757
