"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.7367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1025,0,0,0,0
"X2",0,0.4728,0,0,0,0,0,0,0,0,0,0,0.3921,0,0,0,0,0.2056,0,0
"X3",0,0,0.8566,0,0,0,0,0,0,0,0,-0.1847,0,0,0,0,0,0,0,0
"X4",0,0,0,0.4843,0.2873,0,0,0,0,0,0,0,0,0,0,0.2052,0,0,0,0
"X5",0,0,0,0,0.4786,0,0,0,0,0,0,0,0,0.4006,0,0,0,0,0,0
"X6",0,0,0,0,0,0.3741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5736
"X7",0,0,0,0,0,0,0.5971,0,0,0,0,0,0.1594,0,0,0,0,0,0,0.1909
"X8",0,0,0,0,0,0,0,0.4638,0,0,0,0,0.2353,0,0,0,0,0,0.3051,0
"X9",0,0,0,0,0,0,0,0.2883,0.4396,0,0,0,0,0,0,0.2607,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.6797,0,0.1895,0,0,0,0,0,0,0,0
