"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263,0,0,0,0
"X2",0,0.0323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,0.0319,0
"X3",0,0,0.0341,0,0,0,0,0,0,0,0,0.0319,0,0,0,0,0,0,0,0
"X4",0,0,0,0.0318,0,0,0,0,0,0,0,0,0,0,0.0328,0.027,0,0,0,0
"X5",0,0,0,0,0.045,0,0,0,0,0,0,0,0,0.0627,0,0,0,0,0,0
"X6",0,0,0,0,0,0.0341,0,0,0,0,0,0,0,0,0,0,0,0,0.0313,0.0345
"X7",0,0,0,0,0,0,0.0399,0,0,0,0,0,0.0396,0,0,0,0,0,0,0.0392
"X8",0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0,0,0.0253,0
"X9",0,0,0,0,0,0,0,0,0.0387,0,0,0,0,0,0,0.0403,0,0,0,0
"X10",0,0,0,0,0,0.0426,0,0,0,0.0423,0,0.0345,0,0,0,0,0.0382,0,0,0
