"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233,0,0,0,0
"X2",0,0.0339,0.0379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239,0,0
"X3",0,0,0.0379,0,0,0,0,0,0,0,0,0.0331,0,0,0,0,0,0,0,0
"X4",0,0,0,0.0281,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.0266,0
"X5",0,0,0,0,0.0386,0,0,0,0,0,0,0,0,0.0398,0,0,0,0,0,0.0327
"X6",0,0,0,0,0,0.0284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0319
"X7",0,0,0,0,0,0,0.0294,0,0,0,0,0,0.0276,0,0,0,0,0,0,0.0247
"X8",0,0,0,0,0,0,0,0.0325,0,0,0,0,0,0,0,0,0,0,0.031,0
"X9",0,0,0,0,0,0,0,0,0.0323,0,0,0,0,0,0,0.0356,0,0,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0334,0,0.0301,0,0,0,0,0,0,0,0
