"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"BOLDfslfilter_01",575.6676,123,107,0,0.0859,0.041,0.9262,0.9522,40211.7747,39761.0258,-19773.5129,0.5542,0.6135,0.7242,0.6532,0.5807,0.8057,0.5981,0.7069,0.7142,0.6657,"converged normally"
"BOLDfslfilter_02",515.0239,123,107,0,0.0799,0.0432,0.9295,0.9543,39492.2323,39041.4835,-19413.7417,0.5443,0.6422,0.816,0.6144,0.6335,0.6506,0.6106,0.6218,0.6375,0.592,"converged normally"
"BOLDfslfilter_03",532.023,122,108,0,0.0821,0.0452,0.9261,0.9525,39419.94,38964.9786,-19374.4893,0.5082,0.6327,0.7206,0.7464,0.5997,0.6487,0.503,0.6797,0.6817,0.583,"converged normally"
"BOLDfslfilter_04",465.3725,121,109,0,0.0755,0.0405,0.9264,0.9532,39805.5413,39346.3672,-19564.1836,0.5119,0.588,0.6699,0.6113,0.617,0.6452,0.5053,0.6141,0.6736,0.5941,"converged normally"
"BOLDfslfilter_05",433.1692,122,108,0,0.0715,0.0458,0.93,0.9551,40242.5278,39787.5663,-19785.7832,0.4651,0.5438,0.6171,0.5993,0.5675,0.5846,0.5568,0.6528,0.7586,0.5342,"converged normally"
"BOLDfslfilter_06",583.4056,121,109,0,0.0875,0.0405,0.9249,0.9522,41562.9045,41103.7305,-20442.8652,0.4986,0.5899,0.7359,0.7395,0.6916,0.8296,0.6528,0.7027,0.6994,0.7018,"converged normally"
"BOLDfslfilter_07",484.9683,124,106,0,0.0764,0.0498,0.9267,0.9521,39200.5288,38753.9926,-19270.9963,0.4928,0.6028,0.7009,0.6686,0.6879,0.5774,0.6426,0.5452,0.5314,0.513,"converged normally"
"BOLDfslfilter_08",443.528,124,106,0,0.0719,0.0426,0.9342,0.957,40499.0438,40052.5075,-19920.2538,0.512,0.5368,0.6363,0.5573,0.6047,0.6965,0.6018,0.7344,0.6149,0.6272,"converged normally"
"BOLDfslfilter_09",439.0934,122,108,0,0.0722,0.0337,0.9368,0.9594,39665.0551,39210.0936,-19497.0468,0.5883,0.6446,0.6149,0.6813,0.5973,0.4985,0.5157,0.7511,0.6706,0.6656,"converged normally"
"BOLDfslfilter_10",501.7363,123,107,0,0.0786,0.0408,0.9275,0.9531,40364.3129,39913.5641,-19849.782,0.4885,0.5917,0.708,0.6199,0.571,0.7045,0.5781,0.715,0.669,0.6397,"converged normally"
