"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0
"X2",0,0.0196,0,0,0,0,0,0,0,0,0,0,0,0,0.0223,0.0278,0,0,0.032,0
"X3",0,0,0.0157,0,0,0,0,0,0,0,0,0.0172,0,0.0174,0,0,0,0,0,0
"X4",0,0,0,0.0158,0,0,0,0,0,0,0.0202,0.0179,0,0,0.0162,0,0,0,0,0
"X5",0,0,0,0,0.0211,0,0,0,0,0,0,0,0,0,0,0.0234,0,0,0,0
"X6",0,0,0,0,0,0.0186,0,0,0,0,0.024,0,0,0,0,0,0.024,0,0.0218,0
"X7",0,0,0,0,0,0,0.0196,0,0,0,0,0,0.0211,0.0195,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.0201,0,0,0,0.0244,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.0148,0,0,0,0,0.0172,0,0,0,0.0167,0,0
"X10",0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0.016,0.0187,0,0,0
