"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3102,0,0
"X2",0,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0.1719,0.1388,0,0,0.2077,0
"X3",0,0,0.1207,0,0,0,0,0,0,0,0,0.6755,0,0.0887,0,0,0,0,0,0
"X4",0,0,0,0.0379,0,0,0,0,0,0,0.1688,0.2488,0,0,0.5101,0,0,0,0,0
"X5",0,0,0,0,0.2704,0,0,0,0,0,0,0,0,0,0,0.3941,0,0,0,0
"X6",0,0,0,0,0,0.0782,0,0,0,0,0.1525,0,0,0,0,0,0.2158,0,0.3664,0
"X7",0,0,0,0,0,0,0.1635,0,0,0,0,0,0.3007,0.3041,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.2059,0,0,0,0.4104,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.0868,0,0,0,0,0.2164,0,0,0,0.5782,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0276,0,0,0,0,0,0.66,0.172,0,0,0
