"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",0.0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205,0,0
"X2",0,0.0215,0,0,0,0,0,0,0,0,0,0,0,0,0.0271,0.0292,0,0,0.0345,0
"X3",0,0,0.0181,0,0,0,0,0,0,0,0,0.0196,0,0.0217,0,0,0,0,0,0
"X4",0,0,0,0.017,0,0,0,0,0,0,0.0197,0.0175,0,0,0.019,0,0,0,0,0
"X5",0,0,0,0,0.0203,0,0,0,0,0,0,0,0,0,0,0.0198,0,0,0,0
"X6",0,0,0,0,0,0.0191,0,0,0,0,0.0242,0,0,0,0,0,0.0254,0,0.0231,0
"X7",0,0,0,0,0,0,0.0203,0,0,0,0,0,0.0191,0.0201,0,0,0,0,0,0
"X8",0,0,0,0,0,0,0,0.0206,0,0,0,0.0217,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.017,0,0,0,0,0.0187,0,0,0,0.0191,0,0
"X10",0,0,0,0,0,0,0,0,0,0.0165,0,0,0,0,0,0.0157,0.0195,0,0,0
