"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","status"
"concat_BOLD3TRfilt_01",243.4565,115,115,0,0.0259,0.023,0.9883,0.9929,140721.2969,140098.2062,-69934.1031,0.1882,0.3728,0.5051,0.5468,0.3062,0.4049,0.3477,0.3413,0.6029,0.6217,"converged normally"
"concat_BOLD3TRfilt_02",238.1395,115,115,0,0.0254,0.0193,0.9893,0.9935,142579.4971,141956.4063,-70863.2031,0.1815,0.3898,0.5706,0.5781,0.3701,0.4351,0.3426,0.3365,0.6079,0.6038,"converged normally"
"concat_BOLD3TRfilt_03",356.9449,115,115,0,0.0355,0.0244,0.9797,0.9877,142136.8468,141513.756,-70641.878,0.2038,0.357,0.598,0.5946,0.2664,0.4693,0.4009,0.3207,0.5663,0.6399,"converged normally"
"concat_BOLD3TRfilt_04",294.2035,115,115,0,0.0306,0.0228,0.9839,0.9902,141476.7473,140853.6565,-70311.8282,0.2214,0.3537,0.5859,0.5637,0.303,0.4531,0.3449,0.3192,0.5863,0.5656,"converged normally"
"concat_BOLD3TRfilt_05",368.2538,115,115,0,0.0364,0.0267,0.978,0.9867,140878.6442,140255.5534,-70012.7767,0.1881,0.3856,0.5832,0.5608,0.3058,0.4613,0.3472,0.3332,0.5937,0.6095,"converged normally"
"concat_BOLD3TRfilt_06",345.0173,115,115,0,0.0346,0.0317,0.9804,0.9881,140331.2398,139708.1491,-69739.0745,0.2075,0.3564,0.5662,0.6207,0.3264,0.4494,0.343,0.3374,0.594,0.6427,"converged normally"
"concat_BOLD3TRfilt_07",274.3902,115,115,0,0.0288,0.0251,0.9854,0.9912,139536.5712,138913.4804,-69341.7402,0.1366,0.3212,0.5585,0.5698,0.3008,0.4359,0.3731,0.3303,0.6231,0.5729,"converged normally"
"concat_BOLD3TRfilt_08",349.8691,115,115,0,0.035,0.0243,0.9783,0.9869,142496.5021,141873.4113,-70821.7056,0.2151,0.3316,0.5599,0.5759,0.2804,0.4298,0.3265,0.2657,0.525,0.6118,"converged normally"
"concat_BOLD3TRfilt_09",379.3715,115,115,0,0.0371,0.0237,0.9772,0.9862,141426.9911,140803.9003,-70286.9501,0.2211,0.3851,0.5712,0.5284,0.3017,0.4868,0.3458,0.3227,0.6107,0.5923,"converged normally"
"concat_BOLD3TRfilt_10",330.535,115,115,0,0.0335,0.0273,0.9803,0.9881,141935.2675,141312.1767,-70541.0883,0.1833,0.3082,0.515,0.5429,0.3187,0.4444,0.3534,0.3409,0.5901,0.6205,"converged normally"
"concat_BOLD3TRfilt_11",305.0623,115,115,0,0.0315,0.0231,0.9829,0.9896,143942.0587,143318.9679,-71544.484,0.2041,0.3427,0.5324,0.6089,0.3122,0.3885,0.3805,0.2943,0.5634,0.6149,"converged normally"
"concat_BOLD3TRfilt_12",371.5875,115,115,0,0.0366,0.0268,0.9786,0.987,141818.4579,141195.3671,-70482.6836,0.1952,0.3444,0.5661,0.6165,0.3197,0.5013,0.3972,0.3033,0.6042,0.5963,"converged normally"
"concat_BOLD3TRfilt_13",247.4737,115,115,0,0.0263,0.0208,0.9884,0.993,141401.7169,140778.6261,-70274.313,0.1665,0.3716,0.5733,0.5368,0.2886,0.4658,0.3938,0.3147,0.6167,0.605,"converged normally"
"concat_BOLD3TRfilt_14",392.4848,115,115,0,0.0381,0.0245,0.9753,0.985,143431.0403,142807.9495,-71288.9748,0.212,0.3318,0.537,0.5639,0.2183,0.4564,0.3855,0.348,0.5999,0.5784,"converged normally"
"concat_BOLD3TRfilt_15",332.4752,115,115,0,0.0337,0.0261,0.9808,0.9884,142254.5359,141631.4451,-70700.7225,0.2124,0.3716,0.5939,0.5882,0.2271,0.48,0.4095,0.3065,0.5692,0.5593,"converged normally"
"concat_BOLD3TRfilt_16",299.287,115,115,0,0.031,0.0278,0.9826,0.9895,142690.1883,142067.0975,-70918.5488,0.1992,0.4057,0.5427,0.5496,0.2306,0.4114,0.3047,0.3282,0.5939,0.5717,"converged normally"
"concat_BOLD3TRfilt_17",343.5301,115,115,0,0.0345,0.0265,0.9797,0.9877,142551.8148,141928.724,-70849.362,0.2088,0.3797,0.5207,0.6021,0.2116,0.4566,0.3965,0.3552,0.5767,0.5908,"converged normally"
