"","X1lag","X2lag","X3lag","X4lag","X5lag","X6lag","X7lag","X8lag","X9lag","X10lag","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"X1",-0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X2",0,0.0648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4252,0.2623,0
"X3",0,0.3005,0.3613,0,0,0,0,0,0,0,0,0.3951,0,0,0,0,0,0,0,0
"X4",0,0,0,-0.0092,0,0,0,0,0,0,0,0.2603,0,0,0.4617,0.2484,0,0,0,0
"X5",0,0,0,0,0.27,0,0,0,0,0,0,0.3391,0,0,0,0.3595,0,0,0,0
"X6",0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0.5734,0
"X7",0,0,0,0,0,0,0.2683,0,0,0,0,0,0,0,0,0,0,0,0,0.4505
"X8",0,0,0,0,0,0,0,0.3092,0,0,0.3341,0,0,0,0,0,0,0,0,0
"X9",0,0,0,0,0,0,0,0,0.1028,0,0,0,0,0,0,0,0,0.8146,0,0
"X10",0,0,0,0,0,0,0,0,0,0.2559,0,0,0,0,0,0.7237,0,0,0,0
